OBJECTID,LLID,LAKE_LLID,AGENCY,AGENCY_ID,STATION,DEC_LAT,DEC_LONG,DESCRIPTION,QAQC1,QAQC2,Comments,RIVER_MILE,HUC_6,HU_6_Name,HUC_8,HU_8_Name,GIS_STREAMNAME,LAKE_NAME,GIS_Source,GIS_Source_LAKE,Estuary_2010,Sal_ppth,Est_Sal,Est_Final,Est_Comments,MATRIX
13,1215516450947,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0605,45.09674,-121.55233,BEAVER CREEK,Needs Secondary Review,Correct,,0.158955,170703,Deschutes,17070306,Lower Deschutes,Wilson Creek,,StreamNet 100K,,,,,Freshwater,,FW
14,1204692451626,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0606,45.09761,-120.10241,THIRTY-MILE CREEK,Needs Secondary Review,Correct,,25.881731,170702,John Day,17070204,Lower John Day,Thirtymile Creek,,StreamNet 100K,,,,,Freshwater,,FW
15,1185168444229,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0607,44.43229,-118.51393,NORTH FORK REYNOLDS CREEK,Needs Secondary Review,Correct,,0.709085,170702,John Day,17070201,Upper John Day,North Reynolds Creek,,StreamNet 100K,,,,,Freshwater,,FW
16,1185080445935,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0608,44.5756,-118.49144,LOWER CLEAR CREEK,Needs Secondary Review,Correct,,1.61089,170702,John Day,17070203,Middle Fork John Day,Clear Creek,,StreamNet 100K,,,,,Freshwater,,FW
17,1210687448112,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0613,44.84498,-121.00437,TENMILE CREEK,Needs Secondary Review,Likely Correct,Station .5 miles downstream of Tenmile Creek on Brocher Creek. Possible missidentification.,6.223165,170703,Deschutes,17070307,Trout,Brocher Creek,,StreamNet 100K,,,,,Freshwater,,FW
18,1230370453173,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0666,45.33709,-123.05504,CHEHELEM CREEK TRIBUTARY,Needs Secondary Review,Correct,,1.842212,170900,Willamette,17090007,Middle Willamette,Chehalem Creek Trib,,StreamNet 100K,,,,,Freshwater,,FW
19,1191562444148,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0698,44.30671,-119.1757,RILEY CREEK,Needs Secondary Review,Manually Revised with IRL tool,Snapped to wrong stream (Unnamed Tributary),8.32796,170702,John Day,17070201,Upper John Day,Riley Creek,,StreamNet 100K,,,,,Freshwater,,FW
20,1192994446179,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0780,44.61771,-119.29982,FOX CREEK,Needs Secondary Review,Manually Revised with LFAR Tool,Snapped to wrong stream (Cottonwood Creek),0,170702,John Day,17070202,North Fork John Day,Fox Creek,,StreamNet 100K,,,,,Freshwater,,FW
21,1201398449604,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0792,44.95417,-120.11022,STRAW FORK CREEK,Needs Secondary Review,Correct,,1.475367,170702,John Day,17070204,Lower John Day,Straw Fork,,StreamNet 100K,,,,,Freshwater,,FW
22,1212896451877,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0803,45.20416,-121.41462,GATE CREEK,Needs Secondary Review,Manually Revised with LFAR Tool,Snapped to wrong stream (Unnamed Stream),7.552407,170703,Deschutes,17070306,Lower Deschutes,Gate Creek,,StreamNet 100K,,,,,Freshwater,,FW
23,1236444452495,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0813,45.2009,-123.6502,NIAGARA CREEK NEAR NESTUCCA RIVER,Needs Secondary Review,Correct,,3.852634,171002,Northern Oregon Coastal,17100203,Wilson-Trusk-Nestuccu,Niagara Creek,,StreamNet 100K,,Needs Further Review,0.040132,Freshwater,Freshwater,,FW
24,1221106445307,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0819,44.54968,-122.0832,PYRAMID CREEK TRIBUTARY,Needs Secondary Review,Potential Digitization,Approximately .5 miles from two Creeks (Scar Creek and Pyramid Creek Trib). They do line up with an unnamed stream in the NHDH dataset,2.658729,170900,Willamette,17090006,South Santiam,Pyramid Creek Trib,,StreamNet 100K,,,,,,,
25,1221119439589,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0821,43.95167,-122.11595,SOUTH FORK MCKENZIE RIVER TRIBUTARY,Needs Secondary Review,Correct,,0.603464,170900,Willamette,17090004,Mckenzie,"McKenzie River, South Fork",,StreamNet 100K,,,,,Freshwater,,FW
26,1215191451739,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0851,45.19279,-121.55272,CEDAR CREEK,Needs Secondary Review,Correct,NHDH calls this Cedar Creek. DEQ streams calls this Forest Creek.,2.379867,170703,Deschutes,17070306,Lower Deschutes,Forest Creek,,StreamNet 100K,,,,,Freshwater,,FW
27,1184569447796,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0854,44.77924,-118.45325,BEAVER / OLIVE CREEK,Needs Secondary Review,Correct,,0.145311,170702,John Day,17070202,North Fork John Day,Olive Creek,,StreamNet 100K,,,,,Freshwater,,FW
28,1185683449626,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0871,44.95504,-118.54964,MARTIN CREEK,Needs Secondary Review,Correct,,1.171723,170702,John Day,17070202,North Fork John Day,South Martin Creek,,StreamNet 100K,,,,,Freshwater,,FW
29,1186111449747,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0877,44.9617,-118.60826,MEADOW CREEK TRIBUTARY,Needs Secondary Review,Correct,,1.087758,170702,John Day,17070202,North Fork John Day,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
30,1234876453005,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0879,45.30098,-123.47628,NESTUCCA RIVER TRIBUTARY,Needs Secondary Review,Correct,,0.542862,171002,Northern Oregon Coastal,17100203,Wilson-Trusk-Nestuccu,Nestucca River Trib,,StreamNet 100K,,Needs Further Review,0.040613,Freshwater,Freshwater,,FW
31,1230764436021,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0893,43.59507,-123.08421,WILLAMETTE RIVER COAST FORK TRIB,Needs Secondary Review,Correct,,0.69379,170900,Willamette,17090002,Coast Fork Willamette,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
32,1230144425934,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0957,42.69083,-122.96372,EVANS CREEK,Needs Secondary Review,Correct,,12.075633,171003,Southern Oregon Coastal,17100308,Middle Rogue,East Fork Evans Creek,,StreamNet 100K,,,,,Freshwater,,FW
33,1196472448034,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0977,44.8449,-119.59178,BOLOGNA CREEK,Needs Secondary Review,Correct,,4.290184,170702,John Day,17070204,Lower John Day,East Bologna Canyon,,StreamNet 100K,,,,,Freshwater,,FW
34,1195411441598,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0987,44.16044,-119.54082,WILDCAT CREEK,Needs Secondary Review,Manually Revised with IRL tool,,0.029409,170702,John Day,17070201,Upper John Day,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
35,1195344441730,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0997,44.25698,-118.7312,CANYON CREEK EAST FORK,Needs Secondary Review,Correct,,1.03946,170702,John Day,17070201,Upper John Day,Wildcat Creek,,StreamNet 100K,,,,,Freshwater,,FW
36,1222582444299,,EPA National Aquatic Resource Survey Data,NARS,WORP99-1016,44.43974,-122.27953,SUTTLE CAMP CREEK,Needs Secondary Review,Correct,,1.486237,170900,Willamette,17090006,South Santiam,Shuttle Camp Creek,,StreamNet 100K,,,,,Freshwater,,FW
37,1219591424414,,United State Geological Survey,USGS,11493500,42.740135,-121.834462,"WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",Needs Secondary Review,Correct,,29.016951,180102,Klamath,18010201,Williamson,Williamson River,,Modified Streamnet 100K,,,,,Freshwater,,FW
38,1218738425716,,United State Geological Survey,USGS,11501000,42.584581,-121.849737,"SPRAGUE RIVER NEAR CHILOQUIN, OR",Needs Secondary Review,Correct,,5.528138,180102,Klamath,18010202,Sprague,Sprague River,,Modified Streamnet 100K,,,,,Freshwater,,FW
39,1219445425983,,United State Geological Survey,USGS,11504100,42.64569,-121.995576,WOOD R NR FORT KLAMATH OREG,Needs Secondary Review,Correct,,4.878697,180102,Klamath,18010203,Upper Klamath Lake,Wood River,,StreamNet 100K,,,,,Freshwater,,FW
40,1221913420005,1218742423884,United State Geological Survey,USGS,11507100,42.238755,-121.805283,UPPER KLAMATH LAKE OUTLET AT KLAMATH FALLS OR,Needs Secondary Review,Correct,,254.918326,180102,Klamath,18010203,Upper Klamath Lake,Klamath River,Upper Klamath Lake,Modified Streamnet 100K,StreamNet 100K,,,,Freshwater,,FW
41,1221913420005,1218317421623,United State Geological Survey,USGS,11507501,42.219311,-121.790282,"LINK RIVER BELOW KENO CANAL, NEAR KLAMATH FALLS,OR",Needs Secondary Review,Correct,NHDH calls this Link River,253.290201,180102,Klamath,18010204,Lost,Klamath River,"Ewauna, Lake",Modified Streamnet 100K,StreamNet 100K,,,,Freshwater,,FW
42,1221913420005,1218317421623,United State Geological Survey,USGS,11509370,42.127922,-121.928896,"KLAMATH RIVER ABOVE KENO DAM, AT KENO, OR",Needs Secondary Review,Correct,,234.660623,180102,Klamath,18010204,Lost,Klamath River,"Ewauna, Lake",Modified Streamnet 100K,StreamNet 100K,,,,Freshwater,,FW
43,1221913420005,,United State Geological Survey,USGS,11509500,42.1332,-121.962231,"KLAMATH RIVER AT KENO, OR",Needs Secondary Review,Correct,,231.749174,180102,Klamath,18010206,Upper Klamath,Klamath River,,Modified Streamnet 100K,,,,,Freshwater,,FW
44,1226439420010,,United State Geological Survey,USGS,11516580,42.076801,-122.704476,"COTTONWOOD CREEK NEAR ASHLAND, OR",Needs Secondary Review,Correct,,7.15489,180102,Klamath,18010206,Upper Klamath,Cottonwood Creek,,StreamNet 100K,,,,,Freshwater,,FW
45,1190296461886,,United State Geological Survey,USGS,13173600,43.730993,-117.071826,SNAKE RIVER NR ADRIAN OR,Needs Secondary Review,Correct,,396.737642,170501,Middle Snake-Boise,17050103,Middle Snake-Succor,Snake River,,StreamNet 100K,,,,,Freshwater,,FW
46,1170244438120,,United State Geological Survey,USGS,13177900,42.544323,-117.170696,OWYHEE RIVER ABV NORTH FORK AT THREE FORKS OR,Needs Secondary Review,Correct,,165.485534,170501,Middle Snake-Boise,17050107,Middle Owyhee,Owyhee River,,Modified Streamnet 100K,,,,,Freshwater,,FW
47,1171698425442,,United State Geological Survey,USGS,13177920,42.544046,-117.169307,NORTH FORK OWYHEE RIVER AT THREE FORKS OR,Needs Secondary Review,Correct,,0.028002,170501,Middle Snake-Boise,17050107,Middle Owyhee,North Fork Owyhee River,,StreamNet 100K,,,,,Freshwater,,FW
48,1176415428623,,United State Geological Survey,USGS,13180600,42.864045,-117.639601,JORDAN CREEK NR ROME OR,Needs Secondary Review,Correct,,0.154144,170501,Middle Snake-Boise,17050108,Jordan,Jordan Creek,,Modified Streamnet 100K,,,,,Freshwater,,FW
49,1170244438120,,United State Geological Survey,USGS,13184000,43.777661,-117.06766,"OWYHEE RIVER AT OWYHEE, OREG.",Needs Secondary Review,Correct,,3.600833,170501,Middle Snake-Boise,17050110,Lower Owyhee,Owyhee River,,Modified Streamnet 100K,,,,,Freshwater,,FW
50,1177211456214,,United State Geological Survey,USGS,13331500,45.619867,-117.726589,"MINAM RIVER AT MINAM, OR",Needs Secondary Review,Correct,,0.315672,170601,Lower Snake,17060105,Wallowa,Minam River,,StreamNet 100K,,,,,Freshwater,,FW
51,1209151456389,,United State Geological Survey,USGS,14076500,44.498729,-121.321156,"DESCHUTES RIVER NEAR CULVER, OR",Needs Secondary Review,Correct,,119.505758,170703,Deschutes,17070301,Upper Deschutes,Deschutes River,,Modified Streamnet 100K,,,,,Freshwater,,FW
52,1212676445778,,United State Geological Survey,USGS,14087393,44.472619,-121.297543,"CROOKED RIVER AT CARCASS TRAIL NEAR CULVER, OR",Needs Secondary Review,Correct,,8.324608,170703,Deschutes,17070305,Lower Crooked,Crooked River,,StreamNet 100K,,,,,Freshwater,,FW
53,1240483462464,,United State Geological Survey,USGS,14128910,45.61234,-122.027584,"COLUMBIA RIVER AT WARRENDALE, OR",Needs Secondary Review,Correct,,137.099585,170800,Lower Columbia,17080001,Lower Columbia-Sandy,Columbia River,,StreamNet 100K,,,,,Freshwater,,FW
54,1230144440225,,United State Geological Survey,USGS,14144800,43.601789,-122.457547,"MIDDLE FORK WILLAMETTE RIVER NR OAKRIDGE, OR",Needs Secondary Review,Correct,,52.618705,170900,Willamette,17090001,Middle Fork Willamette,Middle Fork Willamette River,,StreamNet 100K,,,,,Freshwater,,FW
55,1230233440232,,United State Geological Survey,USGS,14152500,43.64151,-123.085909,"COAST FORK WILLAMETTE AT LONDON, OR",Needs Secondary Review,Manually Revised with IRL tool,,34.79783,170900,Willamette,17090002,Coast Fork Willamette,Coast Fork Willamette River,,StreamNet 100K,,,,,Freshwater,,FW
56,1230233440232,,United State Geological Survey,USGS,14153500,43.720678,-123.049799,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",Needs Secondary Review,Manually Revised with IRL tool,,28.127858,170900,Willamette,17090002,Coast Fork Willamette,Coast Fork Willamette River,,StreamNet 100K,,,,,Freshwater,,FW
57,1230436438208,,United State Geological Survey,USGS,14154500,43.735957,-122.873402,"ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR",Needs Secondary Review,Correct,,13.01918,170900,Willamette,17090002,Coast Fork Willamette,Row River,,StreamNet 100K,,,,,Freshwater,,FW
58,1230673441173,,United State Geological Survey,USGS,14159110,44.166376,-122.256534,"MCKENZIE RIVER ABOVE SOUTH FORK, NEAR RAINBOW, OR",Needs Secondary Review,Correct,,57.205941,170900,Willamette,17090004,Mckenzie,McKenzie River,,Modified Streamnet 100K,,,,,Freshwater,,FW
59,1222958441593,,United State Geological Survey,USGS,14159200,44.047067,-122.217825,SO FK MCKENZIE RIVER ABV COUGAR LAKE NR RAINBOW OR,Needs Secondary Review,Correct,,10.639756,170900,Willamette,17090004,Mckenzie,South Fork McKenzie River,,StreamNet 100K,,,,,Freshwater,,FW
60,1222958441593,,United State Geological Survey,USGS,14159500,44.135958,-122.248391,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",Needs Secondary Review,Correct,,3.802898,170900,Willamette,17090004,Mckenzie,South Fork McKenzie River,,StreamNet 100K,,,,,Freshwater,,FW
61,1222619442061,,United State Geological Survey,USGS,14161500,44.209571,-122.256733,"LOOKOUT CREEK NEAR BLUE RIVER, OR",Needs Secondary Review,Correct,,0.34832,170900,Willamette,17090004,Mckenzie,Lookout Creek,,StreamNet 100K,,,,,Freshwater,,FW
62,1223436441532,,United State Geological Survey,USGS,14162200,44.162348,-122.333119,"BLUE RIVER AT BLUE RIVER, OR",Needs Secondary Review,Correct,,0.898189,170900,Willamette,17090004,Mckenzie,Blue River,,StreamNet 100K,,,,,Freshwater,,FW
63,1230673441173,,United State Geological Survey,USGS,14162400,44.128181,-122.380339,"MCKENZIE RIVER AT FINN ROCK, OR",Needs Secondary Review,Correct,,48.948665,170900,Willamette,17090004,Mckenzie,McKenzie River,,Modified Streamnet 100K,,,,,Freshwater,,FW
64,1230673441173,,United State Geological Survey,USGS,14162500,44.124849,-122.47062,"MCKENZIE RIVER NEAR VIDA, OR",Needs Secondary Review,Correct,,42.610504,170900,Willamette,17090004,Mckenzie,McKenzie River,,Modified Streamnet 100K,,,,,Freshwater,,FW
65,1225760441447,,United State Geological Survey,USGS,14163000,44.145682,-122.572015,"GATE CREEK AT VIDA,OREG.",Needs Secondary Review,Correct,,0.233473,170900,Willamette,17090004,Mckenzie,Gate Creek,,StreamNet 100K,,,,,Freshwater,,FW
66,1228827440629,,United State Geological Survey,USGS,14164550,44.070667,-122.884667,"CAMP CRK AT CAMP CRK RD BRIDGE, NR SPRINGFIELD, OR",Needs Secondary Review,Correct,,0.646746,170900,Willamette,17090004,Mckenzie,Camp Creek,,StreamNet 100K,,,,,Freshwater,,FW
67,1229475440684,,United State Geological Survey,USGS,14164700,44.059348,-122.919664,"CEDAR CREEK AT SPRINGFIELD, OR",Needs Secondary Review,Correct,,1.703775,170900,Willamette,17090004,Mckenzie,Cedar Flat Creek,,StreamNet 100K,,,,,Freshwater,,FW
68,1230673441173,,United State Geological Survey,USGS,14164900,44.071236,-122.964527,"McKENZIE RIVER ABV HAYDEN BR, AT SPRINGFIELD,OR",Needs Secondary Review,Correct,,10.869265,170900,Willamette,17090004,Mckenzie,McKenzie River,,Modified Streamnet 100K,,,,,Freshwater,,FW
69,1230064446868,,United State Geological Survey,USGS,14178000,44.706789,-122.101186,"NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR",Needs Secondary Review,Correct,,57.787598,170900,Willamette,17090005,North Santiam,North Santiam River,,StreamNet 100K,,,,,Freshwater,,FW
70,1221580447267,,United State Geological Survey,USGS,14179000,44.752622,-122.128965,"BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.",Needs Secondary Review,Correct,,2.672835,170900,Willamette,17090005,North Santiam,Breitenbush River,,StreamNet 100K,,,,,Freshwater,,FW
71,1221547447400,,United State Geological Survey,USGS,14179100,44.7604,-122.16841,"FRENCH CREEK NEAR DETROIT, OR",Needs Secondary Review,Correct,,1.674165,170900,Willamette,17090005,North Santiam,French Creek,,StreamNet 100K,,,,,Freshwater,,FW
72,1222080446950,,United State Geological Survey,USGS,14180300,44.6529,-122.130908,"BLOWOUT CREEK NEAR DETROIT, OR",Needs Secondary Review,Correct,,5.369229,170900,Willamette,17090005,North Santiam,Blowout Creek,,StreamNet 100K,,,,,Freshwater,,FW
73,1230064446868,,United State Geological Survey,USGS,14181500,44.752622,-122.298412,"NORTH SANTIAM RIVER AT NIAGARA, OR",Needs Secondary Review,Correct,,44.406996,170900,Willamette,17090005,North Santiam,North Santiam River,,StreamNet 100K,,,,,Freshwater,,FW
74,1224899451656,,United State Geological Survey,USGS,14199710,45.166512,-122.490086,"NATE CREEK NEAR COLTON,OREG.",Needs Secondary Review,Correct,,0.06128,170900,Willamette,17090009,Molalla-Pudding,Nate Creek,,StreamNet 100K,,,,,Freshwater,,FW
75,1227171452976,,United State Geological Survey,USGS,14200000,45.244288,-122.687314,"MOLALLA RIVER NEAR CANBY, OR",Needs Secondary Review,Correct,,6.048748,170900,Willamette,17090009,Molalla-Pudding,Molalla River,,StreamNet 100K,,,,,Freshwater,,FW
76,1226280449569,,United State Geological Survey,USGS,14200400,44.955678,-122.62842,"LITTLE ABIQUA CREEK NEAR SCOTTS MILLS, OR",Needs Secondary Review,Correct,,0.08978,170900,Willamette,17090009,Molalla-Pudding,Little Abiqua Creek,,StreamNet 100K,,,,,Freshwater,,FW
77,1228266451046,,United State Geological Survey,USGS,14201300,45.100398,-122.82176,"ZOLLNER CREEK NEAR MT ANGEL, OR",Needs Secondary Review,Correct,,0.390392,170900,Willamette,17090009,Molalla-Pudding,Zollner Creek,,StreamNet 100K,,,,,Freshwater,,FW
78,1226500453377,,United State Geological Survey,USGS,14202300,45.467334,-123.291778,"TUALATIN RIVER AT CHERRY GROVE, OR.",Needs Secondary Review,Correct,,72.98232,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
79,1226500453377,,United State Geological Survey,USGS,14202510,45.438725,-123.140941,"TUALATIN RIVER AT GASTON, OR",Needs Secondary Review,Correct,,62.893261,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
80,1231250454590,,United State Geological Survey,USGS,14202650,45.440642,-123.125,"WAPATO CREEK AT SW GASTON ROAD, AT GASTON, OR",Needs Secondary Review,Manually Revised with IRL tool,,0.120309,170900,Willamette,17090010,Tualatin,Wapato Creek,,StreamNet 100K,,,,,Freshwater,,FW
81,1231261454600,,United State Geological Survey,USGS,14202980,45.46928,-123.200109,"SCOGGINS CK BLW HENRY HAGG LAKE, NR GASTON, OR",Needs Secondary Review,Correct,,4.633646,170900,Willamette,17090010,Tualatin,Scoggins Creek,,StreamNet 100K,,,,,Freshwater,,FW
82,1231261454600,,United State Geological Survey,USGS,14203000,45.458725,-123.155663,"SCOGGIN CREEK NEAR GASTON, OREG.",Needs Secondary Review,Correct,,1.630534,170900,Willamette,17090010,Tualatin,Scoggins Creek,,StreamNet 100K,,,,,Freshwater,,FW
83,1226500453377,,United State Geological Survey,USGS,14203500,45.474837,-123.124274,"TUALATIN RIVER NEAR DILLEY, OR",Needs Secondary Review,Correct,,59.58847,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
84,1231025454915,,United State Geological Survey,USGS,14204520,45.519281,-123.130386,"GALES CREEK AT FOREST GROVE,OREG. (DUPLICATE1)",Needs Secondary Review,Correct,,3.81363,170900,Willamette,17090010,Tualatin,Gales Creek,,StreamNet 100K,,,,,Freshwater,,FW
85,1231025454915,,United State Geological Survey,USGS,14204530,45.51067,-123.115663,"GALES CREEK AT ROUTE 47 AT FOREST GROVE, OR",Needs Secondary Review,Correct,,2.35117,170900,Willamette,17090010,Tualatin,Gales Creek,,StreamNet 100K,,,,,Freshwater,,FW
86,1226500453377,,United State Geological Survey,USGS,14204650,45.492893,-123.092329,DIVERSION FROM TUAL R AT SPRINGHILL PUMPING PLANT,Needs Secondary Review,Correct,,56.314019,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
87,1226500453377,,United State Geological Survey,USGS,14204660,45.5,-123.089172,"TUALATIN R AT SW FERN HILL RD, NR FOREST GROVE, OR",Needs Secondary Review,Correct,,55.443811,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
88,1226500453377,,United State Geological Survey,USGS,14204800,45.50206,-123.056217,"TUALATIN RIVER AT GOLF COURSE RD NR CORNELIUS, OR",Needs Secondary Review,Correct,,51.497117,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
89,1230728455698,,United State Geological Survey,USGS,14205400,45.682336,-123.069553,"EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR",Needs Secondary Review,Correct,,12.586864,170900,Willamette,17090010,Tualatin,East Fork Dairy Creek,,StreamNet 100K,,,,,Freshwater,,FW
90,1230728455698,,United State Geological Survey,USGS,14205780,45.578448,-123.070663,"EAST FORK DAIRY CREEK NEAR ROY,OREG.",Needs Secondary Review,Correct,,1.171481,170900,Willamette,17090010,Tualatin,East Fork Dairy Creek,,StreamNet 100K,,,,,Freshwater,,FW
91,1229958455017,,United State Geological Survey,USGS,14205850,45.538726,-123.041773,DAIRY CREEK AT SUSBAUER ROAD,Needs Secondary Review,Correct,,5.751973,170900,Willamette,17090010,Tualatin,Dairy Creek,,StreamNet 100K,,,,,Freshwater,,FW
92,1230119455224,,United State Geological Survey,USGS,14206070,45.572615,-122.991772,MCKAY CK ABV WAIBLE CK @ SCOTCH CHURCH RD NR N.PLN,Needs Secondary Review,Correct,,5.991061,170900,Willamette,17090010,Tualatin,McKay Creek,,StreamNet 100K,,,,,Freshwater,,FW
93,1230119455224,,United State Geological Survey,USGS,14206180,45.542893,-123.004272,"MCKAY CREEK NEAR HILLSBORO,OREG.",Needs Secondary Review,Correct,,2.158106,170900,Willamette,17090010,Tualatin,McKay Creek,,StreamNet 100K,,,,,Freshwater,,FW
94,1229958455017,,United State Geological Survey,USGS,14206200,45.519838,-123.010661,"DAIRY CREEK AT RTE 8 NEAR HILLSBORO, OR",Needs Secondary Review,Correct,,1.983303,170900,Willamette,17090010,Tualatin,Dairy Creek,,StreamNet 100K,,,,,Freshwater,,FW
