"PARAMETER_KEY","Result","NAME","ABBREVIATION","Name.full","SAMPLE_DATE","SAMPLE_TIME","STATION_KEY","LOCATION_DESCRIPTION","SAMPLE_MATRIX","METHOD_DETECTION_LIMIT","METHOD_REPORTING_LIMIT","QA_QC_TYPE","STATUS","UNIT","SUBPROJECT_NAME","Result_clean"
5195,"106","Conductivity","Field","FieldConductivity",2002-12-17,1899-12-30 14:40:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","106"
5195,"95","Conductivity","Field","FieldConductivity",2004-12-08,1899-12-30 10:00:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","95"
5195,"123","Conductivity","Field","FieldConductivity",2005-03-01,1899-12-30 16:00:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","123"
5195,"115","Conductivity","Field","FieldConductivity",2005-03-22,1899-12-30 09:00:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","115"
5195,"98","Conductivity","Field","FieldConductivity",2005-11-06,1899-12-30 08:30:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","98"
5195,"86","Conductivity","Field","FieldConductivity",2006-01-11,1899-12-30 09:18:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","86"
5195,"112","Conductivity","Field","FieldConductivity",2006-11-07,1899-12-30 14:00:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","112"
5195,"97","Conductivity","Field","FieldConductivity",2007-11-17,1899-12-30 09:00:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","97"
5195,"105","Conductivity","Field","FieldConductivity",2008-04-22,1899-12-30 08:20:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","105"
5229,"0","Salinity","Field","FieldSalinity",2002-09-05,1899-12-30 09:29:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,0.1,"Sample","A+","ppth","Volunteer Monitoring Reports","0"
5195,"178","Conductivity","Field","FieldConductivity",2002-09-12,1899-12-30 13:24:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","178"
5195,"181","Conductivity","Field","FieldConductivity",2002-10-03,1899-12-30 09:43:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","181"
5195,"200","Conductivity","Field","FieldConductivity",2002-10-21,1899-12-30 13:25:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","200"
5229,"0","Salinity","Field","FieldSalinity",2002-11-08,1899-12-30 10:07:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,0.1,"Sample","A","ppth","Volunteer Monitoring Reports","0"
5195,"139","Conductivity","Field","FieldConductivity",2002-11-08,1899-12-30 10:07:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","139"
5229,"0","Salinity","Field","FieldSalinity",2002-11-20,1899-12-30 10:00:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,0.1,"Sample","A","ppth","Volunteer Monitoring Reports","0"
5195,"114","Conductivity","Field","FieldConductivity",2002-11-20,1899-12-30 10:00:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","114"
5229,"0","Salinity","Field","FieldSalinity",2002-12-17,1899-12-30 09:45:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,0.1,"Sample","A","ppth","Volunteer Monitoring Reports","0"
5195,"83","Conductivity","Field","FieldConductivity",2002-12-17,1899-12-30 09:45:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","83"
5195,"60","Conductivity","Field","FieldConductivity",2004-12-08,1899-12-30 09:35:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","60"
5195,"84","Conductivity","Field","FieldConductivity",2005-03-01,1899-12-30 17:10:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","84"
5195,"73","Conductivity","Field","FieldConductivity",2005-11-06,1899-12-30 09:20:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","73"
5195,"52","Conductivity","Field","FieldConductivity",2006-01-11,1899-12-30 10:30:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","52"
5195,"59","Conductivity","Field","FieldConductivity",2006-11-07,1899-12-30 14:00:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","59"
5195,"61","Conductivity","Field","FieldConductivity",2007-11-17,1899-12-30 10:15:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","61"
5195,"83","Conductivity","Field","FieldConductivity",2008-04-22,1899-12-30 13:40:00,12099,"Quosatana Creek upstream of USFS Road #33","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","83"
5195,"65","Conductivity","Field","FieldConductivity",2009-10-13,1899-12-30 12:05:00,13568,"East Fork Millicoma River at Private Road","Surface water",1,1,"Sample","A+","µmhos/cm @ 25° C","TMDL (NPS) Development - Coos","65"
5195,"61","Conductivity",NA,NA,2009-10-13,1899-12-30 12:05:00,13568,"East Fork Millicoma River at Private Road","Surface water",NA,1,"Sample","A+","µmhos/cm @ 25° C","TMDL (NPS) Development - Coos","61"
5195,"62","Conductivity","Field","FieldConductivity",2009-10-14,1899-12-30 11:00:00,13568,"East Fork Millicoma River at Private Road","Surface water",1,1,"Sample","A+","µmhos/cm @ 25° C","TMDL (NPS) Development - Coos","62"
5195,"59","Conductivity",NA,NA,2009-10-14,1899-12-30 11:00:00,13568,"East Fork Millicoma River at Private Road","Surface water",NA,1,"Sample","A+","µmhos/cm @ 25° C","TMDL (NPS) Development - Coos","59"
5195,"58","Conductivity","Field","FieldConductivity",2009-10-15,1899-12-30 10:50:00,13568,"East Fork Millicoma River at Private Road","Surface water",1,1,"Sample","A+","µmhos/cm @ 25° C","TMDL (NPS) Development - Coos","58"
5195,"72","Conductivity","Field","FieldConductivity",2009-10-13,1899-12-30 12:30:00,13569,"West Fork Millicoma River at Allegany","Surface water",1,1,"Sample","A+","µmhos/cm @ 25° C","TMDL (NPS) Development - Coos","72"
5195,"84","Conductivity","Field","FieldConductivity",2009-10-14,1899-12-30 11:25:00,13569,"West Fork Millicoma River at Allegany","Surface water",1,1,"Sample","A+","µmhos/cm @ 25° C","TMDL (NPS) Development - Coos","84"
5195,"63","Conductivity","Field","FieldConductivity",2009-10-15,1899-12-30 11:20:00,13569,"West Fork Millicoma River at Allegany","Surface water",1,1,"Sample","A+","µmhos/cm @ 25° C","TMDL (NPS) Development - Coos","63"
5195,"58","Conductivity",NA,NA,2009-10-15,1899-12-30 11:20:00,13569,"West Fork Millicoma River at Allegany","Surface water",NA,1,"Sample","A+","µmhos/cm @ 25° C","TMDL (NPS) Development - Coos","58"
5229,"4.1","Salinity","Field","FieldSalinity",2003-08-26,1899-12-30 14:40:00,13787,"Garrison Lake at deepest point","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","4.1"
5229,"25.5","Salinity","Field","FieldSalinity",2003-08-26,1899-12-30 14:50:00,13787,"Garrison Lake at deepest point","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","25.5"
5229,"4.2","Salinity","Field","FieldSalinity",2003-08-27,1899-12-30 10:25:00,13787,"Garrison Lake at deepest point","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","4.2"
5229,"4.3","Salinity","Field","FieldSalinity",2003-08-27,1899-12-30 10:35:00,13787,"Garrison Lake at deepest point","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","4.3"
5229,"4.0","Salinity","Field","FieldSalinity",2003-09-24,1899-12-30 15:25:00,13787,"Garrison Lake at deepest point","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","4.0"
5229,"27.0","Salinity","Field","FieldSalinity",2003-09-24,1899-12-30 15:35:00,13787,"Garrison Lake at deepest point","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","27.0"
5195,"115","Conductivity","Field","FieldConductivity",2000-08-30,1899-12-30 11:30:00,13904,"Cullaby Lake at N end of fishing dock","Surface water",NA,NA,"Sample","A+","µmhos/cm @ 25° C","Placeholder for CWA Grab Data","115"
5229,"0.0","Salinity","Field","FieldSalinity",2003-06-25,1899-12-30 12:24:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","0.0"
5195,"104","Conductivity","Field","FieldConductivity",2003-06-25,1899-12-30 12:24:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","104"
5229,"0.0","Salinity","Field","FieldSalinity",2003-07-22,1899-12-30 13:52:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","0.0"
5195,"103","Conductivity","Field","FieldConductivity",2003-07-22,1899-12-30 13:52:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","103"
5195,"75","Conductivity","Field","FieldConductivity",2004-12-08,1899-12-30 09:10:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","75"
5195,"81","Conductivity","Field","FieldConductivity",2005-03-01,1899-12-30 16:20:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","81"
5195,"70","Conductivity","Field","FieldConductivity",2005-03-22,1899-12-30 09:50:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","70"
5195,"60","Conductivity","Field","FieldConductivity",2006-01-11,1899-12-30 08:57:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","60"
5195,"76","Conductivity","Field","FieldConductivity",2007-11-17,1899-12-30 10:31:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","76"
5195,"96","Conductivity","Field","FieldConductivity",2008-04-22,1899-12-30 11:34:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample - Field Primary","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","96"
5195,"96","Conductivity","Field","FieldConductivity",2008-04-22,1899-12-30 11:35:00,18821,"Bethel Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample - Field Duplicate","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","96"
5229,"0.0","Salinity","Field","FieldSalinity",2003-06-25,1899-12-30 10:52:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","0.0"
5195,"177","Conductivity","Field","FieldConductivity",2003-06-25,1899-12-30 10:52:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","177"
5229,"0.0","Salinity","Field","FieldSalinity",2003-07-22,1899-12-30 15:33:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","0.0"
5195,"161","Conductivity","Field","FieldConductivity",2003-07-22,1899-12-30 15:33:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","161"
5195,"104","Conductivity","Field","FieldConductivity",2004-12-08,1899-12-30 09:20:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","104"
5195,"120","Conductivity","Field","FieldConductivity",2005-03-01,1899-12-30 15:24:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","120"
5195,"90","Conductivity","Field","FieldConductivity",2005-03-22,1899-12-30 09:00:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","90"
5195,"119","Conductivity","Field","FieldConductivity",2005-11-06,1899-12-30 09:10:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","119"
5195,"86","Conductivity","Field","FieldConductivity",2006-01-11,1899-12-30 08:32:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample - Field Primary","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","86"
5195,"117","Conductivity","Field","FieldConductivity",2006-11-07,1899-12-30 13:30:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","117"
5195,"186","Conductivity","Field","FieldConductivity",2007-06-29,1899-12-30 12:10:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","186"
5195,"104","Conductivity","Field","FieldConductivity",2007-11-17,1899-12-30 09:10:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","104"
5195,"129","Conductivity","Field","FieldConductivity",2008-04-22,1899-12-30 08:40:00,18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","129"
5229,"0.0","Salinity","Field","FieldSalinity",2003-06-25,1899-12-30 10:07:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","0.0"
5195,"93","Conductivity","Field","FieldConductivity",2003-06-25,1899-12-30 10:07:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","93"
5229,"0.0","Salinity","Field","FieldSalinity",2003-07-22,1899-12-30 16:05:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,0.1,"Sample - Field Primary","B","ppth","Volunteer Monitoring Reports","0.0"
5195,"88","Conductivity","Field","FieldConductivity",2003-07-22,1899-12-30 16:05:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample - Field Primary","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","88"
5229,"0.0","Salinity","Field","FieldSalinity",2003-07-22,1899-12-30 16:06:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,0.1,"Sample - Field Duplicate","B","ppth","Volunteer Monitoring Reports","0.0"
5195,"75","Conductivity","Field","FieldConductivity",2004-12-08,1899-12-30 09:00:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","75"
5195,"87","Conductivity","Field","FieldConductivity",2005-03-01,1899-12-30 15:02:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","87"
5195,"75","Conductivity","Field","FieldConductivity",2005-03-22,1899-12-30 09:40:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","75"
5195,"91","Conductivity","Field","FieldConductivity",2005-11-06,1899-12-30 08:45:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","91"
5195,"63","Conductivity","Field","FieldConductivity",2006-01-11,1899-12-30 08:15:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","63"
5195,"108","Conductivity","Field","FieldConductivity",2006-11-07,1899-12-30 12:45:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample - Field Primary","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","108"
5195,"108","Conductivity","Field","FieldConductivity",2006-11-07,1899-12-30 12:46:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample - Field Duplicate","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","108"
5195,"94","Conductivity","Field","FieldConductivity",2007-06-29,1899-12-30 10:58:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","94"
5195,"83","Conductivity","Field","FieldConductivity",2007-11-17,1899-12-30 08:45:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","83"
5195,"86","Conductivity","Field","FieldConductivity",2008-04-22,1899-12-30 08:15:00,18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","86"
5229,"0.0","Salinity","Field","FieldSalinity",2003-06-25,1899-12-30 11:41:00,18824,"Davis Creek at Hwy 101 (tributary to New River)","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","0.0"
5195,"96","Conductivity","Field","FieldConductivity",2003-06-25,1899-12-30 11:41:00,18824,"Davis Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","96"
5229,"0.0","Salinity","Field","FieldSalinity",2003-07-22,1899-12-30 15:02:00,18824,"Davis Creek at Hwy 101 (tributary to New River)","Surface water",NA,0.1,"Sample","B","ppth","Volunteer Monitoring Reports","0.0"
5195,"98","Conductivity","Field","FieldConductivity",2003-07-22,1899-12-30 15:02:00,18824,"Davis Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","98"
5195,"106","Conductivity","Field","FieldConductivity",2006-11-07,1899-12-30 15:00:00,18824,"Davis Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","106"
5195,"102","Conductivity","Field","FieldConductivity",2007-06-29,1899-12-30 12:15:00,18824,"Davis Creek at Hwy 101 (tributary to New River)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","102"
5195,"59.2","Conductivity","Field","FieldConductivity",2005-03-21,1899-12-30 14:00:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample - Field Duplicate","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","59.2"
5195,"59.1","Conductivity","Field","FieldConductivity",2005-03-21,1899-12-30 14:00:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample - Field Primary","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","59.1"
5195,"60","Conductivity","Field","FieldConductivity",2005-04-07,1899-12-30 13:56:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample - Field Primary","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","60"
5195,"60","Conductivity","Field","FieldConductivity",2005-04-07,1899-12-30 13:56:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample - Field Duplicate","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","60"
5195,"73.4","Conductivity","Field","FieldConductivity",2005-07-22,1899-12-30 14:00:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","73.4"
5195,"84.6","Conductivity","Field","FieldConductivity",2005-08-18,1899-12-30 13:10:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","84.6"
5195,"85.4","Conductivity","Field","FieldConductivity",2005-09-16,1899-12-30 14:20:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","85.4"
5195,"77.7","Conductivity","Field","FieldConductivity",2005-10-27,1899-12-30 14:30:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","77.7"
5195,"51.5","Conductivity","Field","FieldConductivity",2005-12-27,1899-12-30 06:08:00,20447,"Big Creek (Tenmile Lake)","Surface water",1,1,"Sample","A","µmhos/cm @ 25° C","OWEB Volunteer Monitoring","51.5"
5195,"58.3","Conductivity","Field","FieldConductivity",2005-12-28,1899-12-30 16:20:00,20447,"Big Creek (Tenmile Lake)","Surface water",1,1,"Sample","A","µmhos/cm @ 25° C","OWEB Volunteer Monitoring","58.3"
5195,"61.4","Conductivity","Field","FieldConductivity",2005-12-30,1899-12-30 12:50:00,20447,"Big Creek (Tenmile Lake)","Surface water",1,1,"Sample","A","µmhos/cm @ 25° C","OWEB Volunteer Monitoring","61.4"
5195,"61.8","Conductivity","Field","FieldConductivity",2005-12-31,1899-12-30 08:50:00,20447,"Big Creek (Tenmile Lake)","Surface water",1,1,"Sample","A","µmhos/cm @ 25° C","OWEB Volunteer Monitoring","61.8"
5195,"67.6","Conductivity","Field","FieldConductivity",2006-06-29,1899-12-30 15:23:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","67.6"
5195,"77","Conductivity","Field","FieldConductivity",2006-07-27,1899-12-30 15:20:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","77"
5195,"86","Conductivity","Field","FieldConductivity",2006-08-31,1899-12-30 15:00:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","86"
5195,"85","Conductivity","Field","FieldConductivity",2006-09-29,1899-12-30 14:10:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","85"
5195,"85.4","Conductivity","Field","FieldConductivity",2006-10-30,1899-12-30 13:00:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","85.4"
5195,"66.6","Conductivity","Field","FieldConductivity",2007-06-29,1899-12-30 15:15:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample - Field Primary","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","66.6"
5195,"66.7","Conductivity","Field","FieldConductivity",2007-06-29,1899-12-30 15:15:00,20447,"Big Creek (Tenmile Lake)","Surface water",NA,1,"Sample - Field Duplicate","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","66.7"
