OBJECTID,LLID,LAKE_LLID,AGENCY,AGENCY_ID,STATION,DEC_LAT,DEC_LONG,DESCRIPTIO,QAQC1,QAQC2,Comments,RIVER_MILE,HUC_6,HU_6_Name,HUC_8,HU_8_Name,GIS_STREAM,LAKE_NAME,GIS_Source,GIS_Sour_1
16,1240202449260.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36256,44.93630000000,-123.97160000000,City of Lincoln City Intake,Needs Secondary Review,Likely Correct,No stream name provided. Located on Schooner Creek,3.13465530303,171002,Northern Oregon Coastal,17100204,Siletz-Yaquina,Schooner Creek,,StreamNet 100K,
17,1240300434240.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,13568,43.43305600000,-124.02333300000,East Fork Millicoma River at Private Road,Needs Secondary Review,Correct,,0.91315909091,171003,Southern Oregon Coastal,17100304,Coos,East Fork Millicoma River,,StreamNet 100K,
18,1240300434240.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,13569,43.42500000000,-124.03055600000,West Fork Millicoma River at Allegany,Needs Secondary Review,Manually Revised with IRL tool,,0.00000000000,171003,Southern Oregon Coastal,17100304,Coos,West Fork Millicoma River,,StreamNet 100K,
19,1240473426350.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,30369,42.63371900000,-124.04672300000,Foster Creek at mouth,Needs Secondary Review,Manually Revised with IRL tool,,0.00000000000,171003,Southern Oregon Coastal,17100310,Lower Rogue,Foster Creek,,StreamNet 100K,
20,1240518425720.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36679,42.57254000000,-124.04855000000,Shasta Costa Creek at Rd 33 Bridge,Needs Secondary Review,Correct,,0.19508712121,171003,Southern Oregon Coastal,17100310,Lower Rogue,Shasta Costa Creek,,StreamNet 100K,
21,1240480426440.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36678,42.64470000000,-124.04889000000,Billings Creek at Mouth,Needs Secondary Review,Correct,,0.07161742424,171003,Southern Oregon Coastal,17100310,Lower Rogue,Billings Creek,,StreamNet 100K,
22,1240300434240.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36053,43.47690000000,-124.05570000000,Millicoma River at USGS Gaging Station (RM 6.6),Needs Secondary Review,Manually Revised with IRL tool,,6.77992045455,171003,Southern Oregon Coastal,17100304,Coos,West Fork Millicoma River,,StreamNet 100K,
23,1244292424210.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,10599,42.58725000000,-124.06166700000,Rogue River at bridge upstream of Agness,Needs Secondary Review,Manually Revised with IRL tool,,30.16304356060,171003,Southern Oregon Coastal,17100310,Lower Rogue,Rogue River,,StreamNet 100K,
24,1240724425530.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36683,42.55153000000,-124.07316000000,Tom Fry Creek Near Mouth,Needs Secondary Review,Correct,Stream not connected to Rogue River,0.15071969697,171003,Southern Oregon Coastal,17100310,Lower Rogue,Tom Fry Creek,,StreamNet 100K,
25,1240778428980.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36250,42.89950000000,-124.07590000000,Woodward Creek at Gant Creek Road,Needs Secondary Review,Correct,,0.11300568182,171003,Southern Oregon Coastal,17100305,Coquille,Woodward Creek,,StreamNet 100K,
26,1241051435640.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36216,43.56864100000,-124.09573300000,Benson Cr at Benson Cr Rd Bridge (Tenmile),Needs Secondary Review,Correct,,0.66375757576,171003,Southern Oregon Coastal,17100304,Coos,Benson Creek,,StreamNet 100K,
27,1240992429490.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36247,42.95010000000,-124.09610000000,Yellow Creek at Mouth,Needs Secondary Review,Correct,,0.20388825758,171003,Southern Oregon Coastal,17100305,Coquille,Yellow Creek,,StreamNet 100K,
28,1241211435980.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,20447,43.59502800000,-124.09647200000,Big Creek (Tenmile Lake),Needs Secondary Review,Correct,,1.59157954545,171003,Southern Oregon Coastal,17100304,Coos,Big Creek,,StreamNet 100K,
29,1241417430800.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36253,42.93220000000,-124.10160000000,South Fork Coquille River at RM. 21.7,Needs Secondary Review,Correct,,21.29524810610,171003,Southern Oregon Coastal,17100305,Coquille,South Fork Coquille River,,StreamNet 100K,
30,1241109429060.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36344,42.90600000000,-124.11100000000,Baker Creek at mouth,Needs Secondary Review,Correct,,0.00000000000,171003,Southern Oregon Coastal,17100305,Coquille,Baker Creek,,StreamNet 100K,
31,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,32024,42.01542000000,-124.11139000000,Winchuck River Mainstem upstream of NFB,Needs Secondary Review,Correct,Orphaned Streams - gap in stream network.,9.05143371212,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
32,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36708,42.01439000000,-124.11442000000,Winchuck River at First Camp,Needs Secondary Review,Correct,Orphaned Streams - gap in stream network.,8.89653030303,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
33,1241349421860.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,31463,42.18660000000,-124.13480000000,South Fork Chetco River at mouth,Needs Secondary Review,Correct,,0.07796212121,171003,Southern Oregon Coastal,17100312,Chetco,South Fork Chetco River,,StreamNet 100K,
34,1241468435880.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36217,43.61605000000,-124.14019900000,Blacks Creek Delta (Tenmile),Needs Secondary Review,Correct,,2.03195265152,171003,Southern Oregon Coastal,17100304,Coos,Blacks Creek,,StreamNet 100K,
35,1241830436340.00000000000,1241808436460.00000000000,Oregon Department of Environmental Quality,ODEQ,36315,43.65330100000,-124.18419600000,City of Reedsport Intake PWS# 4100699 Clear Lake,Needs Secondary Review,Correct,Added Lake LLID,1.31924242424,171003,Southern Oregon Coastal,17100304,Coos,Clear Lake,Clear Lake,StreamNet 100K,StreamNet 100K
36,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36711,41.99795000000,-124.19287000000,Winchuck R Above SF,Needs Secondary Review,Correct,,1.02408901515,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
37,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,31520,41.99730000000,-124.19370000000,South Fork Winchuck River near mouth,Needs Secondary Review,Potential Digitization,"Stream doesn't exist on DEQ streams, but does in NHDH",0.96851325758,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
38,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36712,42.00341000000,-124.19979000000,Winchuck R at RM 0.43,Needs Secondary Review,Correct,,0.42903787879,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
39,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36714,42.00522000000,-124.20648000000,Winchuck R at RM 0.05,Needs Secondary Review,Correct,,0.04693181818,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
40,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36754,42.00741000000,-124.20914000000,Winchuck R Estuary Trib Ditch on SE side of Winchuck R Rd,Needs Secondary Review,Potential Digitization,Ditch doesn't exist on DEQ streams or NHDH.,0.00000000000,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
41,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36755,42.00745000000,-124.20916000000,Winchuck R Estuary Trib Ditch Trib Entering SE Ditch on E Side of Winchuck R,Needs Secondary Review,Potential Digitization,Ditch doesn't exist on DEQ streams or NHDH.,0.00000000000,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
42,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36752,42.00755000000,-124.20919000000,Winchuck R Estuary Trib Ditch on NE side of Winchuck R Rd,Needs Secondary Review,Potential Digitization,Ditch doesn't exist on DEQ streams or NHDH.,0.00000000000,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
43,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36753,42.00758000000,-124.20939000000,Winchuck R Estuary Trib Ditch on NW side of Winchuck R Rd,Needs Secondary Review,Potential Digitization,Ditch doesn't exist on DEQ streams or NHDH.,0.00000000000,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
44,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36756,42.00740000000,-124.20941000000,Winchuck R Estuary Trib (at Wayside) Below Winchuck R Rd,Needs Secondary Review,Potential Digitization,Trib doesn't exist on DEQ streams or NHDH.,0.00000000000,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
45,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36750,42.00542000000,-124.21030000000,Winchuck R Estuary at Hwy 101 Bridge,Needs Secondary Review,Correct,,0.00000000000,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
46,1242066420050.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36751,42.00560000000,-124.21120000000,Winchuck R Estuary Trib at Winchuck Wayside Near Mouth,Needs Secondary Review,Potential Digitization,Labeled tributary. Does not have stream segment associated with it in either DEQ streams or NHDH.,0.00000000000,171003,Southern Oregon Coastal,17100312,Chetco,Winchuck River,,StreamNet 100K,
47,1240637462560.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36228,42.00570000000,-124.21167000000,Crissey Field State Park Beach 450m upstream from the mouth of the Winchuck River near Hwy. 101,Needs Secondary Review,Correct,,357.48981439400,171003,Southern Oregon Coastal,17100312,Chetco,Pacific Ocean,,NHD Medium & digitized from various sources,
48,1240637462560.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36716,42.00629000000,-124.21432000000,Winchuck Estuary Trib Ditch Outlet Pipe,Needs Secondary Review,Potential Digitization,Ditch doesn't exist on DEQ streams or NHDH.,357.42907765200,171003,Southern Oregon Coastal,17100312,Chetco,Pacific Ocean,,NHD Medium & digitized from various sources,
49,1240637462560.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36719,42.00624000000,-124.21455000000,Winchuck Estuary Runoff at Pipe Near Wollam Rd and Co Hwy 892,Needs Secondary Review,Potential Digitization,Pipe doesn't exist on DEQ streams or NHDH.,357.42543750000,171003,Southern Oregon Coastal,17100312,Chetco,Pacific Ocean,,NHD Medium & digitized from various sources,
50,1240637462560.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36718,42.00640000000,-124.21462000000,Winchuck Estuary Runoff at Ponding Near Wollam Rd and Co Hwy 892,Needs Secondary Review,Potential Digitization,Runoff doesn't exist on DEQ streams or NHDH.,357.42080113600,171003,Southern Oregon Coastal,17100312,Chetco,Pacific Ocean,,NHD Medium & digitized from various sources,
51,1240637462560.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36715,42.00670000000,-124.21467000000,Winchuck Estuary Trib Ditch,Needs Secondary Review,Potential Digitization,Ditch doesn't exist on DEQ streams or NHDH.,357.40616287900,171003,Southern Oregon Coastal,17100312,Chetco,Pacific Ocean,,NHD Medium & digitized from various sources,
52,1242224420640.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,25241,42.06138900000,-124.21472200000,"Jack Creek, tributary to Chetco River, below downstream most Golf Bridge",Needs Secondary Review,Correct,,0.41500757576,171003,Southern Oregon Coastal,17100312,Chetco,Jack Creek,,StreamNet 100K,
53,1240637462560.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36717,42.00663000000,-124.21476000000,Winchuck Estuary Runoff at Grate Near Wollam Rd and Co Hwy 892,Needs Secondary Review,Potential Digitization,Runoff doesn't exist on DEQ streams or NHDH.,357.40681250000,171003,Southern Oregon Coastal,17100312,Chetco,Pacific Ocean,,NHD Medium & digitized from various sources,
54,1240637462560.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36720,42.00543000000,-124.21527000000,Winchuck River Estuary ABV bar at Mouth,Needs Secondary Review,Correct,,357.45171212100,171003,Southern Oregon Coastal,17100312,Chetco,Pacific Ocean,,NHD Medium & digitized from various sources,
55,1242224420640.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,25242,42.06222200000,-124.21750000000,"Jack Creek, tributary to Chetco River, just downstream of Fish Trap",Needs Secondary Review,Correct,,0.31579924242,171003,Southern Oregon Coastal,17100312,Chetco,Jack Creek,,StreamNet 100K,
56,1245439428540.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,34280,42.80640000000,-124.23080000000,Sixes River at RM 22.2 DS of Middle Fork Sixes River,Needs Secondary Review,Correct,,22.40250378790,171003,Southern Oregon Coastal,17100306,Sixes,Sixes River,,StreamNet 100K,
57,1242424424980.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,12099,42.48808300000,-124.23130600000,Quosatana Creek upstream of USFS Road #33,Needs Secondary Review,Correct,,0.92537500000,171003,Southern Oregon Coastal,17100310,Lower Rogue,Quosatana Creek,,StreamNet 100K,
58,1242373425000.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,32644,42.50700000000,-124.23310000000,Silver Creek near mouth (Lower Rogue),Needs Secondary Review,Correct,,0.56597348485,171003,Southern Oregon Coastal,17100310,Lower Rogue,Silver Creek,,StreamNet 100K,
59,1242688420470.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36480,42.04237000000,-124.26120000000,Tuttle Creek at Driftwood RV Park,Needs Secondary Review,Correct,,0.56208901515,171003,Southern Oregon Coastal,17100312,Chetco,Tuttle Creek,,StreamNet 100K,
60,1242623428070.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36655,42.80813000000,-124.26211000000,Big Creek at Sixes River Rd,Needs Secondary Review,Correct,,0.04652083333,171003,Southern Oregon Coastal,17100306,Sixes,Big Creek,,StreamNet 100K,
61,1242688420470.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36462,42.04432900000,-124.26401000000,Chetco Estuary Commercial Boat Basin East Pipe,Needs Secondary Review,Likely Correct,Pipe doesn't exist on DEQ streams or NHDH.,0.29151515152,171003,Southern Oregon Coastal,17100312,Chetco,Tuttle Creek,,StreamNet 100K,
62,1242688420470.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36467,42.04444000000,-124.26490700000,Chetco Estuary Commercial Boat Basin South End,Needs Secondary Review,Correct,,0.25705303030,171003,Southern Oregon Coastal,17100312,Chetco,Tuttle Creek,,StreamNet 100K,
63,1242688420470.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36473,42.04577000000,-124.26508000000,Chetco Estuary Commercial Boat Basin N of Bathroom Pipe,Needs Secondary Review,Correct,,0.17446780303,171003,Southern Oregon Coastal,17100312,Chetco,Tuttle Creek,,StreamNet 100K,
64,1242688420470.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36481,42.04382000000,-124.26513000000,Tuttle Creek at Pipe Outlet to Chetco Estuary Commercial Boat Basin,Needs Secondary Review,Correct,,0.28378030303,171003,Southern Oregon Coastal,17100312,Chetco,Tuttle Creek,,StreamNet 100K,
65,1242688420470.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36464,42.04541300000,-124.26572700000,Chetco Estuary Commercial Boat Basin Center,Needs Secondary Review,Correct,,0.18107954546,171003,Southern Oregon Coastal,17100312,Chetco,Tuttle Creek,,StreamNet 100K,
66,1242688420470.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36465,42.04655800000,-124.26642300000,Chetco Estuary Commercial Boat Basin North End,Needs Secondary Review,Correct,,0.13701325758,171003,Southern Oregon Coastal,17100312,Chetco,Tuttle Creek,,StreamNet 100K,
67,1242700420450.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36468,42.04831900000,-124.26662000000,Delavan Creek Pipe Into Chetco Estuary Boat Basin Barge Slip,Needs Secondary Review,Correct,Ditch doesn't exist on DEQ streams or NHDH.,0.19412310606,171003,Southern Oregon Coastal,17100312,Chetco,Chetco River,,StreamNet 100K,
68,1242700420450.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36461,42.05038700000,-124.26812300000,Chetco Estuary Sport Boat Basin Southern Pipe,Needs Secondary Review,Correct,,0.36579356061,171003,Southern Oregon Coastal,17100312,Chetco,Chetco River,,StreamNet 100K,
69,1242700420450.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36475,42.05138000000,-124.26836000000,Chetco Estuary Sport Boat Basin Northern Pipe,Needs Secondary Review,Correct,,0.43131439394,171003,Southern Oregon Coastal,17100312,Chetco,Chetco River,,StreamNet 100K,
70,1242700420450.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36479,42.04928000000,-124.26901000000,Chetco Estuary Sport Boat Basin Southern End,Needs Secondary Review,Correct,,0.29676325758,171003,Southern Oregon Coastal,17100312,Chetco,Chetco River,,StreamNet 100K,
71,1242700420450.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36478,42.05153000000,-124.26905000000,Chetco Estuary Sport Boat Basin North End Mid Aerators,Needs Secondary Review,Correct,,0.44821022727,171003,Southern Oregon Coastal,17100312,Chetco,Chetco River,,StreamNet 100K,
72,1242700420450.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36469,42.05289000000,-124.26943000000,Fish House Creek Outlet Near Fish Cleaning Station,Needs Secondary Review,Potential Digitization,Fish House Creek does not exist on DEQ streams or NHDH,0.57445265152,171003,Southern Oregon Coastal,17100312,Chetco,Chetco River,,StreamNet 100K,
73,1242700420450.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36470,42.05357000000,-124.27029000000,Chetco River Estuary Above Boat Basin,Needs Secondary Review,Correct,,0.59890719697,171003,Southern Oregon Coastal,17100312,Chetco,Chetco River,,StreamNet 100K,
74,1240637462560.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36471,42.04355000000,-124.27157000000,Chetco River Estuary at Mouth Between Levees,Needs Secondary Review,Correct,,353.13902083300,171003,Southern Oregon Coastal,17100312,Chetco,Pacific Ocean,,NHD Medium & digitized from various sources,
75,1242777427160.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36535,42.71610000000,-124.27733000000,Lost Creek Near Mouth (Elk R),Needs Secondary Review,Correct,,0.01893371212,171003,Southern Oregon Coastal,17100306,Sixes,Lost Creek,,StreamNet 100K,
76,1242836428120.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36656,42.81479000000,-124.28394000000,Otter Creek at Sixes River Rd,Needs Secondary Review,Correct,,0.18371401515,171003,Southern Oregon Coastal,17100306,Sixes,Otter Creek,,StreamNet 100K,
77,1242941425040.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,30194,42.51461600000,-124.29522600000,Lobster Creek at mouth,Needs Secondary Review,Correct,,0.80455113636,171003,Southern Oregon Coastal,17100310,Lower Rogue,Lobster Creek,,StreamNet 100K,
78,1245439428540.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,34282,42.80500000000,-124.30580000000,Sixes River US of South Fork at RM 17.8,Needs Secondary Review,Correct,,17.83464204550,171003,Southern Oregon Coastal,17100306,Sixes,Sixes River,,StreamNet 100K,
79,1243207429080.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,25852,42.90833300000,-124.31916700000,South Fork Floras Creek at mouth,Needs Secondary Review,Correct,,0.05489204545,171003,Southern Oregon Coastal,17100306,Sixes,South Fork Floras Creek,,StreamNet 100K,
80,1243267429370.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,24090,42.94343000000,-124.31929000000,"East Fork Floras Creek, at Langlois Mountain Road",Needs Secondary Review,Manually Revised with IRL tool,,0.67596780303,171003,Southern Oregon Coastal,17100306,Sixes,East Fork Floras Creek,,StreamNet 100K,
81,1244292424210.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,10413,42.48163900000,-124.32747200000,Rogue River at Huntley Park,Needs Secondary Review,Correct,,8.10117803030,171003,Southern Oregon Coastal,17100310,Lower Rogue,Rogue River,,StreamNet 100K,
82,1243207429080.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36573,42.93566000000,-124.32769000000,Floras Cr NF DS of EF,Needs Secondary Review,Correct,,3.05285227273,171003,Southern Oregon Coastal,17100306,Sixes,North Fork Floras Creek,,StreamNet 100K,
83,1243207429080.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36574,42.94720000000,-124.33330000000,Trib to Floras Cr NF (RM 4.1 from east bank),Needs Secondary Review,Correct,,4.13714583333,171003,Southern Oregon Coastal,17100306,Sixes,North Fork Floras Creek,,StreamNet 100K,
84,1243207429080.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,24091,42.94921000000,-124.33390000000,"North Fork Floras Creek, at Langlois Mountain Road",Needs Secondary Review,Correct,,4.28401136364,171003,Southern Oregon Coastal,17100306,Sixes,North Fork Floras Creek,,StreamNet 100K,
85,1243207429080.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36575,42.96091000000,-124.33629000000,Williams Cr Near Mouth (Floras NF),Needs Secondary Review,Potential Digitization,Stream not in DEQ streams. In NHDH,5.18297916667,171003,Southern Oregon Coastal,17100306,Sixes,North Fork Floras Creek,,StreamNet 100K,
86,1243452421010.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36489,42.10167000000,-124.34409000000,Lone Ranch Creek Near Mouth,Needs Secondary Review,Correct,,0.08870643939,171003,Southern Oregon Coastal,17100312,Chetco,Lone Ranch Creek,,StreamNet 100K,
87,1243922425610.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,25440,42.56666700000,-124.34888900000,Euchre Creek above Boulder Creek,Needs Secondary Review,Correct,,3.00992613636,171003,Southern Oregon Coastal,17100306,Sixes,Euchre Creek,,StreamNet 100K,
88,1243648425280.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,28288,42.54080000000,-124.35220000000,Cedar Creek (Euchre Creek tributary),Needs Secondary Review,Likely Correct,Location not near stream.,0.97900000000,171003,Southern Oregon Coastal,17100306,Sixes,Rock Creek,,StreamNet 100K,
