OBJECTID,DESCRIPTION,DEC_LAT,DEC_LONG,RIVER_MILE,LLID,LAKE_LLID,LAKE_NAME,EPA_BEACH_ID,BEACH_NAME,AGENCY,AGENCY_ID,MATRIX,STATION,STREAM_NAME,LAKE_SOURCE,STREAM_SOURCE
13,"Cooper Creek Reservoir near dam, depth 10 feet",43.379694,-123.28025,2.48,1233218433779,1232627433773,Cooper Creek Reservoir,,,Oregon Department of Environmental Quality,ODEQ,FW,23126,Cooper Creek,StreamNet,100K
14,Parker Slough at mouth,44.589194,-124.0125,0.3,1240181445913,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13686,Parker Slough,,
15,"City of Gold Hill PWS Intake, Rogue River at RM 120.61",42.4465,-123.043,120.74,1244292424210,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34859,Rogue River,,100K
16,Jackson Creek above Falcon Creek (tributary of South Umpqua),42.997944,-122.551833,19.9,1228807429694,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21506,Jackson Creek,,
17,Klamath River upstream of Klamath Strait,42.096278,-121.859972,246.06,1221913420005,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11596,Klamath River,,
18,"Little Butte Creek, in Eagle Point at Mattie Brown Park on Royal Avenue (Rogue)",42.47183,-122.79959,4.98,1228754424514,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26638,Little Butte Creek,,100K
19,Heceta Beach,44.03767,-124.13518,184.41,1240637462558,,,OR298050,Heceta Beach,Oregon Department of Environmental Quality,ODEQ,SW,30480,Pacific Ocean,,100K
20,Skipanon River 25 feet from Pacific Surimi Dock,46.172222,-123.911389,1.4,1239022461912,,,,,Oregon Department of Environmental Quality,ODEQ,ES,22310,Skipanon Waterway,,
21,Middle Neal Creek at Hwy 35,45.641767,-121.5142,2.01,1215257456640,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31499,Neal Creek,,
22,Calamity Creek,43.980225,-118.77137,6.47,1186712439644,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33706,Calamity Creek,,
23,Fifteenmile Creek 20 feet upstream of Dufur STP outfall,45.450861,-121.120194,29.5,1211264456185,,,,,Oregon Department of Environmental Quality,ODEQ,FW,12547,Fifteenmile Creek,,
24,"Willamina Creek at Hwy 18 in Willamina, OR",45.078,-123.4851,0.45,1234765450782,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33772,Willamina Creek,,100K
25,"Klamath River at Forebay of Keno Dam downstream of Keno, OR",42.13536,-121.95008,254.41,1221913420005,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26038,Klamath River,,
26,Middle Creek at River Mile 23.22,43.256131,-123.877919,23.2,1240712431628,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21793,Middle Creek,,
27,Sandy River tributary - ORLC03-R020,45.3913,-121.80468,0.72,1218184453945,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31803,Unnamed Stream,,
28,Deschutes River at Cline Falls State Park,44.268139,-121.253861,143.5,1209151456389,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10509,Deschutes River,,
29,Long Tom River at Bundy Road,44.38551,-123.24856,0.43,1232400443847,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26084,Long Tom River,,100K
30,West Fork Neal Creek,45.5102,-121.51277,8.1,1214995455943,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30329,West Fork Neal Creek,,
31,South Fork Coos River at River Mile 28,43.36672,-123.86245,23.76,1240991433776,,,,,Oregon Department of Environmental Quality,ODEQ,FW,32421,South Fork Coos River,,100K
32,Lost River at Harpold Road Bridge downstream of Big Springs,42.194373,-121.407728,43.58,1212146420011,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28291,Lost River,,
33,"Columbia River at River Mile 21, 0.9 nautical miles east of red marker #4",46.207483,-123.684482,19.34,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,ES,32939,Columbia River,,100K
34,Big Boulder Creek,44.71657,-118.70376,3.8,1187161446660,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30383,Big Boulder Creek,,
35,Floras Lake at wetland,42.8903,-124.49979,2.15,1244974429131,1245047428942,Floras Lake,,,Oregon Department of Environmental Quality,ODEQ,FW,25768,Boulder Creek,StreamNet,100K
36,North Tenmile Lake Big Creek Arm (Tenmile Lake Basin Project Site N11),43.5926,-124.1146,,,1241456435885,North Tenmile Lake,,,Oregon Department of Environmental Quality,ODEQ,FW,34828,Big Creek,StreamNet,100K
37,Bologna Creek,44.8447,-119.591,4.4,1196472448034,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30414,East Bologna Canyon,,
38,Cow Creek upstream of West Fork Cow Creek and Middle Creek,42.810339,-123.592656,26.7,1233379429474,,,,,Oregon Department of Environmental Quality,ODEQ,FW,29226,Cow Creek,,
39,Sharps Creek at Walker Creek mouth bridge,43.601806,-122.760306,9.3,1228381436955,,,,,Oregon Department of Environmental Quality,ODEQ,FW,12584,Sharps Creek,,
40,Columbia River at Marker 59 (river right) (upstream of from Sandy Island),45.971183,-122.825217,75.4,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23796,Columbia River,,
41,Powder River downstream of Hwy 7,44.71078,-118.16164,142.59,1170508447455,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34444,Powder River,,100K
42,Smuggler Cove at mouth of Necarney CR,45.75896,-123.96428,41.1,1240637462558,,,OR770138,Short Sand Beach,Oregon Department of Environmental Quality,ODEQ,ES,31954,,,100K
43,"Willamette River at Waverly Country Club, City of Portland site",45.45364,-122.66036,17.4,1227618456580,,,,,Oregon Department of Environmental Quality,ODEQ,FW,29747,Willamette River,,
44,Nehalem River at River Mile 15.0,45.722333,-123.771417,16.7,1238951456889,,,,,Oregon Department of Environmental Quality,ODEQ,FW,13368,Nehalem River,,
45,"Soap Creek at Tampico Road (Luckiamute, Willamette)",44.6905,-123.246,10.07,1231630447305,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33926,Soap Creek,,100K
46,Ochoco Creek downstream of Ochoco Dam,44.29909,-120.72815,20.63,1208956443865,,,,,Oregon Department of Environmental Quality,ODEQ,FW,32404,Ochoco Main Canal,,100K
47,Oldham Creek at Elkhorn Road Bridge,43.449639,-123.230222,1.3,1232503434466,,,,,Oregon Department of Environmental Quality,ODEQ,FW,12799,Oldham Creek,,
48,Cold Springs Creek upstream of Bluegrass Ridge Trail crossing,45.404978,-121.593219,1.1,1215703454047,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21876,Cold Spring Creek,,
49,Squeedunk Slough at Geinger Farm (Kilchis),45.487893,-123.868635,1.61,1238970454941,,,,,Oregon Department of Environmental Quality,ODEQ,ES,33137,Squeedunk Slough,,100K
50,Bear Creek d/s of Reservoir (Coyote Creek/Long Tom),43.89898,-123.28813,1.56,1232676439132,,,,,Oregon Department of Environmental Quality,ODEQ,FW,35129,Bear Creek,,100K
51,John Day River at River Mile 204.4,44.527778,-119.631944,201.2,1206499457318,,,,,Oregon Department of Environmental Quality,ODEQ,FW,24481,John Day River,,
52,Fawcett Creek at Hwy 101,45.39,-123.801611,0.1,1238038453899,,,,,Oregon Department of Environmental Quality,ODEQ,FW,12848,Fawcett Creek,,
53,"North Fork Deep Creek at Springwater trail, Boring, between 2nd and 3rd electric tower from trailhead (Deep Creek, Clackamas)",45.42519,-122.38366,2.78,1224107453935,,,,,Oregon Department of Environmental Quality,ODEQ,FW,32069,North Fork Deep Creek,,100K
54,Barview County Park Beach 200 meters north of jetty,45.57577,-123.95549,54.81,1240637462558,,,OR775236,Barview County Park Beach,Oregon Department of Environmental Quality,ODEQ,SW,31820,Pacific Ocean,,100K
55,Clatskanie River 0.1 miles upstream of Wallace Slough,46.13747,-123.22859,0.1,1232215461207,,,,,Oregon Department of Environmental Quality,ODEQ,ES,25583,Clatskanie River,,
56,Mill Creek 0.8 miles above Hwy 18 (South Yamhill),45.06944,-123.43556,1.8,1234447450906,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30681,Mill Creek,,
57,Lick Creek,42.498554,-122.60326,5.9,1226975424638,,,,,Oregon Department of Environmental Quality,ODEQ,FW,29948,Lick Creek,,
58,Deer Creek below Dupee Creek (South Yamhill),45.12361,-123.36889,8.9,1232578451336,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30680,Deer Creek,,
59,Drainage ditch 200 feet upstream of Ritchie Road (Gales Creek tributary),45.518794,-123.128719,3.7,1231025454915,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21815,Gales Creek,,
60,Panther Creek near mouth,43.3042,-122.678,0.05,1226771433046,,,,,Oregon Department of Environmental Quality,ODEQ,FW,32152,Limpy Creek,,100K
61,Spring Creek downstream of pastures (Eggleson Rd.),45.394833,-117.285444,2.6,1173098454242,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11580,Spring Creek,,
62,Skipanon River 1500 feet downstream of Pacific Surimi,46.176111,-123.909722,1.1,1239022461912,,,,,Oregon Department of Environmental Quality,ODEQ,ES,22311,Skipanon Waterway,,
63,"Johnson Creek at River Mile 0.88 (Coquille, South Fork)",42.755477,-124.07785,0.7,1240685427618,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23831,Johnson Creek,,
64,Calapooya Creek at Umpqua,43.366361,-123.459528,0.5,1234686433656,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10996,Calapooya Creek,,
65,Del Ray Beach at approach,46.048611,-123.931111,16.26,1240637462558,,,,,Oregon Department of Environmental Quality,ODEQ,SW,13652,Pacific Ocean,,
66,North Umpqua River below Soda Springs Dam,43.30329,-122.49508,68.9,1234460432681,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25700,North Umpqua River,,
67,Prineville Reservoir at State Park beach,44.12809,-120.72352,75.81,1212676445778,1207086441302,Prineville Reservoir,,,Oregon Department of Environmental Quality,ODEQ,FW,32536,Crooked River,StreamNet,100K
68,Coquille Bay at Old Moore Mill Site,43.123611,-124.408611,0.9,1244273431235,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13403,Coquille River,,
69,A-Irrigation drain,44.0395,-116.9952,0.57,1169932440464,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33223,Dork Canal,,100K
70,Powder River 40 feet upstream of South Baker City STP outfall,44.816719,-117.828278,111.5,1170508447455,,,,,Oregon Department of Environmental Quality,ODEQ,FW,12616,Powder River,,
71,Tillamook Bay east side of Miami Cove,45.559623,-123.897037,1.64,1239230455475,,,,,Oregon Department of Environmental Quality,ODEQ,ES,31600,Miami River,,100K
72,"Deer Cr., So. Fk., at mouth (So. Umpqua, Umpqua)",43.20192,-123.24183,6.69,1232420432017,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28494,North Fork Deer Creek,,100K
73,Abernathy Creek,45.362592,-122.592613,0.75,1226038453652,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33523,Abernethy Creek,,
74,Tillamook Bay OR2078,45.480556,-123.900556,6.1,1239378455599,,,,,Oregon Department of Environmental Quality,ODEQ,ES,20737,Tillamook Bay,,
75,Panther Creek downstream of Westside Road bridge (North Yamhill),45.2538,-123.2013,2.05,1231806452443,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34041,Panther Creek,,100K
76,Willamette River at Willamette Park,45.473194,-122.665778,16,1227618456580,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10827,Willamette River,,
77,Zig Zag River above mouth of Little Zig Zag River,45.31484,-121.81247,8.32,1219454453487,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34090,Zigzag River,,100K
78,Cast Creek,45.37621,-121.85001,0.84,1218664453787,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31485,Cast Creek,,
79,"Eliot Branch Middle Fork Hood River, downstream of Mfid Diversion",45.455444,-121.638778,0.8,1216377454532,,,,,Oregon Department of Environmental Quality,ODEQ,FW,18750,Elliot Branch,,24K
80,Tributary to Lenz Creek from south downstream of Lingren Road,45.62803,-121.53397,1.82,1215146456436,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28829,Lenz Creek,,DEQ
81,Alsea River Recreation Area Beach-east,44.4347,-124.0618,1.2,1240782444222,,,OR515788,Alsea River Recreation Area Beach,Oregon Department of Environmental Quality,ODEQ,ES,29327,Alsea River,,
82,South Umpqua at Hwy 42 (Winston),43.133889,-123.397944,20.8,1234460432680,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10443,South Umpqua River,,
83,"Lost Creek at Rogers Road culvert (Willamette, Middle Fork Willamette)",43.911667,-122.823889,3.3,1228482439494,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26622,Lost Creek,,
84,Willow Creek at Hwy 26 Indian Gulch Bridge,44.3773,-117.7633,45.73,1172554440234,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33188,Willow Creek,,100K
85,"Cow Creek at Brandt Bridge (below Dads Creek; near road RR crossing)",42.771575,-123.549939,31.3,1233379429474,,,,,Oregon Department of Environmental Quality,ODEQ,FW,29227,Cow Creek,,
86,Willow Creek,44.373989,-117.808235,48.25,1172554440234,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33741,Willow Creek,,
87,"North Santiam River at Straight Creek Road (FSR 11), River Mile 75.12",44.58238,-121.98287,75.3,1230064446868,,,,,Oregon Department of Environmental Quality,ODEQ,FW,29662,North Santiam River,,
88,Umpqua River at Marker #12 (Double Cove Point),43.713611,-124.153056,4,1242038436694,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13369,Umpqua River,,
89,Eagle Creek,43.685956,-122.194515,0.04,1221951436858,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25285,Eagle Creek,,
90,Cottonwood Creek downstream of Little Indian Creek,42.006368,-117.98942,0.85,1179315420016,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31534,Cottonwood Creek,,
91,Malheur River at Owyhee Road Bridge (Hope),43.939472,-117.363972,32.5,1169731440585,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10727,Malheur River,,
92,Coos Bay at Coast Guard Dock (Old Yacht Club),43.388889,-124.217778,11.7,1243397433543,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13383,Coos Bay,,
93,Amazon Creek at South Pacific RR Bridge,44.05837,-123.19026,13.7,1232651442279,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25620,Amazon Creek,,
94,North Umpqua upstream of Copeland Creek,43.29207,-122.54524,65.8,1234460432681,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23897,North Umpqua River,,
95,Waldport Landfill SS-2 Stream at base of fill,44.3996,-124.0712,0.45,1240772443951,,,,,Oregon Department of Environmental Quality,ODEQ,FW,16274,,,DEQ
96,Malheur River at Halliday Road (Vale),44.000222,-117.141361,13.6,1169731440585,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10408,Malheur River,,
97,"Malheur River at River Mile 62.6, downstream of Namorf",43.78672,-117.71745,63.45,1169731440585,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33809,Malheur River,,
98,"Umpqua River at River Mile 8.5, east shore near sawmill",43.738133,-124.117411,8.6,1242038436694,,,,,Oregon Department of Environmental Quality,ODEQ,ES,25651,Umpqua River,,
99,Coos Bay at Range Marker east of Hwy 101,43.431389,-124.218611,8.9,1243397433543,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13603,Coos Bay,,
100,Tillamook Bay at N end of Dick Point Dike,45.491389,-123.902778,5.3,1239378455599,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13302,Tillamook Bay,,
101,"Umpqua River at River Mile 6.6, north of The Point",43.74351,-124.144748,6.44,1242038436694,,,,,Oregon Department of Environmental Quality,ODEQ,ES,31602,Umpqua River,,100K
102,"Bastendorf Creek, in creek",43.3445,-124.3491,234.14,1240637462558,,,OR244981,Bastendorff Beach,Oregon Department of Environmental Quality,ODEQ,ES,30766,,,
103,Pony Slough at mouth,43.423694,-124.235889,0.2,1242380434268,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13600,Pony Slough,,
104,Middle Fork of South Fork Deer Creek (South Umpqua) RM 0.3,43.17311,-123.21267,0.27,1232179431737,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28493,Middle Fk South Fk Deer Creek,,100K
105,Schooner Creek at Anderson Creek Road (River Mile 2.9) (Siletz Bay),44.9362,-123.9749,3,1240202449262,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30700,Schooner Creek,,
106,Burnt River 100 feet downstream of Huntington STP outfall,44.356417,-117.255667,1.7,1172299443641,,,,,Oregon Department of Environmental Quality,ODEQ,FW,13067,Burnt River,,
107,SS-2 Stream downstream from Beaverhill Landfill,43.210278,-124.316389,5.9,1243492431680,,,,,Oregon Department of Environmental Quality,ODEQ,FW,14268,Sevenmile Creek,,100K
108,Ss-4 Shana Creek downstream of Joeney Landfill south of Ss-1,43.316667,-124.292222,0.9,1243114433162,,,,,Oregon Department of Environmental Quality,ODEQ,FW,15009,Day Creek,,
109,Shana Creek SS-5 upstream of Joe Ney Landfill south of SS-2,43.319167,-124.295833,1.3,1243072433403,,,,,Oregon Department of Environmental Quality,ODEQ,FW,15013,Storey Creek,,
110,"Oakland WWTP, 100-200 feet downstream from outfall",43.421078,-123.308108,14,1234686433656,,,,,Oregon Department of Environmental Quality,ODEQ,FW,24404,Calapooya Creek,,
111,Arch Cape CR mid-channel at STP outfall,45.80365,-123.954306,0.6,1239669458034,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26127,Arch Cape Creek,,
112,Arch Cape CR 50 feet US of Arch Cape STP outfall,45.80437,-123.95482,0.6,1239669458034,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26379,Arch Cape Creek,,
113,Arch Cape CR 50 feet DS of Arch Cape STP outfall (edge of mixing zone),45.80357,-123.95526,0.6,1239669458034,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26381,Arch Cape Creek,,
114,Arch Cape CR 100 feet DS of Arch Cape STP outfall,45.80318,-123.9551,0.6,1239669458034,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26382,Arch Cape Creek,,
115,Blue Lake (Multnomah Co) Fishing Dock,45.55389,-122.44735,0.51,1224573455551,1224450455535,Blue Lake,,,Oregon Department of Environmental Quality,ODEQ,FW,28818,Arata Creek,StreamNet,100K
116,Squaw Creek at mouth upstream of Deschutes River,44.460264,-121.335156,121.5,1209151456389,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28996,Deschutes River,,
117,"Harris Beach, 150 feet north of mid creek",42.06375,-124.30537,349.12,1240637462558,,,OR270205,Harris Beach State Park,Oregon Department of Environmental Quality,ODEQ,SW,31551,Pacific Ocean,,
118,Short Sand CR at foot BR NE of N parking area,45.7622,-123.9564,0.47,1239654457594,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31949,Short Sand Creek,,100K
119,Small CR N of S parking and just E of #9 sample,45.76015,-123.96235,0.13,1239654457594,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31964,Short Sand Creek,,100K
120,Woodburn Landfill SC-1,45.166944,-122.875278,9.08,1227703452219,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23175,Senecal Creek,,100K
121,Beaver Hill Landfill SS-2a,43.2042,-124.3219,1.55,1243481432058,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23248,Unnamed Stream,,100K
122,Hayward Landfill SS-Up,42.75042,-123.41032,0.9,1234189427400,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28393,Windy Creek,,100K
123,Hayward Landfill SS-Down,42.74702,-123.4129,0.63,1234189427400,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28394,Windy Creek,,100K
124,Chewaucan River at Paisley,42.696083,-120.545028,34.9,1202308426483,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10743,Chewaucan River,,
125,"Harris Beach State Park day use area, North Cove at Harris Creek",42.06924,-124.31494,348.35,1240637462558,,,OR270205,Harris Beach State Park,Oregon Department of Environmental Quality,ODEQ,SW,29312,Pacific Ocean,,
126,"Hillsboro JWC PWS Intake, Tualatin River Channel",45.4925,-123.09318,56.32,1226500453377,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34862,Tualatin River,,100K
127,Cullaby Lake at center of N basin,46.095,-123.9033,0.05,1239077460945,1239008460801,Cullaby Lake,,,Oregon Department of Environmental Quality,ODEQ,FW,29761,Cullaby Lake,StreamNet,100K
128,Hood River downstream pf Powerdale Dam (Columbia),45.6661,-121.5211,4.37,1215067457204,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34175,Hood River,,100K
129,Claggett Creek,44.990408,-123.014832,3.18,1230310450293,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33488,Claggett Creek,,
130,Olive Creek,44.77941,-118.45238,0.2,1184569447796,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26890,Olive Creek,,
131,Lake Karen SW shore (man-made lake),46.024735,-123.908593,,,1239066460263,Unnamed,,,Oregon Department of Environmental Quality,ODEQ,FW,30732,,PNW_Waterbody,N/A
132,Skipanon River at Hwy 101,46.148972,-123.924361,1.7,1239211461664,,,,,Oregon Department of Environmental Quality,ODEQ,ES,10812,Skipanon River,,
133,Little Butte Creek at Hwy 62,42.46244,-122.81387,4,1228754424514,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25585,Little Butte Creek,,
134,North Fork Owyhee River at 3-Forks Bridge,42.543944,-117.156389,0.7,1171698425442,,,,,Oregon Department of Environmental Quality,ODEQ,FW,12263,North Fork Owyhee River,,
135,"Diamond-Parkdale Plant, outfall at plant",45.521694,-121.59525,0.9,1216095455309,,,,,Oregon Department of Environmental Quality,ODEQ,FW,22960,Diamond-Parkdale Plant Outfall,,
136,Clear Fork below 1828 Road Bridge,45.39173,-121.85989,0.23,1218641453907,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34075,Clear Fork,,100K
137,Rogers Creek below Warm Springs Hatchery (MF Hood),45.5252,-121.62119,0.29,1216213455286,,,,,Oregon Department of Environmental Quality,ODEQ,FW,35595,Unnamed Stream,,24K
138,Mill Creek tributary upstream of Settlemier Park (Boone's Ferry Road),45.13919,-122.86273,0.47,1228535451394,,,,,Oregon Department of Environmental Quality,ODEQ,FW,32770,Unnamed Stream,,100K
139,School Hollow Creek at River Mile 1.64,43.055081,-123.1774,1.6,1231837430369,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21824,School Hollow,,
140,Middle Fork John Day River at mouth,44.915,-119.300833,0.1,1193015449167,,,,,Oregon Department of Environmental Quality,ODEQ,FW,24480,Middle Fork John Day River,,
141,Little Deschutes River at Crosswater Bridge,43.851081,-121.441533,0.6,1214536438546,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25167,Little Deschutes River,,
142,Tillamook Bay,45.511111,-123.921389,3.6,1239378455599,,,,,Oregon Department of Environmental Quality,ODEQ,ES,20722,Tillamook Bay,,
143,Cow Creek 100 feet upstream of Glendale STP outfall,42.738944,-123.430611,40,1233379429474,,,,,Oregon Department of Environmental Quality,ODEQ,FW,13050,Cow Creek,,
144,Springbrook Creek upstream of Wilsonville Road,45.29028,-122.94167,3.4,1229212452679,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28468,Spring Brook,,
145,East Fork Illinois River,42.161472,-123.659111,0.1,1236586421598,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25812,East Fork Illinois River,,
146,Tryon Creek,45.431854,-122.671679,1.1,1226557454227,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26814,Tryon Creek,,
147,"Antelope Creek at Hwy 62 (Little Butte, Rogue)",42.452119,-122.821419,0.8,1228315424592,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26645,Antelope Creek,,
148,"North Santiam River at River Drive, irrigation access ramp in Norpac field",44.7707,-122.8278,13.1,1230064446868,,,,,Oregon Department of Environmental Quality,ODEQ,FW,24338,North Santiam River,,
149,Pistol River upstream of Hwy 101,42.277056,-124.352306,3.4,1243982422746,,,,,Oregon Department of Environmental Quality,ODEQ,ES,10535,Pistol River,,
150,"Summer Creek at River Mile 1.6 (Lookingglass, Grande Ronde)",45.78848,-117.98142,1.7,1179828457664,,,,,Oregon Department of Environmental Quality,ODEQ,FW,24054,Summer Creek,,
151,Cook Creek at mouth (Nehalem),45.701536,-123.750864,0.1,1237529457011,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23292,Cook Creek,,
152,Willamette River at Molalla River confluence,45.2978,-122.7154,35.44,1227618456580,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33620,Willamette River,,100K
153,Umpqua River at Jerden Cove,43.696944,-124.160833,2.9,1242038436694,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13700,Umpqua River,,
154,Tillamook Bay at Southwest Bay,45.516111,-123.929722,3,1239378455599,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13305,Tillamook Bay,,
155,"Bear Creek at River Mile 0.2 (Sucker, East Fork Illinois)",42.156222,-123.532972,0.1,1235318421540,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23092,Bear Creek,,
156,North Yamhill River upstream of Yamhill,45.336694,-123.205583,15,1231445452259,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10649,North Yamhill River,,
157,Johnson Creek at SE Circle Avenue,45.48635,-122.48797,11.4,1226465454422,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28731,Johnson Creek,,
158,Wallowa River downstream of Rock Creek,45.607611,-117.597889,18.6,1177853457255,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11585,Wallowa River,,
