OBJECTID,Unique_ID,LLID,LAKE_LLID,RF,Distance,AGENCY,AGENCY_ID,STATION_ID,DEC_LAT,DEC_LONG,DATUM,DESCRIPTION,DESCRIPT_1,LLID_Strea,Str_LLID,Str_name,LAKE_LLID,LAKE_NAME,Unique_ID_,QAQC1,QAQC,QAQC2,Has Duplicate Station,Comments
11,31,1193348441832,,15144.21,-36.19,EPA National Aquatic Resource Survey Data,NARS,WORP99-0548,44.20752000000,-119.28981000000,NAD27,NF DEER CREEK,NA,NA,NA,NA,NA,NA,31,Needs Secondary Review,,Correct,Yes,
12,32,1216420451802,,1923.90,321.60,EPA National Aquatic Resource Survey Data,NARS,WORP99-0551,45.18560000000,-121.64220000000,NAD27,FROG CREEK TRIB.,NA,NA,NA,NA,NA,NA,32,Needs Secondary Review,,Correct,Yes,
13,36,1215516450947,,839.28,-452.30,EPA National Aquatic Resource Survey Data,NARS,WORP99-0605,45.09674000000,-121.55233000000,NAD27,BEAVER CREEK,NA,NA,NA,NA,NA,NA,36,Needs Secondary Review,,Correct,,
14,37,1204692451626,,136655.54,-214.13,EPA National Aquatic Resource Survey Data,NARS,WORP99-0606,45.09761000000,-120.10241000000,NAD27,THIRTY-MILE CREEK,NA,NA,NA,NA,NA,NA,37,Needs Secondary Review,,Correct,Yes,
15,38,1185168444229,,3743.97,280.21,EPA National Aquatic Resource Survey Data,NARS,WORP99-0607,44.43229000000,-118.51393000000,NAD27,NORTH FORK REYNOLDS CREEK,NA,NA,NA,NA,NA,NA,38,Needs Secondary Review,,Correct,Yes,
16,39,1185080445935,,8505.50,-209.13,EPA National Aquatic Resource Survey Data,NARS,WORP99-0608,44.57560000000,-118.49144000000,NAD27,LOWER CLEAR CREEK,NA,NA,NA,NA,NA,NA,39,Needs Secondary Review,,Correct,Yes,
17,40,1210687448112,,32858.31,174.80,EPA National Aquatic Resource Survey Data,NARS,WORP99-0613,44.84498000000,-121.00437000000,NAD27,TENMILE CREEK,NA,NA,NA,NA,NA,NA,40,Needs Secondary Review,,Likely Correct,Yes,Station .5 miles downstream of Tenmile Creek on Brocher Creek. Possible missidentification.
18,53,1230370453173,,9726.88,231.59,EPA National Aquatic Resource Survey Data,NARS,WORP99-0666,45.33709000000,-123.05504000000,NAD27,CHEHELEM CREEK TRIBUTARY,NA,NA,NA,NA,NA,NA,53,Needs Secondary Review,,Correct,Yes,
19,59,1191562444148,,43971.63,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0698,44.30671000000,-119.17570000000,NAD27,RILEY CREEK,NA,NA,NA,NA,NA,NA,59,Needs Secondary Review,,Manually Revised with IRL tool,,Snapped to wrong stream (Unnamed Tributary)
20,76,1192994446179,,0.00,-408.24,EPA National Aquatic Resource Survey Data,NARS,WORP99-0780,44.61771000000,-119.29982000000,NAD27,FOX CREEK,NA,NA,NA,NA,NA,NA,76,Needs Secondary Review,,Manually Revised with LFAR Tool,Yes,Snapped to wrong stream (Cottonwood Creek)
21,78,1201398449604,,7789.94,-114.60,EPA National Aquatic Resource Survey Data,NARS,WORP99-0792,44.95417000000,-120.11022000000,NAD27,STRAW FORK CREEK,NA,NA,NA,NA,NA,NA,78,Needs Secondary Review,,Correct,Yes,
22,81,1212896451877,,39876.71,-261.44,EPA National Aquatic Resource Survey Data,NARS,WORP99-0803,45.20416000000,-121.41462000000,NAD27,GATE CREEK,NA,NA,NA,NA,NA,NA,81,Needs Secondary Review,,Manually Revised with LFAR Tool,Yes,Snapped to wrong stream (Unnamed Stream)
23,83,1236444452495,,20341.91,-323.59,EPA National Aquatic Resource Survey Data,NARS,WORP99-0813,45.20090000000,-123.65020000000,NAD27,NIAGARA CREEK NEAR NESTUCCA RIVER,NA,NA,NA,NA,NA,NA,83,Needs Secondary Review,,Correct,Yes,
24,85,1221106445307,,14038.09,2197.39,EPA National Aquatic Resource Survey Data,NARS,WORP99-0819,44.54968000000,-122.08320000000,NAD27,PYRAMID CREEK TRIBUTARY,NA,NA,NA,NA,NA,NA,85,Needs Secondary Review,,Potential Digitization,Yes,Approximately .5 miles from two Creeks (Scar Creek and Pyramid Creek Trib). They do line up with an unnamed stream in the NHDH dataset
25,86,1221119439589,,3186.29,-182.64,EPA National Aquatic Resource Survey Data,NARS,WORP99-0821,43.95167000000,-122.11595000000,NAD27,SOUTH FORK MCKENZIE RIVER TRIBUTARY,NA,NA,NA,NA,NA,NA,86,Needs Secondary Review,,Correct,Yes,
26,93,1215191451739,,12565.70,229.37,EPA National Aquatic Resource Survey Data,NARS,WORP99-0851,45.19279000000,-121.55272000000,NAD27,CEDAR CREEK,NA,NA,NA,NA,NA,NA,93,Needs Secondary Review,,Correct,Yes,NHDH calls this Cedar Creek. DEQ streams calls this Forest Creek.
27,95,1184569447796,,767.24,-60.33,EPA National Aquatic Resource Survey Data,NARS,WORP99-0854,44.77924000000,-118.45325000000,NAD27,BEAVER / OLIVE CREEK,NA,NA,NA,NA,NA,NA,95,Needs Secondary Review,,Correct,Yes,
28,100,1185683449626,,6186.70,-16.67,EPA National Aquatic Resource Survey Data,NARS,WORP99-0871,44.95504000000,-118.54964000000,NAD27,MARTIN CREEK,NA,NA,NA,NA,NA,NA,100,Needs Secondary Review,,Correct,Yes,
29,101,1186111449747,,5743.36,-233.37,EPA National Aquatic Resource Survey Data,NARS,WORP99-0877,44.96170000000,-118.60826000000,NAD27,MEADOW CREEK TRIBUTARY,NA,NA,NA,NA,NA,NA,101,Needs Secondary Review,,Correct,Yes,
30,102,1234876453005,,2866.31,118.52,EPA National Aquatic Resource Survey Data,NARS,WORP99-0879,45.30098000000,-123.47628000000,NAD27,NESTUCCA RIVER TRIBUTARY,NA,NA,NA,NA,NA,NA,102,Needs Secondary Review,,Correct,Yes,
31,109,1230764436021,,3663.21,-421.58,EPA National Aquatic Resource Survey Data,NARS,WORP99-0893,43.59507000000,-123.08421000000,NAD27,WILLAMETTE RIVER COAST FORK TRIB,NA,NA,NA,NA,NA,NA,109,Needs Secondary Review,,Correct,Yes,
32,126,1230144425934,,63759.34,259.91,EPA National Aquatic Resource Survey Data,NARS,WORP99-0957,42.69083000000,-122.96372000000,NAD27,EVANS CREEK,NA,NA,NA,NA,NA,NA,126,Needs Secondary Review,,Correct,,
33,129,1196472448034,,22652.17,165.20,EPA National Aquatic Resource Survey Data,NARS,WORP99-0977,44.84490000000,-119.59178000000,NAD27,BOLOGNA CREEK,NA,NA,NA,NA,NA,NA,129,Needs Secondary Review,,Correct,Yes,
34,131,1195411441598,,155.28,-232.30,EPA National Aquatic Resource Survey Data,NARS,WORP99-0987,44.16044000000,-119.54082000000,NAD27,WILDCAT CREEK,NA,NA,NA,NA,NA,NA,131,Needs Secondary Review,,Manually Revised with IRL tool,,
35,132,1195344441730,,5488.35,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0997,44.25698000000,-118.73120000000,NAD27,CANYON CREEK EAST FORK,NA,NA,NA,NA,NA,NA,132,Needs Secondary Review,,Correct,Yes,
36,135,1222582444299,,7847.33,26.81,EPA National Aquatic Resource Survey Data,NARS,WORP99-1016,44.43974000000,-122.27953000000,NAD27,SUTTLE CAMP CREEK,NA,NA,NA,NA,NA,NA,135,Needs Secondary Review,,Correct,Yes,
37,140,1219591424414,,153209.50,91.61,United State Geological Survey,USGS,11493500,42.74013530000,-121.83446180000,NAD83,"WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",NA,NA,NA,NA,NA,NA,140,Needs Secondary Review,,Correct,,
38,141,1218738425716,,29188.57,9.98,United State Geological Survey,USGS,11501000,42.58458090000,-121.84973660000,NAD83,"SPRAGUE RIVER NEAR CHILOQUIN, OR",NA,NA,NA,NA,NA,NA,141,Needs Secondary Review,,Correct,,
39,142,1219445425983,,25759.52,119.78,United State Geological Survey,USGS,11504100,42.64569000000,-121.99557550000,NAD83,WOOD R NR FORT KLAMATH OREG,NA,NA,NA,NA,NA,NA,142,Needs Secondary Review,,Correct,,
40,143,1221913420005,1218742423884,1345968.76,-209.34,United State Geological Survey,USGS,11507100,42.23875530000,-121.80528270000,NAD83,UPPER KLAMATH LAKE OUTLET AT KLAMATH FALLS OR,NA,NA,NA,NA,NA,NA,143,Needs Secondary Review,,Correct,,
41,144,1221913420005,1218317421623,1337372.26,-17.84,United State Geological Survey,USGS,11507501,42.21931140000,-121.79028160000,NAD83,"LINK RIVER BELOW KENO CANAL, NEAR KLAMATH FALLS,OR",NA,NA,NA,NA,NA,NA,144,Needs Secondary Review,,Correct,,NHDH calls this Link River
42,145,1221913420005,1218317421623,1239008.09,-42.34,United State Geological Survey,USGS,11509370,42.12792230000,-121.92889640000,NAD83,"KLAMATH RIVER ABOVE KENO DAM, AT KENO, OR",NA,NA,NA,NA,NA,NA,145,Needs Secondary Review,,Correct,,
43,146,1221913420005,,1223635.64,-18.77,United State Geological Survey,USGS,11509500,42.13319950000,-121.96223130000,NAD83,"KLAMATH RIVER AT KENO, OR",NA,NA,NA,NA,NA,NA,146,Needs Secondary Review,,Correct,,
44,147,1226439420010,,37777.82,-971.34,United State Geological Survey,USGS,11516580,42.07680060000,-122.70447570000,NAD83,"COTTONWOOD CREEK NEAR ASHLAND, OR",NA,NA,NA,NA,NA,NA,147,Needs Secondary Review,,Correct,,
45,148,1190296461886,,2094774.75,-245.88,United State Geological Survey,USGS,13173600,43.73099320000,-117.07182580000,NAD83,SNAKE RIVER NR ADRIAN OR,NA,NA,NA,NA,NA,NA,148,Needs Secondary Review,,Correct,,
46,149,1170244438120,,873763.62,-10.09,United State Geological Survey,USGS,13177900,42.54432350000,-117.17069600000,NAD83,OWYHEE RIVER ABV NORTH FORK AT THREE FORKS OR,NA,NA,NA,NA,NA,NA,149,Needs Secondary Review,,Correct,,
47,150,1171698425442,,147.85,-3.30,United State Geological Survey,USGS,13177920,42.54404570000,-117.16930700000,NAD83,NORTH FORK OWYHEE RIVER AT THREE FORKS OR,NA,NA,NA,NA,NA,NA,150,Needs Secondary Review,,Correct,,
48,151,1176415428623,,813.88,-65.83,United State Geological Survey,USGS,13180600,42.86404510000,-117.63960070000,NAD83,JORDAN CREEK NR ROME OR,NA,NA,NA,NA,NA,NA,151,Needs Secondary Review,,Correct,,
49,152,1170244438120,,19012.40,-713.99,United State Geological Survey,USGS,13184000,43.77766050000,-117.06766010000,NAD83,"OWYHEE RIVER AT OWYHEE, OREG.",NA,NA,NA,NA,NA,NA,152,Needs Secondary Review,,Correct,,
50,153,1177211456214,,1666.75,-107.04,United State Geological Survey,USGS,13331500,45.61986690000,-117.72658920000,NAD83,"MINAM RIVER AT MINAM, OR",NA,NA,NA,NA,NA,NA,153,Needs Secondary Review,,Correct,,
51,154,1209151456389,,630990.40,-58.32,United State Geological Survey,USGS,14076500,44.49872930000,-121.32115580000,NAD83,"DESCHUTES RIVER NEAR CULVER, OR",NA,NA,NA,NA,NA,NA,154,Needs Secondary Review,,Correct,,
52,155,1212676445778,,43953.93,33.09,United State Geological Survey,USGS,14087393,44.47261850000,-121.29754300000,NAD83,"CROOKED RIVER AT CARCASS TRAIL NEAR CULVER, OR",NA,NA,NA,NA,NA,NA,155,Needs Secondary Review,,Correct,,
53,156,1240483462464,,723885.81,-546.68,United State Geological Survey,USGS,14128910,45.61233960000,-122.02758380000,NAD83,"COLUMBIA RIVER AT WARRENDALE, OR",NA,NA,NA,NA,NA,NA,156,Needs Secondary Review,,Correct,,
54,157,1230144440225,,277826.76,-78.90,United State Geological Survey,USGS,14144800,43.60178870000,-122.45754740000,NAD83,"MIDDLE FORK WILLAMETTE RIVER NR OAKRIDGE, OR","MIDDLE FORK WILLAMETTE RIVER NR OAKRIDGE, OR",1.23E+12,1.23E+12,Middle Fork Willamette River,NA,NA,157,Needs Secondary Review,,Correct,,
55,158,1230233440232,,183732.54,,United State Geological Survey,USGS,14152500,43.64151020000,-123.08590890000,NAD83,"COAST FORK WILLAMETTE AT LONDON, OR","COAST FORK WILLAMETTE AT LONDON, OR",1.23E+12,1.23E+12,Coast Fork Willamette River,NA,NA,158,Needs Secondary Review,,Manually Revised with IRL tool,,
56,159,1230233440232,,148515.09,,United State Geological Survey,USGS,14153500,43.72067790000,-123.04979940000,NAD83,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR","COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",1.23E+12,1.23E+12,Coast Fork Willamette River,NA,NA,159,Needs Secondary Review,,Manually Revised with IRL tool,,
57,160,1230436438208,,68741.27,290.03,United State Geological Survey,USGS,14154500,43.73595650000,-122.87340190000,NAD83,"ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR","ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR",1.23E+12,1.23E+12,Row River,NA,NA,160,Needs Secondary Review,,Correct,,
58,161,1230673441173,,302047.37,197.91,United State Geological Survey,USGS,14159110,44.16637550000,-122.25653360000,NAD83,"MCKENZIE RIVER ABOVE SOUTH FORK, NEAR RAINBOW, OR","MCKENZIE RIVER ABOVE SOUTH FORK, NEAR RAINBOW, OR",1.23E+12,1.23E+12,McKenzie River,NA,NA,161,Needs Secondary Review,,Correct,,
59,162,1222958441593,,56177.91,67.00,United State Geological Survey,USGS,14159200,44.04706700000,-122.21782450000,NAD83,SO FK MCKENZIE RIVER ABV COUGAR LAKE NR RAINBOW OR,NA,NA,NA,NA,NA,NA,162,Needs Secondary Review,,Correct,,
60,163,1222958441593,,20079.30,-272.80,United State Geological Survey,USGS,14159500,44.13595820000,-122.24839100000,NAD83,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR","SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",1.22E+12,1.22E+12,South Fork McKenzie River,NA,NA,163,Needs Secondary Review,,Correct,,
61,164,1222619442061,,1839.13,-140.49,United State Geological Survey,USGS,14161500,44.20957080000,-122.25673300000,NAD83,"LOOKOUT CREEK NEAR BLUE RIVER, OR","LOOKOUT CREEK NEAR BLUE RIVER, OR",1.22E+12,1.22E+12,Lookout Creek,NA,NA,164,Needs Secondary Review,,Correct,,
62,165,1223436441532,,4742.44,182.15,United State Geological Survey,USGS,14162200,44.16234820000,-122.33311920000,NAD83,"BLUE RIVER AT BLUE RIVER, OR","BLUE RIVER AT BLUE RIVER, OR",1.22E+12,1.22E+12,Blue River,NA,NA,165,Needs Secondary Review,,Correct,,
63,166,1230673441173,,258448.95,-13.67,United State Geological Survey,USGS,14162400,44.12818140000,-122.38033930000,NAD83,NA,"MCKENZIE RIVER AT FINN ROCK, OR",1.23E+12,1.23E+12,McKenzie River,NA,NA,166,Needs Secondary Review,,Correct,,
64,167,1230673441173,,224983.46,-113.52,United State Geological Survey,USGS,14162500,44.12484870000,-122.47062000000,NAD83,"MCKENZIE RIVER NEAR VIDA, OR","MCKENZIE RIVER NEAR VIDA, OR",1.23E+12,1.23E+12,McKenzie River,NA,NA,167,Needs Secondary Review,,Correct,,
65,168,1225760441447,,1232.74,-75.95,United State Geological Survey,USGS,14163000,44.14568250000,-122.57201520000,NAD83,NA,"GATE CREEK AT VIDA,OREG.",1.23E+12,1.23E+12,Gate Creek,NA,NA,168,Needs Secondary Review,,Correct,,
66,169,1228827440629,,3414.82,134.30,United State Geological Survey,USGS,14164550,44.07066670000,-122.88466670000,NAD83,"CAMP CRK AT CAMP CRK RD BRIDGE, NR SPRINGFIELD, OR","CAMP CRK AT CAMP CRK RD BRIDGE, NR SPRINGFIELD, OR",1.23E+12,1.23E+12,Camp Creek,NA,NA,169,Needs Secondary Review,,Correct,,
67,170,1229475440684,,8995.93,-87.91,United State Geological Survey,USGS,14164700,44.05934800000,-122.91966440000,NAD83,"CEDAR CREEK AT SPRINGFIELD, OR","CEDAR CREEK AT SPRINGFIELD, OR",1.23E+12,1.23E+12,Cedar Flat Creek,NA,NA,170,Needs Secondary Review,,Correct,,
68,171,1230673441173,,57389.72,-213.74,United State Geological Survey,USGS,14164900,44.07123650000,-122.96452730000,NAD83,"McKENZIE RIVER ABV HAYDEN BR, AT SPRINGFIELD,OR","McKENZIE RIVER ABV HAYDEN BR, AT SPRINGFIELD,OR",1.23E+12,1.23E+12,McKenzie River,NA,NA,171,Needs Secondary Review,,Correct,,
69,172,1230064446868,,305118.52,-246.58,United State Geological Survey,USGS,14178000,44.70678850000,-122.10118590000,NAD83,"NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR",NA,NA,NA,NA,NA,NA,172,Needs Secondary Review,,Correct,,
70,173,1221580447267,,14112.57,147.92,United State Geological Survey,USGS,14179000,44.75262180000,-122.12896480000,NAD83,"BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.","BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.",1.22E+12,1.22E+12,Breitenbush River,NA,NA,173,Needs Secondary Review,,Correct,,
71,174,1221547447400,,8839.59,71.67,United State Geological Survey,USGS,14179100,44.76039970000,-122.16840990000,NAD83,"FRENCH CREEK NEAR DETROIT, OR","FRENCH CREEK NEAR DETROIT, OR",1.22E+12,1.22E+12,French Creek,NA,NA,174,Needs Secondary Review,,Correct,,
72,175,1222080446950,,28349.53,97.42,United State Geological Survey,USGS,14180300,44.65290000000,-122.13090800000,NAD83,"BLOWOUT CREEK NEAR DETROIT, OR","BLOWOUT CREEK NEAR DETROIT, OR",1.22E+12,1.22E+12,Blowout Creek,NA,NA,175,Needs Secondary Review,,Correct,,
73,176,1230064446868,,234468.94,-607.08,United State Geological Survey,USGS,14181500,44.75262190000,-122.29841200000,NAD83,"NORTH SANTIAM RIVER AT NIAGARA, OR",NA,NA,NA,NA,NA,NA,176,Needs Secondary Review,,Correct,,
74,177,1224899451656,,323.56,20.99,United State Geological Survey,USGS,14199710,45.16651180000,-122.49008610000,NAD83,"NATE CREEK NEAR COLTON,OREG.","NATE CREEK NEAR COLTON,OREG.",1.22E+12,1.22E+12,Nate Creek,NA,NA,177,Needs Secondary Review,,Correct,,
75,178,1227171452976,,31937.39,16.52,United State Geological Survey,USGS,14200000,45.24428770000,-122.68731400000,NAD83,"MOLALLA RIVER NEAR CANBY, OR",NA,NA,NA,NA,NA,NA,178,Needs Secondary Review,,Correct,,
76,179,1226280449569,,474.04,-24.30,United State Geological Survey,USGS,14200400,44.95567760000,-122.62841990000,NAD83,"LITTLE ABIQUA CREEK NEAR SCOTTS MILLS, OR","LITTLE ABIQUA CREEK NEAR SCOTTS MILLS, OR",1.23E+12,1.23E+12,Little Abiqua Creek,NA,NA,179,Needs Secondary Review,,Correct,,
77,180,1228266451046,,2061.27,119.88,United State Geological Survey,USGS,14201300,45.10039820000,-122.82175960000,NAD83,"ZOLLNER CREEK NEAR MT ANGEL, OR","ZOLLNER CREEK NEAR MT ANGEL, OR",1.23E+12,1.23E+12,Zollner Creek,NA,NA,180,Needs Secondary Review,,Correct,,
78,181,1226500453377,,385346.65,-165.06,United State Geological Survey,USGS,14202300,45.46733390000,-123.29177760000,NAD83,"TUALATIN RIVER AT CHERRY GROVE, OR.","TUALATIN RIVER AT CHERRY GROVE, OR.",1.23E+12,1.23E+12,Tualatin River,NA,NA,181,Needs Secondary Review,,Correct,,
79,182,1226500453377,,332076.42,168.64,United State Geological Survey,USGS,14202510,45.43872550000,-123.14094050000,NAD83,"TUALATIN RIVER AT GASTON, OR","TUALATIN RIVER AT GASTON, OR",1.23E+12,1.23E+12,Tualatin River,NA,NA,182,Needs Secondary Review,,Correct,,
80,183,1231250454590,,635.23,,United State Geological Survey,USGS,14202650,45.44064170000,-123.12500000000,NAD83,"WAPATO CREEK AT SW GASTON ROAD, AT GASTON, OR","WAPATO CREEK AT SW GASTON ROAD, AT GASTON, OR",1.23E+12,1.23E+12,Wapato Creek,NA,NA,183,Needs Secondary Review,,Manually Revised with IRL tool,,
81,184,1231261454600,,24465.65,723.26,United State Geological Survey,USGS,14202980,45.46927970000,-123.20010900000,NAD83,"SCOGGINS CK BLW HENRY HAGG LAKE, NR GASTON, OR","SCOGGINS CK BLW HENRY HAGG LAKE, NR GASTON, OR",1.23E+12,1.23E+12,Scoggins Creek,NA,NA,184,Needs Secondary Review,,Correct,,
82,185,1231261454600,,8609.22,49.34,United State Geological Survey,USGS,14203000,45.45872500000,-123.15566340000,NAD83,"SCOGGIN CREEK NEAR GASTON, OREG.","SCOGGIN CREEK NEAR GASTON, OREG.",1.23E+12,1.23E+12,Scoggins Creek,NA,NA,185,Needs Secondary Review,,Correct,,
83,186,1226500453377,,314627.12,238.35,United State Geological Survey,USGS,14203500,45.47483650000,-123.12427400000,NAD83,"TUALATIN RIVER NEAR DILLEY, OR","TUALATIN RIVER NEAR DILLEY, OR",1.23E+12,1.23E+12,Tualatin River,NA,NA,186,Needs Secondary Review,,Correct,,
84,187,1231025454915,,20135.96,-215.10,United State Geological Survey,USGS,14204520,45.51928050000,-123.13038590000,NAD83,NA,"GALES CREEK AT FOREST GROVE,OREG.   (DUPLICATE1)",1.23E+12,1.23E+12,Gales Creek,NA,NA,187,Needs Secondary Review,,Correct,,
85,188,1231025454915,,12414.18,-21.70,United State Geological Survey,USGS,14204530,45.51066970000,-123.11566320000,NAD83,"GALES CREEK AT ROUTE 47 AT FOREST GROVE, OR","GALES CREEK AT ROUTE 47 AT FOREST GROVE, OR",1.23E+12,1.23E+12,Gales Creek,NA,NA,188,Needs Secondary Review,,Correct,,
86,189,1226500453377,,297338.02,227.23,United State Geological Survey,USGS,14204650,45.49289250000,-123.09232900000,NAD83,DIVERSION FROM TUAL R AT SPRINGHILL PUMPING PLANT,DIVERSION FROM TUAL R AT SPRINGHILL PUMPING PLANT,1.23E+12,1.23E+12,Tualatin River,NA,NA,189,Needs Secondary Review,,Correct,,
87,190,1226500453377,,292743.32,70.94,United State Geological Survey,USGS,14204660,45.50000000000,-123.08917220000,NAD83,"TUALATIN R AT SW FERN HILL RD, NR FOREST GROVE, OR","TUALATIN RIVER AT SPRINGHILL RD NR FOREST GR, OR",1.23E+12,1.23E+12,Tualatin River,NA,NA,190,Needs Secondary Review,,Correct,,
88,191,1226500453377,,271904.78,-10.16,United State Geological Survey,USGS,14204800,45.50205970000,-123.05621730000,NAD83,"TUALATIN RIVER AT GOLF COURSE RD NR CORNELIUS, OR","TUALATIN RIVER AT GOLF COURSE RD NR CORNELIUS, OR",1.23E+12,1.23E+12,Tualatin River,NA,NA,191,Needs Secondary Review,,Correct,,
89,192,1230728455698,,66458.64,-20.16,United State Geological Survey,USGS,14205400,45.68233570000,-123.06955300000,NAD83,"EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR","EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR",1.23E+12,1.23E+12,East Fork Dairy Creek,NA,NA,192,Needs Secondary Review,,Correct,,
90,193,1230728455698,,6185.42,-49.90,United State Geological Survey,USGS,14205780,45.57844770000,-123.07066300000,NAD83,NA,"EAST FORK DAIRY CREEK NEAR ROY,OREG.",1.23E+12,1.23E+12,East Fork Dairy Creek,NA,NA,193,Needs Secondary Review,,Correct,,
91,194,1229958455017,,30370.42,215.75,United State Geological Survey,USGS,14205850,45.53872630000,-123.04177290000,NAD83,DAIRY CREEK AT SUSBAUER ROAD,DAIRY CREEK AT SUSBAUER ROAD,1.23E+12,1.23E+12,Dairy Creek,NA,NA,194,Needs Secondary Review,,Correct,,
92,195,1230119455224,,31632.80,-63.75,United State Geological Survey,USGS,14206070,45.57261550000,-122.99177200000,NAD83,MCKAY CK ABV WAIBLE CK @ SCOTCH CHURCH RD NR N.PLN,MCKAY CK ABV WAIBLE CK @ SCOTCH CHURCH RD NR N.PLN,1.23E+12,1.23E+12,McKay Creek,NA,NA,195,Needs Secondary Review,,Correct,,
93,196,1230119455224,,11394.80,22.72,United State Geological Survey,USGS,14206180,45.54289350000,-123.00427200000,NAD83,"MCKAY CREEK NEAR HILLSBORO,OREG.","MCKAY CREEK NEAR HILLSBORO,OREG.",1.23E+12,1.23E+12,McKay Creek,NA,NA,196,Needs Secondary Review,,Correct,,
94,197,1229958455017,,10471.84,-68.14,United State Geological Survey,USGS,14206200,45.51983810000,-123.01066080000,NAD83,"DAIRY CREEK AT RTE 8 NEAR HILLSBORO, OR","DAIRY CREEK AT RTE 8 NEAR HILLSBORO, OR",1.23E+12,1.23E+12,Dairy Creek,NA,NA,197,Needs Secondary Review,,Correct,,
95,198,1226500453377,,234351.16,40.15,United State Geological Survey,USGS,14206241,45.50011640000,-122.99121570000,NAD83,"TUALATIN RIVER AT HWY 219 NEAR HILLSBORO, OR","TUALATIN RIVER AT HWY 219 NEAR HILLSBORO, OR",1.23E+12,1.23E+12,Tualatin River,NA,NA,198,Needs Secondary Review,,Correct,,
