MonitoringLocationIdentifier,Site_no,OrganizationIdentifier,OrganizationFormalName,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasureMeasureValue,DrainageAreaMeasureMeasureUnitCode,ContributingDrainageAreaMeasureMeasureValue,ContributingDrainageAreaMeasureMeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasureMeasureValue,HorizontalAccuracyMeasureMeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasureMeasureValue,VerticalMeasureMeasureUnitCode,VerticalAccuracyMeasureMeasureValue,VerticalAccuracyMeasureMeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasureMeasureValue,WellDepthMeasureMeasureUnitCode,WellHoleDepthMeasureMeasureValue,WellHoleDepthMeasureMeasureUnitCode,Site_name,Agency,LLID_Stream_Lake,Str_LLID,Str_name,LAKE_LLID,LAKE_NAME,LatChar,LonChar
USGS-13180600,13180600,USGS-ID,USGS Idaho Water Science Center,JORDAN CREEK NR ROME OR,Stream,,17050108,NA,,NA,NA,42.8640451,-117.6396007,NA,5,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8640451,-117.6396007
USGS-13184000,13184000,USGS-OR,USGS Oregon Water Science Center,"OWYHEE RIVER AT OWYHEE, OREG.",Stream,,17050110,11300,sq mi,NA,,43.7776605,-117.0676601,NA,Unknown,Unknown,Interpolated from map,NAD83,2190,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7776605,-117.0676601
USGS-13331500,13331500,USGS-OR,USGS Oregon Water Science Center,"MINAM RIVER AT MINAM, OR",Stream,,17060105,240,sq mi,NA,,45.6198669,-117.7265892,NA,Unknown,Unknown,Interpolated from map,NAD83,2540.48,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6198669,-117.7265892
USGS-14076500,14076500,USGS-OR,USGS Oregon Water Science Center,"DESCHUTES RIVER NEAR CULVER, OR",Stream,,17070301,2705,sq mi,NA,NA,44.4987293,-121.3211558,NA,Unknown,Unknown,Interpolated from map,NAD83,1980,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4987293,-121.3211558
USGS-14087393,14087393,USGS-OR,USGS Oregon Water Science Center,"CROOKED RIVER AT CARCASS TRAIL NEAR CULVER, OR",Stream,PFO/BLM Seepage run study  Jennifer Morace 09/2004,17070305,NA,,NA,,44.4726185,-121.297543,NA,1,seconds,Interpolated from map,NAD83,2020,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4726185,-121.297543
USGS-14128910,14128910,USGS-OR,USGS Oregon Water Science Center,"COLUMBIA RIVER AT WARRENDALE, OR",Stream,,17080001,240400,sq mi,NA,,45.6123396,-122.0275838,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6123396,-122.0275838
USGS-14144800,14144800,USGS-OR,USGS Oregon Water Science Center,"MIDDLE FORK WILLAMETTE RIVER NR OAKRIDGE, OR",Stream,,17090001,264,sq mi,NA,NA,43.6017887,-122.4575474,NA,1,seconds,Interpolated from map,NAD83,1560,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"MIDDLE FORK WILLAMETTE RIVER NR OAKRIDGE, OR",USGS,1.23014E+12,1.23014E+12,Middle Fork Willamette River,NA,NA,43.6017887,-122.4575474
USGS-14152500,14152500,USGS-OR,USGS Oregon Water Science Center,"COAST FORK WILLAMETTE AT LONDON, OR",Stream,,17090002,72.1,sq mi,NA,NA,43.6415102,-123.0859089,NA,Unknown,Unknown,Interpolated from map,NAD83,852.58,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"COAST FORK WILLAMETTE AT LONDON, OR",USGS,1.23023E+12,1.23023E+12,Coast Fork Willamette River,NA,NA,43.6415102,-123.0859089
USGS-14153500,14153500,USGS-OR,USGS Oregon Water Science Center,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",Stream,,17090002,104,sq mi,NA,NA,43.7206779,-123.0497994,NA,1,seconds,Interpolated from map,NAD83,711,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",USGS,1.23023E+12,1.23023E+12,Coast Fork Willamette River,NA,NA,43.7206779,-123.0497994
USGS-14154500,14154500,USGS-OR,USGS Oregon Water Science Center,"ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR",Stream,,17090002,211,sq mi,NA,NA,43.7359565,-122.8734019,NA,Unknown,Unknown,Interpolated from map,NAD83,856.16,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR",USGS,1.23044E+12,1.23044E+12,Row River,NA,NA,43.7359565,-122.8734019
USGS-14159110,14159110,USGS-OR,USGS Oregon Water Science Center,"MCKENZIE RIVER ABOVE SOUTH FORK, NEAR RAINBOW, OR",Stream,Water Temp data collected 2000ft ds 1983-1984,17090004,525.96,sq mi,NA,,44.1663755,-122.2565336,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,1150,feet,30,feet,Interpolated from topographic map,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"MCKENZIE RIVER ABOVE SOUTH FORK, NEAR RAINBOW, OR",USGS,1.23067E+12,1.23067E+12,McKenzie River,NA,NA,44.1663755,-122.2565336
USGS-14159200,14159200,USGS-OR,USGS Oregon Water Science Center,SO FK MCKENZIE RIVER ABV COUGAR LAKE NR RAINBOW OR,Stream,,17090004,160,sq mi,NA,,44.047067,-122.2178245,NA,1,seconds,Interpolated from map,NAD83,1709.51,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.047067,-122.2178245
USGS-14159500,14159500,USGS-OR,USGS Oregon Water Science Center,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",Stream,,17090004,208,sq mi,NA,,44.1359582,-122.248391,NA,1,seconds,Interpolated from map,NAD83,1236.42,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",USGS,1.22296E+12,1.22296E+12,South Fork McKenzie River,NA,NA,44.1359582,-122.248391
USGS-14161500,14161500,USGS-OR,USGS Oregon Water Science Center,"LOOKOUT CREEK NEAR BLUE RIVER, OR",Stream,,17090004,24.1,sq mi,NA,,44.2095708,-122.256733,NA,1,seconds,Interpolated from map,NAD83,1377.76,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"LOOKOUT CREEK NEAR BLUE RIVER, OR",USGS,1.22262E+12,1.22262E+12,Lookout Creek,NA,NA,44.2095708,-122.256733
USGS-14162200,14162200,USGS-OR,USGS Oregon Water Science Center,"BLUE RIVER AT BLUE RIVER, OR",Stream,,17090004,87.7,sq mi,NA,,44.1623482,-122.3331192,NA,1,seconds,Interpolated from map,NAD83,1056.53,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"BLUE RIVER AT BLUE RIVER, OR",USGS,1.22344E+12,1.22344E+12,Blue River,NA,NA,44.1623482,-122.3331192
USGS-14162400,14162400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1281814,-122.3803393,NA,NA,NA,NA,NAD83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MCKENZIE RIVER AT FINN ROCK, OR",USGS,1.23067E+12,1.23067E+12,McKenzie River,NA,NA,44.1281814,-122.3803393
USGS-14162500,14162500,USGS-OR,USGS Oregon Water Science Center,"MCKENZIE RIVER NEAR VIDA, OR",Stream,,17090004,930,sq mi,NA,,44.1248487,-122.47062,NA,1,seconds,Interpolated from map,NAD83,855.71,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"MCKENZIE RIVER NEAR VIDA, OR",USGS,1.23067E+12,1.23067E+12,McKenzie River,NA,NA,44.1248487,-122.47062
USGS-14163000,14163000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1456825,-122.5720152,NA,NA,NA,NA,NAD83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GATE CREEK AT VIDA,OREG.",USGS,1.22576E+12,1.22576E+12,Gate Creek,NA,NA,44.1456825,-122.5720152
USGS-14164550,14164550,USGS-OR,USGS Oregon Water Science Center,"CAMP CRK AT CAMP CRK RD BRIDGE, NR SPRINGFIELD, OR",Stream,EWEB Storm event monitor proj-C.Anderson Sept.2002,17090004,26,sq mi,NA,,44.0706667,-122.8846667,NA,0.5,seconds,"Global positioning system (GPS), uncorrected",NAD83,525,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"CAMP CRK AT CAMP CRK RD BRIDGE, NR SPRINGFIELD, OR",USGS,1.22883E+12,1.22883E+12,Camp Creek,NA,NA,44.0706667,-122.8846667
USGS-14164700,14164700,USGS-OR,USGS Oregon Water Science Center,"CEDAR CREEK AT SPRINGFIELD, OR",Stream,PFO,17090004,NA,,NA,,44.059348,-122.9196644,NA,0.5,seconds,"Global positioning system (GPS), uncorrected",NAD83,490,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"CEDAR CREEK AT SPRINGFIELD, OR",USGS,1.22948E+12,1.22948E+12,Cedar Flat Creek,NA,NA,44.059348,-122.9196644
USGS-14164900,14164900,USGS-OR,USGS Oregon Water Science Center,"McKENZIE RIVER ABV HAYDEN BR, AT SPRINGFIELD,OR",Stream,,17090004,1140,sq mi,NA,,44.0712365,-122.9645273,NA,Unknown,Unknown,Interpolated from map,NAD83,400,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,"McKENZIE RIVER ABV HAYDEN BR, AT SPRINGFIELD,OR",USGS,1.23067E+12,1.23067E+12,McKenzie River,NA,NA,44.0712365,-122.9645273
USGS-14178000,14178000,USGS-OR,USGS Oregon Water Science Center,"NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR",Stream,,17090005,216,sq mi,NA,,44.7067885,-122.1011859,NA,Unknown,Unknown,Interpolated from map,NAD83,1590.07,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7067885,-122.1011859
USGS-14179000,14179000,USGS-OR,USGS Oregon Water Science Center,"BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.",Stream,,17090005,108,sq mi,NA,,44.7526218,-122.1289648,NA,10,seconds,Interpolated from map,NAD83,1573.95,feet,0.1,feet,Interpolated from topographic map,NGVD29,US,41,47,NA,NA,NA,NA,NA,NA,NA,NA,"BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.",USGS,1.22158E+12,1.22158E+12,Breitenbush River,NA,NA,44.7526218,-122.1289648
USGS-14179100,14179100,USGS-OR,USGS Oregon Water Science Center,"FRENCH CREEK NEAR DETROIT, OR",Stream,Portland Field Office site,17090005,9.9,sq mi,NA,,44.7603997,-122.1684099,NA,1,seconds,Interpolated from map,NAD83,1800,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,47,NA,NA,NA,NA,NA,NA,NA,NA,"FRENCH CREEK NEAR DETROIT, OR",USGS,1.22155E+12,1.22155E+12,French Creek,NA,NA,44.7603997,-122.1684099
USGS-14180300,14180300,USGS-OR,USGS Oregon Water Science Center,"BLOWOUT CREEK NEAR DETROIT, OR",Stream,,17090005,26,sq mi,NA,,44.6529,-122.130908,NA,3,seconds,Interpolated from map,NAD83,1840,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,43,NA,NA,NA,NA,NA,NA,NA,NA,"BLOWOUT CREEK NEAR DETROIT, OR",USGS,1.22208E+12,1.22208E+12,Blowout Creek,NA,NA,44.6529,-122.130908
USGS-14181500,14181500,USGS-OR,USGS Oregon Water Science Center,"NORTH SANTIAM RIVER AT NIAGARA, OR",Stream,,17090005,453,sq mi,NA,,44.7526219,-122.298412,NA,Unknown,Unknown,Interpolated from map,NAD83,1093.78,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7526219,-122.298412
USGS-14199710,14199710,USGS-OR,USGS Oregon Water Science Center,"NATE CREEK NEAR COLTON,OREG.",Stream,,17090009,11.1,sq mi,NA,,45.1665118,-122.4900861,NA,1,seconds,Interpolated from map,NAD83,400,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"NATE CREEK NEAR COLTON,OREG.",USGS,1.2249E+12,1.2249E+12,Nate Creek,NA,NA,45.1665118,-122.4900861
USGS-14200000,14200000,USGS-OR,USGS Oregon Water Science Center,"MOLALLA RIVER NEAR CANBY, OR",Stream,,17090009,323,sq mi,NA,,45.2442877,-122.687314,NA,1,seconds,Interpolated from map,NAD83,94,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2442877,-122.687314
USGS-14200400,14200400,USGS-OR,USGS Oregon Water Science Center,"LITTLE ABIQUA CREEK NEAR SCOTTS MILLS, OR",Stream,,17090009,9.81,sq mi,9.81,sq mi,44.9556776,-122.6284199,124000,Unknown,Unknown,Interpolated from map,NAD83,800,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,47,NA,NA,NA,NA,NA,NA,NA,NA,"LITTLE ABIQUA CREEK NEAR SCOTTS MILLS, OR",USGS,1.22628E+12,1.22628E+12,Little Abiqua Creek,NA,NA,44.9556776,-122.6284199
USGS-14201300,14201300,USGS-OR,USGS Oregon Water Science Center,"ZOLLNER CREEK NEAR MT ANGEL, OR",Stream,,17090009,15,sq mi,NA,,45.1003982,-122.8217596,124000,Unknown,Unknown,Interpolated from map,NAD83,120,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,47,NA,NA,NA,NA,NA,NA,NA,NA,"ZOLLNER CREEK NEAR MT ANGEL, OR",USGS,1.22827E+12,1.22827E+12,Zollner Creek,NA,NA,45.1003982,-122.8217596
USGS-14202300,14202300,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT CHERRY GROVE, OR.",Stream,TUALATIN PROJECT - requested by MCDOYLE,17090010,NA,,NA,NA,45.4673339,-123.2917776,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT CHERRY GROVE, OR.",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.4673339,-123.2917776
USGS-14202510,14202510,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT GASTON, OR",Stream,,17090010,50.9,sq mi,NA,,45.4387255,-123.1409405,NA,10,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT GASTON, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.4387255,-123.1409405
USGS-14202650,14202650,USGS-OR,USGS Oregon Water Science Center,"WAPATO CREEK AT SW GASTON ROAD, AT GASTON, OR",Stream,TUALATIN PROJECT INTERMITTENT SITE,17090010,24.1,sq mi,NA,,45.4406417,-123.125,24000,0.5,seconds,Interpolated from Digital Map,NAD83,180,feet,5,feet,Interpolated from topographic map,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"WAPATO CREEK AT SW GASTON ROAD, AT GASTON, OR",USGS,1.23125E+12,1.23125E+12,Wapato Creek,NA,NA,45.4406417,-123.125
USGS-14202980,14202980,USGS-OR,USGS Oregon Water Science Center,"SCOGGINS CK BLW HENRY HAGG LAKE, NR GASTON, OR",Stream,,17090010,38.8,sq mi,NA,,45.4692797,-123.200109,NA,1,seconds,Interpolated from map,NAD83,187.48,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"SCOGGINS CK BLW HENRY HAGG LAKE, NR GASTON, OR",USGS,1.23126E+12,1.23126E+12,Scoggins Creek,NA,NA,45.4692797,-123.200109
USGS-14203000,14203000,USGS-OR,USGS Oregon Water Science Center,"SCOGGIN CREEK NEAR GASTON, OREG.",Stream,,17090010,43.3,sq mi,NA,NA,45.458725,-123.1556634,NA,Unknown,Unknown,Interpolated from map,NAD83,168.92,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"SCOGGIN CREEK NEAR GASTON, OREG.",USGS,1.23126E+12,1.23126E+12,Scoggins Creek,NA,NA,45.458725,-123.1556634
USGS-14203500,14203500,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER NEAR DILLEY, OR",Stream,,17090010,125,sq mi,NA,NA,45.4748365,-123.124274,NA,Unknown,Unknown,Interpolated from map,NAD83,147.57,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER NEAR DILLEY, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.4748365,-123.124274
USGS-14204520,14204520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5192805,-123.1303859,NA,NA,NA,NA,NAD83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GALES CREEK AT FOREST GROVE,OREG.   (DUPLICATE1)",USGS,1.23103E+12,1.23103E+12,Gales Creek,NA,NA,45.5192805,-123.1303859
USGS-14204530,14204530,USGS-OR,USGS Oregon Water Science Center,"GALES CREEK AT ROUTE 47 AT FOREST GROVE, OR",Stream,,17090010,NA,,NA,NA,45.5106697,-123.1156632,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"GALES CREEK AT ROUTE 47 AT FOREST GROVE, OR",USGS,1.23103E+12,1.23103E+12,Gales Creek,NA,NA,45.5106697,-123.1156632
USGS-14204650,14204650,USGS-OR,USGS Oregon Water Science Center,DIVERSION FROM TUAL R AT SPRINGHILL PUMPING PLANT,Stream,,17090010,NA,,NA,,45.4928925,-123.092329,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,DIVERSION FROM TUAL R AT SPRINGHILL PUMPING PLANT,USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.4928925,-123.092329
USGS-14204660,14204660,USGS-OR,USGS Oregon Water Science Center,"TUALATIN R AT SW FERN HILL RD, NR FOREST GROVE, OR",Stream,"FORMERLY NAMED; AT SPRINGHILL RD NR FOREST GR, OR",17090010,NA,,NA,NA,45.5,-123.0891722,24000,1,seconds,Interpolated from Digital Map,NAD83,155,feet,5,feet,Interpolated from digital elevation model (DEM),NAVD88,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT SPRINGHILL RD NR FOREST GR, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.5,-123.0891722
USGS-14204800,14204800,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT GOLF COURSE RD NR CORNELIUS, OR",Stream,,17090010,NA,,NA,NA,45.5020597,-123.0562173,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT GOLF COURSE RD NR CORNELIUS, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.5020597,-123.0562173
USGS-14205400,14205400,USGS-OR,USGS Oregon Water Science Center,"EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR",Stream,PFO - NAWQA,17090010,33.8,sq mi,NA,,45.6823357,-123.069553,NA,1,seconds,Interpolated from Digital Map,NAD83,290,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR",USGS,1.23073E+12,1.23073E+12,East Fork Dairy Creek,NA,NA,45.6823357,-123.069553
USGS-14205780,14205780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5784477,-123.070663,NA,NA,NA,NA,NAD83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAST FORK DAIRY CREEK NEAR ROY,OREG.",USGS,1.23073E+12,1.23073E+12,East Fork Dairy Creek,NA,NA,45.5784477,-123.070663
