AGENCY,AGENCY_ID,STATION_ID,DEC_LAT,DEC_LONG,DATUM,DESCRIPTION,DESCRIPTION_2,LLID_Stream_Lake,Str_LLID,Str_name,LAKE_LLID,LAKE_NAME,COMMENTS,KEEP
EPA National Aquatic Resource Survey Data,NARS,WORP99-0505,45.88232,-123.29797,NAD27,ROCK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0508,43.32637,-123.84749,NAD27,MINK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0510,42.23773,-120.57656,NAD27,MUDDY CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0511,45.33377,-121.7321,NAD27,LITTLE ZIGZAG CANYON,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0512,44.956,-118.3767,NAD27,NORTH TRAIL CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0514,42.68806,-121.25865,NAD27,SYCAN RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0515,42.94294,-121.2588,NAD27,WF SILVER CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0518,45.88876,-117.09055,NAD27,BROADY CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0520,43.01943,-123.82788,NAD27,UPPER ROCK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0522,42.04374,-118.29447,NAD27,BIG TROUT CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0523,44.44785,-117.36786,NAD27,DIXIE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0528,44.47614,-120.133,NAD27,MILK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0529,44.84419,-118.4947,NAD27,BUCK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0530,44.33318,-118.64266,NAD27,TRIB TO STRAWBERRY CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0538,44.01946,-119.47612,NAD27,FLAT CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0541,45.09314,-118.66703,NAD27,HIDAWAY CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0542,44.53912,-119.03291,NAD27,ENNIS CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0547,44.82247,-120.15471,NAD27,ROWE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0548,44.20752,-119.28981,NAD27,NF DEER CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0551,45.1856,-121.6422,NAD27,FROG CREEK TRIB.,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0554,44.83708,-118.87958,NAD27,INDIAN CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0559,44.5319,-118.4793,NAD27,CLEAR CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0560,44.58345,-118.41174,NAD27,SUMMIT CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0605,45.09674,-121.55233,NAD27,BEAVER CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0606,45.09761,-120.10241,NAD27,THIRTY-MILE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0607,44.43229,-118.51393,NAD27,NORTH FORK REYNOLDS CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0608,44.5756,-118.49144,NAD27,LOWER CLEAR CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0613,44.84498,-121.00437,NAD27,TENMILE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0617,45.14141,-120.96853,NAD27,BAKEOVEN CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0619,44.92461,-118.89051,NAD27,EAST FORK MEADOW BROOK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0620,44.61149,-118.94132,NAD27,LONG CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0622,44.04762,-119.25393,NAD27,GRASSHOPPER CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0625,45.17224,-118.73686,NAD27,CAMAS CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0626,44.85483,-118.72771,NAD27,SPONGE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0630,44.75606,-119.41414,NAD27,COTTONWOOD CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0657,44.86329,-122.28132,NAD27,TINCUP CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0659,43.69977,-122.85016,NAD27,CULP CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0661,45.8592,-123.61998,NAD27,MCCLURE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0662,45.3681,-119.44609,NAD27,HINTON CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0665,42.56856,-120.53277,NAD27,AVERY CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0666,45.33709,-123.05504,NAD27,CHEHELEM CREEK TRIBUTARY,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0667,45.11452,-116.85653,NAD27,DRY CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0677,44.13839,-121.60091,NAD27,THREE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0685,45.09654,-119.60913,NAD27,ROCK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0691,45.02467,-119.15001,NAD27,RUSH CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0692,44.65401,-118.72916,NAD27,SUNSHINE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0698,44.30671,-119.1757,NAD27,RILEY CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0701,45.24938,-121.66096,NAD27,BARLOW CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0704,44.71076,-118.80173,NAD27,ELK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0710,44.3756,-119.25701,NAD27,SECOND CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0721,44.89782,-118.38236,NAD27,ONION CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0724,44.09689,-119.51807,NAD27,PINE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0728,44.39839,-118.67658,NAD27,STRAWBERRY CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0734,44.67166,-118.54477,NAD27,VINCENT CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0735,44.96672,-122.79673,NAD27,DRIFT CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0739,45.68971,-123.71855,NAD27,HARLISS CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0740,45.24534,-119.20996,NAD27,JOHNSON CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0745,44.89848,-117.42425,NAD27,SAWMILL CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0748,43.65174,-124.09572,NAD27,WIND CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0762,44.97169,-119.29883,NAD27,GRAVES CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0768,44.62178,-120.21026,NAD27,BRIDGE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0769,45.05127,-118.66512,NAD27,NORTH FORK CABLE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0775,44.99814,-119.80279,NAD27,BROWN CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0780,44.61771,-119.29982,NAD27,FOX CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0787,44.90789,-118.31402,NAD27,BALDY CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0792,44.95417,-120.11022,NAD27,STRAW FORK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0794,44.6223,-118.57806,NAD27,MIDDLE FORK JOHN DAY RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0800,44.1997,-119.35128,NAD27,DEER CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0803,45.20416,-121.41462,NAD27,GATE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0806,44.84825,-118.7868,NAD27,BEEMAN CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0813,45.2009,-123.6502,NAD27,NIAGARA CREEK NEAR NESTUCCA RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0815,44.26857,-119.97815,NAD27,ROBA CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0819,44.54968,-122.0832,NAD27,PYRAMID CREEK TRIBUTARY,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0821,43.95167,-122.11595,NAD27,SOUTH FORK MCKENZIE RIVER TRIBUTARY,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0823,44.4297,-117.51413,NAD27,SOUTH FORK DIXIE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0825,43.85239,-123.72026,NAD27,WEST FORK SMITH RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0830,45.27151,-117.46621,NAD27,NORTH MINAM RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0841,45.03423,-118.97814,NAD27,CAMAS CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0842,44.71102,-118.95085,NAD27,SLIDE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0848,44.35343,-119.40961,NAD27,DRY CABIN CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0851,45.19279,-121.55272,NAD27,CEDAR CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0852,45.16732,-119.95315,NAD27,LONE ROCK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0854,44.77924,-118.45325,NAD27,BEAVER / OLIVE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0856,44.01521,-119.3382,NAD27,SOUTH FORK JOHN DAY RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0860,44.7778,-118.6861,NAD27,BIG CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0864,45.05225,-119.45251,NAD27,ALDER CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0866,44.27721,-119.59326,NAD27,NORTH FORK WIND CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0871,44.95504,-118.54964,NAD27,MARTIN CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0877,44.9617,-118.60826,NAD27,MEADOW CREEK TRIBUTARY,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0879,45.30098,-123.47628,NAD27,NESTUCCA RIVER TRIBUTARY,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0883,44.56009,-120.17553,NAD27,NELSON CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0885,43.87554,-123.50238,NAD27,SIUSLAW RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0888,42.32292,-120.98713,NAD27,FISHHOLE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0890,45.15849,-117.31893,NAD27,EAST FORK EAGLE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0891,44.55845,-121.6331,NAD27,ABBOT CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0892,43.2617,-123.72635,NAD27,WILLIAMS RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0893,43.59507,-123.08421,NAD27,WILLAMETTE RIVER COAST FORK TRIB,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0908,44.25837,-119.39841,NAD27,SOUTH FORK MURDERERS CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0912,44.85758,-119.96848,NAD27,LAKE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0917,44.44292,-119.81463,NAD27,ROCK CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0923,44.76814,-119.91009,NAD27,HORSESHOE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0924,44.99626,-118.72649,NAD27,ORIENTAL CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0928,45.30092,-121.44904,NAD27,LITTLE BADGER CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0929,44.99289,-120.19691,NAD27,BUTTE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0931,44.78704,-118.37701,NAD27,BULL RUN CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0935,45.05038,-119.35106,NAD27,DITCH CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0937,44.34538,-119.6512,NAD27,BLACK CANYON CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0947,44.62316,-119.63725,NAD27,JOHNNY CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0948,45.09133,-119.21976,NAD27,POTAMUS CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0950,43.98699,-123.64101,NAD27,SIUSLAW RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0952,42.82923,-124.04476,NAD27,UPPER LAND CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0954,45.19066,-122.13924,NAD27,WINSLOW CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0956,45.04592,-123.43569,NAD27,MILL CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0957,42.69083,-122.96372,NAD27,EVANS CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0972,45.08481,-119.04549,NAD27,FIVEMILE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0973,44.77083,-118.87764,NAD27,MIDDLE FORK JOHN DAY RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0977,44.8449,-119.59178,NAD27,BOLOGNA CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0985,44.35015,-119.54315,NAD27,JACKASS CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0987,44.16044,-119.54082,NAD27,WILDCAT CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0997,44.25698,-118.7312,NAD27,CANYON CREEK EAST FORK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-1002,44.80711,-118.42886,NAD27,GRANITE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-1003,44.63579,-118.84309,NAD27,CAMP CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-1016,44.43974,-122.27953,NAD27,SUTTLE CAMP CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-1017,43.1824,-122.32973,NAD27,ROUGH CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-1018,43.8422,-122.67658,NAD27,GOODMAN CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-1019,42.75841,-118.82789,NAD27,FISH CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-1021,44.26693,-119.21942,NAD27,MURDERERS CREEK,NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,11493500,42.7401353,-121.8344618,NAD83,"WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,11501000,42.5845809,-121.8497366,NAD83,"SPRAGUE RIVER NEAR CHILOQUIN, OR",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,11504100,42.64569,-121.9955755,NAD83,WOOD R NR FORT KLAMATH OREG,NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,11507100,42.2387553,-121.8052827,NAD83,UPPER KLAMATH LAKE OUTLET AT KLAMATH FALLS OR,NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,11507501,42.2193114,-121.7902816,NAD83,"LINK RIVER BELOW KENO CANAL, NEAR KLAMATH FALLS,OR",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,11509370,42.1279223,-121.9288964,NAD83,"KLAMATH RIVER ABOVE KENO DAM, AT KENO, OR",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,11509500,42.1331995,-121.9622313,NAD83,"KLAMATH RIVER AT KENO, OR",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,11516580,42.0768006,-122.7044757,NAD83,"COTTONWOOD CREEK NEAR ASHLAND, OR",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,13173600,43.7309932,-117.0718258,NAD83,SNAKE RIVER NR ADRIAN OR,NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,13177900,42.5443235,-117.170696,NAD83,OWYHEE RIVER ABV NORTH FORK AT THREE FORKS OR,NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,13177920,42.5440457,-117.169307,NAD83,NORTH FORK OWYHEE RIVER AT THREE FORKS OR,NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,13180600,42.8640451,-117.6396007,NAD83,JORDAN CREEK NR ROME OR,NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,13184000,43.7776605,-117.0676601,NAD83,"OWYHEE RIVER AT OWYHEE, OREG.",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,13331500,45.6198669,-117.7265892,NAD83,"MINAM RIVER AT MINAM, OR",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,14076500,44.4987293,-121.3211558,NAD83,"DESCHUTES RIVER NEAR CULVER, OR",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,14087393,44.4726185,-121.297543,NAD83,"CROOKED RIVER AT CARCASS TRAIL NEAR CULVER, OR",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,14128910,45.6123396,-122.0275838,NAD83,"COLUMBIA RIVER AT WARRENDALE, OR",NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,14144800,43.6017887,-122.4575474,NAD83,"MIDDLE FORK WILLAMETTE RIVER NR OAKRIDGE, OR","MIDDLE FORK WILLAMETTE RIVER NR OAKRIDGE, OR",1.23E+12,1.23E+12,Middle Fork Willamette River,NA,NA,,
United State Geological Survey,USGS,14152500,43.6415102,-123.0859089,NAD83,"COAST FORK WILLAMETTE AT LONDON, OR","COAST FORK WILLAMETTE AT LONDON, OR",1.23E+12,1.23E+12,Coast Fork Willamette River,NA,NA,,
United State Geological Survey,USGS,14153500,43.7206779,-123.0497994,NAD83,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR","COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",1.23E+12,1.23E+12,Coast Fork Willamette River,NA,NA,,
United State Geological Survey,USGS,14154500,43.7359565,-122.8734019,NAD83,"ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR","ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR",1.23E+12,1.23E+12,Row River,NA,NA,,
United State Geological Survey,USGS,14159110,44.1663755,-122.2565336,NAD83,"MCKENZIE RIVER ABOVE SOUTH FORK, NEAR RAINBOW, OR","MCKENZIE RIVER ABOVE SOUTH FORK, NEAR RAINBOW, OR",1.23E+12,1.23E+12,McKenzie River,NA,NA,,
United State Geological Survey,USGS,14159200,44.047067,-122.2178245,NAD83,SO FK MCKENZIE RIVER ABV COUGAR LAKE NR RAINBOW OR,NA,NA,NA,NA,NA,NA,,
United State Geological Survey,USGS,14159500,44.1359582,-122.248391,NAD83,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR","SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",1.22E+12,1.22E+12,South Fork McKenzie River,NA,NA,,
United State Geological Survey,USGS,14161500,44.2095708,-122.256733,NAD83,"LOOKOUT CREEK NEAR BLUE RIVER, OR","LOOKOUT CREEK NEAR BLUE RIVER, OR",1.22E+12,1.22E+12,Lookout Creek,NA,NA,,
United State Geological Survey,USGS,14162200,44.1623482,-122.3331192,NAD83,"BLUE RIVER AT BLUE RIVER, OR","BLUE RIVER AT BLUE RIVER, OR",1.22E+12,1.22E+12,Blue River,NA,NA,,
United State Geological Survey,USGS,14162400,44.1281814,-122.3803393,NAD83,NA,"MCKENZIE RIVER AT FINN ROCK, OR",1.23E+12,1.23E+12,McKenzie River,NA,NA,,
United State Geological Survey,USGS,14162500,44.1248487,-122.47062,NAD83,"MCKENZIE RIVER NEAR VIDA, OR","MCKENZIE RIVER NEAR VIDA, OR",1.23E+12,1.23E+12,McKenzie River,NA,NA,,
United State Geological Survey,USGS,14163000,44.1456825,-122.5720152,NAD83,NA,"GATE CREEK AT VIDA,OREG.",1.23E+12,1.23E+12,Gate Creek,NA,NA,,
