STATION_KEY,QA_QC_TYPE,SAMPLE_DATE,NAME,ABBREVIATION,Result_clean,UNIT,SAMPLE_MATRIX,METHOD_REPORTING_LIMIT,LOCATION_DESCRIPTION
10355,Sample,10/6/2009,Mercury,NA,0.48,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,10/6/2009,Mercury,NA,0.57,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,10/6/2009,Mercury,NA,0.15,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,10/6/2009,Mercury,NA,0.26,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,10/6/2009,Mercury,NA,1.31,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,8/31/2010,Mercury,NA,0.07,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,8/31/2010,Mercury,NA,0.07,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,8/31/2010,Mercury,NA,0.54,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,8/31/2010,Mercury,NA,0.1,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,8/31/2010,Mercury,NA,0.31,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,8/31/2010,Mercury,NA,0.21,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,8/31/2010,Mercury,NA,0.1,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,8/31/2010,Mercury,NA,0.1,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,8/31/2010,Mercury,NA,0.5,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10359,Sample,10/6/2009,Mercury,NA,0.49,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 126 (Springfield)
10359,Sample,10/6/2009,Mercury,NA,0.52,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 126 (Springfield)
10359,Sample,10/6/2009,Mercury,NA,1.09,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 126 (Springfield)
10359,Sample,10/6/2009,Mercury,NA,1.05,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 126 (Springfield)
10359,Sample,10/6/2009,Mercury,NA,0.47,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 126 (Springfield)
10376,Sample,9/23/2008,Mercury,NA,0.89,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,9/23/2008,Mercury,NA,0.44,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,9/23/2008,Mercury,NA,0.46,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.32,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,1.19,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.39,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.54,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.11,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.13,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.08,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.1,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.29,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.32,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.29,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,10/12/2009,Mercury,NA,0.16,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,8/23/2010,Mercury,NA,0.26,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,8/23/2010,Mercury,NA,0.22,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,8/23/2010,Mercury,NA,0.22,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,8/23/2010,Mercury,NA,0.51,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,8/23/2010,Mercury,NA,0.89,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10376,Sample,8/23/2010,Mercury,NA,0.45,mg/Kg wet,"Fillet, no skin",0.03,McKenzie River at Coburg Road
10379,Sample,10/8/2009,Mercury,NA,0.47,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,10/8/2009,Mercury,NA,0.25,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,10/8/2009,Mercury,NA,0.27,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,10/8/2009,Mercury,NA,0.28,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,10/8/2009,Mercury,NA,0.27,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,10/8/2009,Mercury,NA,1.1,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,10/8/2009,Mercury,NA,0.56,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,10/8/2009,Mercury,NA,0.41,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,10/8/2009,Mercury,NA,0.32,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,10/8/2009,Mercury,NA,0.48,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.76,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.73,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.63,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample - Field Primary,8/25/2010,Mercury,NA,0.63,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.74,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.26,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.33,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.29,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample - Field Primary,8/25/2010,Mercury,NA,0.4,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.24,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.29,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.33,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.6,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.68,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,1.3,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.86,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.76,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample - Field Duplicate,8/25/2010,Mercury,NA,0.65,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample - Field Duplicate,8/25/2010,Mercury,NA,0.4,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.3,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10379,Sample,8/25/2010,Mercury,NA,0.31,mg/Kg wet,"Fillet, no skin",0.03,Coast Fork Willamette River at Hwy 58
10386,Sample,8/24/2010,Mercury,NA,0.16,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Jasper Bridge
10386,Sample,8/24/2010,Mercury,NA,0.78,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Jasper Bridge
10386,Sample,8/24/2010,Mercury,NA,0.53,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Jasper Bridge
10386,Sample,8/24/2010,Mercury,NA,0.32,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Jasper Bridge
10386,Sample - Field Primary,8/24/2010,Mercury,NA,0.42,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Jasper Bridge
10386,Sample - Field Duplicate,8/24/2010,Mercury,NA,0.4,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Jasper Bridge
10411,Sample,6/9/2009,Mercury,NA,0.12,mg/Kg wet,"Fillet, no skin",0.03,Deschutes River at Deschutes River Park
10411,Sample,6/9/2009,Mercury,NA,0.19,mg/Kg wet,"Fillet, no skin",0.03,Deschutes River at Deschutes River Park
10411,Sample,6/9/2009,Mercury,NA,0.1,mg/Kg wet,"Fillet, no skin",0.03,Deschutes River at Deschutes River Park
10411,Sample,6/9/2009,Mercury,NA,0.04,mg/Kg wet,"Fillet, no skin",0.03,Deschutes River at Deschutes River Park
10418,Sample,10/21/2010,Mercury,NA,0.34,mg/Kg wet,"Fillet, no skin",0.03,Rogue River at Robertson Bridge (Merlin)
10418,Sample,10/21/2010,Mercury,NA,0.41,mg/Kg wet,"Fillet, no skin",0.03,Rogue River at Robertson Bridge (Merlin)
10418,Sample,10/21/2010,Mercury,NA,0.39,mg/Kg wet,"Fillet, no skin",0.03,Rogue River at Robertson Bridge (Merlin)
10418,Sample,10/21/2010,Mercury,NA,0.54,mg/Kg wet,"Fillet, no skin",0.03,Rogue River at Robertson Bridge (Merlin)
10418,Sample,10/21/2010,Mercury,NA,0.52,mg/Kg wet,"Fillet, no skin",0.03,Rogue River at Robertson Bridge (Merlin)
10422,Sample,6/14/2010,Mercury,NA,0.49,mg/Kg wet,"Fillet, no skin",0.03,Rogue River upstream of Raygold Dam
10422,Sample,6/14/2010,Mercury,NA,0.53,mg/Kg wet,"Fillet, no skin",0.03,Rogue River upstream of Raygold Dam
10422,Sample,6/14/2010,Mercury,NA,0.4,mg/Kg wet,"Fillet, no skin",0.03,Rogue River upstream of Raygold Dam
10422,Sample,6/14/2010,Mercury,NA,0.62,mg/Kg wet,"Fillet, no skin",0.03,Rogue River upstream of Raygold Dam
10422,Sample,6/14/2010,Mercury,NA,0.57,mg/Kg wet,"Fillet, no skin",0.03,Rogue River upstream of Raygold Dam
10456,Sample,9/15/2008,Mercury,NA,0.5,mg/Kg wet,"Fillet, no skin",0.03,Tualatin River at Boones Ferry Road
10456,Sample,9/15/2008,Mercury,NA,0.44,mg/Kg wet,"Fillet, no skin",0.03,Tualatin River at Boones Ferry Road
10456,Sample,9/15/2008,Mercury,NA,0.36,mg/Kg wet,"Fillet, no skin",0.03,Tualatin River at Boones Ferry Road
10456,Sample,9/15/2008,Mercury,NA,0.54,mg/Kg wet,"Fillet, no skin",0.03,Tualatin River at Boones Ferry Road
10456,Sample,9/15/2008,Mercury,NA,0.42,mg/Kg wet,"Fillet, no skin",0.03,Tualatin River at Boones Ferry Road
10549,Sample,9/9/2008,Mercury,NA,0.18,mg/Kg wet,"Fillet, no skin",0.03,Multnomah Channel at St. Helens
10549,Sample,9/9/2008,Mercury,NA,0.19,mg/Kg wet,"Fillet, no skin",0.03,Multnomah Channel at St. Helens
10549,Sample,9/9/2008,Mercury,NA,0.32,mg/Kg wet,"Fillet, no skin",0.03,Multnomah Channel at St. Helens
10549,Sample,9/9/2008,Mercury,NA,0.18,mg/Kg wet,"Fillet, no skin",0.03,Multnomah Channel at St. Helens
10549,Sample,9/9/2008,Mercury,NA,0.27,mg/Kg wet,"Fillet, no skin",0.03,Multnomah Channel at St. Helens
10550,Sample,9/26/2009,Mercury,NA,0.12,mg/Kg wet,"Fillet, no skin",0.03,Multnomah Channel at Coon Island
10581,Sample,8/25/2009,Mercury,NA,0.45,mg/Kg wet,Whole body,0.03,Columbia River at John Day Dam
10581,Sample,8/25/2009,Mercury,NA,0.13,mg/Kg wet,Whole body,0.03,Columbia River at John Day Dam
10581,Sample,8/25/2009,Mercury,NA,0.16,mg/Kg wet,Whole body,0.03,Columbia River at John Day Dam
10648,Sample,8/27/2008,Mercury,NA,0.15,mg/Kg wet,"Fillet, no skin",0.03,Yamhill River at mouth
10648,Sample,8/27/2008,Mercury,NA,0.14,mg/Kg wet,"Fillet, no skin",0.03,Yamhill River at mouth
10648,Sample,9/10/2008,Mercury,NA,0.43,mg/Kg wet,"Fillet, no skin",0.03,Yamhill River at mouth
10648,Sample,9/10/2008,Mercury,NA,0.14,mg/Kg wet,"Fillet, no skin",0.03,Yamhill River at mouth
10648,Sample,9/10/2008,Mercury,NA,0.19,mg/Kg wet,"Fillet, no skin",0.03,Yamhill River at mouth
10648,Sample,9/10/2008,Mercury,NA,0.19,mg/Kg wet,"Fillet, no skin",0.03,Yamhill River at mouth
10648,Sample,9/10/2008,Mercury,NA,0.19,mg/Kg wet,"Fillet, no skin",0.03,Yamhill River at mouth
10774,Sample,10/7/2008,Mercury,NA,0.8,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at mouth
10774,Sample,10/7/2008,Mercury,NA,1.37,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at mouth
10774,Sample,10/7/2008,Mercury,NA,0.49,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at mouth
10774,Sample,10/7/2008,Mercury,NA,0.55,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at mouth
10774,Sample,10/7/2008,Mercury,NA,0.29,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at mouth
10775,Sample,8/30/2010,Mercury,NA,0.33,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at Jefferson Bridge
10775,Sample,8/30/2010,Mercury,NA,0.08,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at Jefferson Bridge
10775,Sample,8/30/2010,Mercury,NA,0.06,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at Jefferson Bridge
10775,Sample,8/30/2010,Mercury,NA,0.15,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at Jefferson Bridge
10775,Sample,8/30/2010,Mercury,NA,0.62,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at Jefferson Bridge
10775,Sample,8/30/2010,Mercury,NA,0.16,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at Jefferson Bridge
10775,Sample,8/30/2010,Mercury,NA,0.14,mg/Kg wet,"Fillet, no skin",0.03,Santiam River at Jefferson Bridge
10821,Sample,9/15/2010,Mercury,NA,0.09,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at St. John's Bridge
10821,Sample,9/15/2010,Mercury,NA,0.07,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at St. John's Bridge
10821,Sample,10/1/2010,Mercury,NA,0.07,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at St. John's Bridge
10821,Sample,10/1/2010,Mercury,NA,0.09,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at St. John's Bridge
10821,Sample,10/1/2010,Mercury,NA,0.09,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at St. John's Bridge
10821,Sample,10/1/2010,Mercury,NA,0.1,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at St. John's Bridge
10821,Sample,10/1/2010,Mercury,NA,0.11,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at St. John's Bridge
10833,Sample,9/9/2010,Mercury,NA,0.06,mg/Kg wet,"Fillet, no skin",0.03,Willamette River 0.5 miles downstream of Tualatin River
10833,Sample,9/9/2010,Mercury,NA,0.09,mg/Kg wet,"Fillet, no skin",0.03,Willamette River 0.5 miles downstream of Tualatin River
10833,Sample,9/9/2010,Mercury,NA,0.15,mg/Kg wet,"Fillet, no skin",0.03,Willamette River 0.5 miles downstream of Tualatin River
10833,Sample,9/9/2010,Mercury,NA,0.3,mg/Kg wet,"Fillet, no skin",0.03,Willamette River 0.5 miles downstream of Tualatin River
10833,Sample - Field Primary,9/9/2010,Mercury,NA,0.44,mg/Kg wet,"Fillet, no skin",0.03,Willamette River 0.5 miles downstream of Tualatin River
10833,Sample - Field Duplicate,9/9/2010,Mercury,NA,0.39,mg/Kg wet,"Fillet, no skin",0.03,Willamette River 0.5 miles downstream of Tualatin River
11233,Sample,10/9/2008,Mercury,NA,0.5,mg/Kg wet,"Fillet, no skin",0.03,Clackamas River at High Rocks (Old Hwy 213)
11233,Sample,10/28/2008,Mercury,NA,2.53,mg/Kg wet,"Fillet, no skin",0.03,Clackamas River at High Rocks (Old Hwy 213)
11826,Sample,6/8/2009,Mercury,NA,0.41,mg/Kg wet,"Fillet, no skin",0.03,John Day River at Philippi Park
11826,Sample,6/8/2009,Mercury,NA,0.46,mg/Kg wet,"Fillet, no skin",0.03,John Day River at Philippi Park
11826,Sample,6/8/2009,Mercury,NA,0.46,mg/Kg wet,"Fillet, no skin",0.03,John Day River at Philippi Park
11826,Sample,6/8/2009,Mercury,NA,0.36,mg/Kg wet,"Fillet, no skin",0.03,John Day River at Philippi Park
11826,Sample,6/8/2009,Mercury,NA,0.51,mg/Kg wet,"Fillet, no skin",0.03,John Day River at Philippi Park
11990,Sample,10/13/2009,Mercury,NA,0.76,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
11990,Sample,10/13/2009,Mercury,NA,0.42,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
11990,Sample,10/13/2009,Mercury,NA,0.33,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
11990,Sample,10/13/2009,Mercury,NA,0.63,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
11990,Sample,10/13/2009,Mercury,NA,0.46,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
11990,Sample,10/13/2009,Mercury,NA,0.42,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
11990,Sample,10/13/2009,Mercury,NA,0.13,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
11990,Sample,10/13/2009,Mercury,NA,0.13,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
11990,Sample,10/13/2009,Mercury,NA,0.15,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
11990,Sample,10/13/2009,Mercury,NA,0.1,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
11990,Sample,10/13/2009,Mercury,NA,0.08,mg/Kg wet,"Fillet, no skin",0.03,Middle Fork Willamette River at Clearwater Boat Ramp
12012,Sample,6/22/2009,Mercury,NA,0.35,mg/Kg wet,"Fillet, no skin",0.03,Hood River at footbridge downstream of I-84
12090,Sample,9/13/2010,Mercury,NA,0.11,mg/Kg wet,"Fillet, no skin",0.03,Umatilla River upstream of Three Mile Dam
12090,Sample,9/13/2010,Mercury,NA,0.07,mg/Kg wet,"Fillet, no skin",0.03,Umatilla River upstream of Three Mile Dam
12090,Sample,9/13/2010,Mercury,NA,0.14,mg/Kg wet,"Fillet, no skin",0.03,Umatilla River upstream of Three Mile Dam
12090,Sample,9/13/2010,Mercury,NA,0.11,mg/Kg wet,"Fillet, no skin",0.03,Umatilla River upstream of Three Mile Dam
12090,Sample,9/13/2010,Mercury,NA,0.08,mg/Kg wet,"Fillet, no skin",0.03,Umatilla River upstream of Three Mile Dam
12090,Sample,9/13/2010,Mercury,NA,0.06,mg/Kg wet,"Fillet, no skin",0.03,Umatilla River upstream of Three Mile Dam
12090,Sample,9/13/2010,Mercury,NA,0.11,mg/Kg wet,"Fillet, no skin",0.03,Umatilla River upstream of Three Mile Dam
12090,Sample,9/13/2010,Mercury,NA,0.07,mg/Kg wet,"Fillet, no skin",0.03,Umatilla River upstream of Three Mile Dam
12583,Sample,8/4/2004,Mercury,Total,0.332,mg/Kg wet,"Tissue, Fish",0.015,Canyon Creek 2.8 miles upstream of mouth (Road 42.100)
12583,Sample,8/4/2004,Mercury,Total,0.49,mg/Kg wet,"Tissue, Fish",0.015,Canyon Creek 2.8 miles upstream of mouth (Road 42.100)
12583,Sample,8/4/2004,Mercury,Total,0.66,mg/Kg wet,"Tissue, Fish",0.015,Canyon Creek 2.8 miles upstream of mouth (Road 42.100)
13767,Sample,7/15/2011,Mercury,NA,0.33,mg/Kg wet,Whole body,0.03,East Lake at deepest point
13844,Sample,6/29/2011,Mercury,NA,0.04,mg/Kg wet,Whole body,0.03,Paulina Lake at deepest point
13844,Sample,6/29/2011,Mercury,NA,0.02,mg/Kg wet,"Fillet, no skin",0.01,Paulina Lake at deepest point
13844,Sample,6/29/2011,Mercury,NA,0.01,mg/Kg wet,"Fillet, no skin",0.01,Paulina Lake at deepest point
13844,Sample,6/29/2011,Mercury,NA,0.01,mg/Kg wet,"Fillet, no skin",0.01,Paulina Lake at deepest point
13844,Sample,6/29/2011,Mercury,NA,0.13,mg/Kg wet,"Fillet, no skin",0.03,Paulina Lake at deepest point
