OBJECTID,STATION,DESCRIPTION,DEC_LAT,DEC_LONG,RIVER_MILE,LLID,RIVER_MILE_LAKE,LAKE_LLID,LAKE_NAME,GIS_Source_LAKE,GIS_STREAMNAME,GIS_Source,EPA_BEACH_ID,BEACH_NAME
38,30383,Big Boulder Creek,44.716569999999997,-118.703760000000000,3.800000000000000,1187161446660,0.000000000000000,,,,Big Boulder Creek,,,
39,25768,Floras Lake at wetland,42.890300000000003,-124.499790000000000,2.150000000000000,1244974429131,0.000000000000000,1245047428942,Floras Lake,StreamNet,Boulder Creek,100K,,
40,34828,North Tenmile Lake Big Creek Arm (Tenmile Lake Basin Project Site N11),43.592599999999997,-124.114600000000000,0.000000000000000,,0.000000000000000,1241456435885,North Tenmile Lake,StreamNet,Big Creek,100K,,
41,30414,Bologna Creek,44.844700000000003,-119.590999999999990,4.400000000000000,1196472448034,0.000000000000000,,,,East Bologna Canyon,,,
42,29226,Cow Creek upstream of West Fork Cow Creek and Middle Creek,42.810338999999999,-123.592656000000010,26.699999999999999,1233379429474,0.000000000000000,,,,Cow Creek,,,
43,12584,Sharps Creek at Walker Creek mouth bridge,43.601806000000003,-122.760306000000000,9.300000000000001,1228381436955,0.000000000000000,,,,Sharps Creek,,,
44,23796,Columbia River at Marker 59 (river right) (upstream of from Sandy Island),45.971183000000003,-122.825216999999990,75.400000000000006,1240483462464,0.000000000000000,,,,Columbia River,,,
45,34444,Powder River downstream of Hwy 7,44.710780000000000,-118.161640000000010,142.590000000000000,1170508447455,0.000000000000000,,,,Powder River,100K,,
46,31954,Smuggler Cove at mouth of Necarney CR,45.758960000000002,-123.964280000000000,41.100000000000001,1240637462558,0.000000000000000,,,,,100K,OR770138,Short Sand Beach
47,29747,"Willamette River at Waverly Country Club, City of Portland site",45.453640000000000,-122.660360000000000,17.399999999999999,1227618456580,0.000000000000000,,,,Willamette River,,,
48,13368,Nehalem River at River Mile 15.0,45.722332999999999,-123.771417000000000,16.699999999999999,1238951456889,0.000000000000000,,,,Nehalem River,,,
50,33926,"Soap Creek at Tampico Road (Luckiamute, Willamette)",44.690500000000000,-123.246000000000000,10.070000000000000,1231630447305,0.000000000000000,,,,Soap Creek,100K,,
51,32404,Ochoco Creek downstream of Ochoco Dam,44.299090000000000,-120.728150000000000,20.629999999999999,1208956443865,0.000000000000000,,,,Ochoco Main Canal,100K,,
52,12799,Oldham Creek at Elkhorn Road Bridge,43.449638999999998,-123.230222000000000,1.300000000000000,1232503434466,0.000000000000000,,,,Oldham Creek,,,
53,21876,Cold Springs Creek upstream of Bluegrass Ridge Trail crossing,45.404978000000000,-121.593219000000000,1.100000000000000,1215703454047,0.000000000000000,,,,Cold Spring Creek,,,
54,33137,Squeedunk Slough at Geinger Farm (Kilchis),45.487893000000000,-123.868635000000000,1.610000000000000,1238970454941,0.000000000000000,,,,Squeedunk Slough,100K,,
56,35129,Bear Creek d/s of Reservoir (Coyote Creek/Long Tom),43.898980000000002,-123.288130000000000,1.560000000000000,1232676439132,0.000000000000000,,,,Bear Creek,100K,,
57,24481,John Day River at River Mile 204.4,44.527777999999998,-119.631944000000000,201.199999999999990,1206499457318,0.000000000000000,,,,John Day River,,,
58,12848,Fawcett Creek at Hwy 101,45.390000000000001,-123.801610999999990,0.100000000000000,1238038453899,0.000000000000000,,,,Fawcett Creek,,,
59,32069,"North Fork Deep Creek at Springwater trail, Boring, between 2nd and 3rd electric tower from trailhead (Deep Creek, Clackamas)",45.425190000000001,-122.383660000000010,2.780000000000000,1224107453935,0.000000000000000,,,,North Fork Deep Creek,100K,,
60,31820,Barview County Park Beach 200 meters north of jetty,45.575769999999999,-123.955490000000000,54.810000000000002,1240637462558,0.000000000000000,,,,Pacific Ocean,100K,OR775236,Barview County Park Beach
61,25583,Clatskanie River 0.1 miles upstream of Wallace Slough,46.137470000000000,-123.228590000000000,0.100000000000000,1232215461207,0.000000000000000,,,,Clatskanie River,,,
63,30681,Mill Creek 0.8 miles above Hwy 18 (South Yamhill),45.069440000000000,-123.435560000000000,1.800000000000000,1234447450906,0.000000000000000,,,,Mill Creek,,,
64,29948,Lick Creek,42.498553999999999,-122.603260000000010,5.900000000000000,1226975424638,0.000000000000000,,,,Lick Creek,,,
65,30680,Deer Creek below Dupee Creek (South Yamhill),45.123609999999999,-123.368889999999990,8.900000000000000,1232578451336,0.000000000000000,,,,Deer Creek,,,
66,21815,Drainage ditch 200 feet upstream of Ritchie Road (Gales Creek tributary),45.518794000000000,-123.128719000000000,3.700000000000000,1231025454915,0.000000000000000,,,,Gales Creek,,,
69,32152,Panther Creek near mouth,43.304200000000002,-122.678000000000000,0.050000000000000,1226771433046,0.000000000000000,,,,Limpy Creek,100K,,
70,11580,Spring Creek downstream of pastures (Eggleson Rd.),45.394832999999998,-117.285444000000000,2.600000000000000,1173098454242,0.000000000000000,,,,Spring Creek,,,
72,22311,Skipanon River 1500 feet downstream of Pacific Surimi,46.176110999999999,-123.909722000000000,1.100000000000000,1239022461912,0.000000000000000,,,,Skipanon Waterway,,,
74,23831,"Johnson Creek at River Mile 0.88 (Coquille, South Fork)",42.755476999999999,-124.077850000000000,0.700000000000000,1240685427618,0.000000000000000,,,,Johnson Creek,,,
75,10996,Calapooya Creek at Umpqua,43.366360999999998,-123.459528000000010,0.500000000000000,1234686433656,0.000000000000000,,,,Calapooya Creek,,,
76,13652,Del Ray Beach at approach,46.048611000000001,-123.931111000000000,16.260000000000002,1240637462558,0.000000000000000,,,,Pacific Ocean,,,
77,25700,North Umpqua River below Soda Springs Dam,43.303289999999997,-122.495080000000000,68.900000000000006,1234460432681,0.000000000000000,,,,North Umpqua River,,,
78,32536,Prineville Reservoir at State Park beach,44.128090000000000,-120.723519999999990,75.810000000000002,1212676445778,0.000000000000000,1207086441302,Prineville Reservoir,StreamNet,Crooked River,100K,,
79,13403,Coquille Bay at Old Moore Mill Site,43.123610999999997,-124.408610999999990,0.900000000000000,1244273431235,0.000000000000000,,,,Coquille River,,,
80,33223,A-Irrigation drain,44.039499999999997,-116.995200000000000,0.570000000000000,1169932440464,0.000000000000000,,,,Dork Canal,100K,,
81,12616,Powder River 40 feet upstream of South Baker City STP outfall,44.816718999999999,-117.828278000000000,111.500000000000000,1170508447455,0.000000000000000,,,,Powder River,,,
82,31600,Tillamook Bay east side of Miami Cove,45.559623000000002,-123.897037000000000,1.640000000000000,1239230455475,0.000000000000000,,,,Miami River,100K,,
83,28494,"Deer Cr., So. Fk., at mouth (So. Umpqua, Umpqua)",43.201920000000001,-123.241829999999990,6.690000000000000,1232420432017,0.000000000000000,,,,North Fork Deer Creek,100K,,
84,33523,Abernathy Creek,45.362591999999999,-122.592613000000000,0.750000000000000,1226038453652,0.000000000000000,,,,Abernethy Creek,,,
85,20737,Tillamook Bay OR2078,45.480556000000000,-123.900555999999990,6.100000000000000,1239378455599,0.000000000000000,,,,Tillamook Bay,,,
86,34041,Panther Creek downstream of Westside Road bridge (North Yamhill),45.253799999999998,-123.201300000000000,2.050000000000000,1231806452443,0.000000000000000,,,,Panther Creek,100K,,
87,10827,Willamette River at Willamette Park,45.473193999999999,-122.665778000000000,16.000000000000000,1227618456580,0.000000000000000,,,,Willamette River,,,
88,34090,Zig Zag River above mouth of Little Zig Zag River,45.314839999999997,-121.812470000000000,8.320000000000000,1219454453487,0.000000000000000,,,,Zigzag River,100K,,
89,31485,Cast Creek,45.376210000000000,-121.850010000000000,0.840000000000000,1218664453787,0.000000000000000,,,,Cast Creek,,,
90,18750,"Eliot Branch Middle Fork Hood River, downstream of Mfid Diversion",45.455444000000000,-121.638778000000000,0.800000000000000,1216377454532,0.000000000000000,,,,Elliot Branch,24K,,
91,28829,Tributary to Lenz Creek from south downstream of Lingren Road,45.628030000000003,-121.533970000000000,1.820000000000000,1215146456436,0.000000000000000,,,,Lenz Creek,DEQ,,
92,29327,Alsea River Recreation Area Beach-east,44.434699999999999,-124.061800000000010,1.200000000000000,1240782444222,0.000000000000000,,,,Alsea River,,OR515788,Alsea River Recreation Area Beach
93,10443,South Umpqua at Hwy 42 (Winston),43.133889000000003,-123.397944000000000,20.800000000000001,1234460432680,0.000000000000000,,,,South Umpqua River,,,
94,26622,"Lost Creek at Rogers Road culvert (Willamette, Middle Fork Willamette)",43.911667000000001,-122.823888999999990,3.300000000000000,1228482439494,0.000000000000000,,,,Lost Creek,,,
95,33188,Willow Creek at Hwy 26 Indian Gulch Bridge,44.377299999999998,-117.763300000000000,45.729999999999997,1172554440234,0.000000000000000,,,,Willow Creek,100K,,
97,29227,Cow Creek at Brandt Bridge (below Dads Creek; near road RR crossing),42.771574999999999,-123.549938999999990,31.300000000000001,1233379429474,0.000000000000000,,,,Cow Creek,,,
98,33741,Willow Creek,44.373989000000002,-117.808235000000000,48.250000000000000,1172554440234,0.000000000000000,,,,Willow Creek,,,
99,29662,"North Santiam River at Straight Creek Road (FSR 11), River Mile 75.12",44.582380000000001,-121.982870000000010,75.299999999999997,1230064446868,0.000000000000000,,,,North Santiam River,,,
101,13369,Umpqua River at Marker #12 (Double Cove Point),43.713611000000000,-124.153056000000010,4.000000000000000,1242038436694,0.000000000000000,,,,Umpqua River,,,
102,25285,Eagle Creek,43.685955999999997,-122.194515000000000,0.040000000000000,1221951436858,0.000000000000000,,,,Eagle Creek,,,
103,31534,Cottonwood Creek downstream of Little Indian Creek,42.006368000000002,-117.989420000000000,0.850000000000000,1179315420016,0.000000000000000,,,,Cottonwood Creek,,,
104,10727,Malheur River at Owyhee Road Bridge (Hope),43.939472000000002,-117.363972000000000,32.500000000000000,1169731440585,0.000000000000000,,,,Malheur River,,,
105,13383,Coos Bay at Coast Guard Dock (Old Yacht Club),43.388888999999999,-124.217778000000000,11.699999999999999,1243397433543,0.000000000000000,,,,Coos Bay,,,
106,25620,Amazon Creek at South Pacific RR Bridge,44.058369999999996,-123.190259999999990,13.699999999999999,1232651442279,0.000000000000000,,,,Amazon Creek,,,
107,23897,North Umpqua upstream of Copeland Creek,43.292070000000002,-122.545240000000010,65.799999999999997,1234460432681,0.000000000000000,,,,North Umpqua River,,,
108,16274,Waldport Landfill SS-2 Stream at base of fill,44.399600000000000,-124.071200000000000,0.450000000000000,1240772443951,0.000000000000000,,,,,DEQ,,
109,10408,Malheur River at Halliday Road (Vale),44.000222000000001,-117.141361000000000,13.600000000000000,1169731440585,0.000000000000000,,,,Malheur River,,,
110,33809,"Malheur River at River Mile 62.6, downstream of Namorf",43.786720000000003,-117.717450000000000,63.450000000000003,1169731440585,0.000000000000000,,,,Malheur River,,,
111,25651,"Umpqua River at River Mile 8.5, east shore near sawmill",43.738132999999998,-124.117411000000000,8.600000000000000,1242038436694,0.000000000000000,,,,Umpqua River,,,
112,13603,Coos Bay at Range Marker east of Hwy 101,43.431389000000003,-124.218611000000000,8.900000000000000,1243397433543,0.000000000000000,,,,Coos Bay,,,
113,13302,Tillamook Bay at N end of Dick Point Dike,45.491388999999998,-123.902778000000000,5.300000000000000,1239378455599,0.000000000000000,,,,Tillamook Bay,,,
115,31602,"Umpqua River at River Mile 6.6, north of The Point",43.743510000000001,-124.144748000000010,6.440000000000000,1242038436694,0.000000000000000,,,,Umpqua River,100K,,
116,30766,"Bastendorf Creek, in creek",43.344499999999996,-124.349100000000010,234.139999999999990,1240637462558,0.000000000000000,,,,,,OR244981,Bastendorff Beach
118,13600,Pony Slough at mouth,43.423693999999998,-124.235889000000000,0.200000000000000,1242380434268,0.000000000000000,,,,Pony Slough,,,
120,28493,Middle Fork of South Fork Deer Creek (South Umpqua) RM 0.3,43.173110000000001,-123.212670000000000,0.270000000000000,1232179431737,0.000000000000000,,,,Middle Fk South Fk Deer Creek,100K,,
121,30700,Schooner Creek at Anderson Creek Road (River Mile 2.9) (Siletz Bay),44.936199999999999,-123.974900000000010,3.000000000000000,1240202449262,0.000000000000000,,,,Schooner Creek,,,
122,13067,Burnt River 100 feet downstream of Huntington STP outfall,44.356417000000000,-117.255667000000000,1.700000000000000,1172299443641,0.000000000000000,,,,Burnt River,,,
124,14268,SS-2 Stream downstream from Beaverhill Landfill,43.210278000000002,-124.316389000000000,5.900000000000000,1243492431680,0.000000000000000,,,,Sevenmile Creek,100K,,
125,15009,Ss-4 Shana Creek downstream of Joeney Landfill south of Ss-1,43.316667000000002,-124.292222000000000,0.900000000000000,1243114433162,0.000000000000000,,,,Day Creek,,,
126,15013,Shana Creek SS-5 upstream of Joe Ney Landfill south of SS-2,43.319167000000000,-124.295833000000000,1.300000000000000,1243072433403,0.000000000000000,,,,Storey Creek,,,
127,24404,"Oakland WWTP, 100-200 feet downstream from outfall",43.421078000000001,-123.308108000000000,14.000000000000000,1234686433656,0.000000000000000,,,,Calapooya Creek,,,
128,26127,Arch Cape CR mid-channel at STP outfall,45.803649999999998,-123.954306000000000,0.600000000000000,1239669458034,0.000000000000000,,,,Arch Cape Creek,,,
129,26379,Arch Cape CR 50 feet US of Arch Cape STP outfall,45.804369999999999,-123.954820000000000,0.600000000000000,1239669458034,0.000000000000000,,,,Arch Cape Creek,,,
130,26381,Arch Cape CR 50 feet DS of Arch Cape STP outfall (edge of mixing zone),45.803570000000001,-123.955260000000000,0.600000000000000,1239669458034,0.000000000000000,,,,Arch Cape Creek,,,
131,26382,Arch Cape CR 100 feet DS of Arch Cape STP outfall,45.803179999999998,-123.955100000000000,0.600000000000000,1239669458034,0.000000000000000,,,,Arch Cape Creek,,,
132,28818,Blue Lake (Multnomah Co) Fishing Dock,45.553890000000003,-122.447350000000000,0.510000000000000,1224573455551,0.000000000000000,1224450455535,Blue Lake,StreamNet,Arata Creek,100K,,
133,28996,Squaw Creek at mouth upstream of Deschutes River,44.460264000000002,-121.335156000000000,121.500000000000000,1209151456389,0.000000000000000,,,,Deschutes River,,,
134,31551,"Harris Beach, 150 feet north of mid creek",42.063749999999999,-124.305370000000000,349.120000000000000,1240637462558,0.000000000000000,,,,Pacific Ocean,,OR270205,Harris Beach State Park
135,31949,Short Sand CR at foot BR NE of N parking area,45.762200000000000,-123.956400000000000,0.470000000000000,1239654457594,0.000000000000000,,,,Short Sand Creek,100K,,
136,31964,Small CR N of S parking and just E of #9 sample,45.760150000000003,-123.962350000000000,0.130000000000000,1239654457594,0.000000000000000,,,,Short Sand Creek,100K,,
137,23175,Woodburn Landfill SC-1,45.166944000000001,-122.875277999999990,9.080000000000000,1227703452219,0.000000000000000,,,,Senecal Creek,100K,,
138,23248,Beaver Hill Landfill SS-2a,43.204200000000000,-124.321900000000000,1.550000000000000,1243481432058,0.000000000000000,,,,Unnamed Stream,100K,,
139,28393,Hayward Landfill SS-Up,42.750419999999998,-123.410320000000000,0.900000000000000,1234189427400,0.000000000000000,,,,Windy Creek,100K,,
140,28394,Hayward Landfill SS-Down,42.747019999999999,-123.412899999999990,0.630000000000000,1234189427400,0.000000000000000,,,,Windy Creek,100K,,
141,10743,Chewaucan River at Paisley,42.696083000000002,-120.545028000000000,34.899999999999999,1202308426483,0.000000000000000,,,,Chewaucan River,,,
142,29312,"Harris Beach State Park day use area, North Cove at Harris Creek",42.069240000000001,-124.314940000000010,348.350000000000020,1240637462558,0.000000000000000,,,,Pacific Ocean,,OR270205,Harris Beach State Park
145,34862,"Hillsboro JWC PWS Intake, Tualatin River Channel",45.492500000000000,-123.093180000000000,56.320000000000000,1226500453377,0.000000000000000,,,,Tualatin River,100K,,
147,29761,Cullaby Lake at center of N basin,46.094999999999999,-123.903300000000000,0.050000000000000,1239077460945,0.000000000000000,1239008460801,Cullaby Lake,StreamNet,Cullaby Lake,100K,,
148,34175,Hood River downstream pf Powerdale Dam (Columbia),45.666100000000000,-121.521100000000000,4.370000000000000,1215067457204,0.000000000000000,,,,Hood River,100K,,
149,33488,Claggett Creek,44.990408000000002,-123.014832000000000,3.180000000000000,1230310450293,0.000000000000000,,,,Claggett Creek,,,
150,26890,Olive Creek,44.779409999999999,-118.452380000000010,0.200000000000000,1184569447796,0.000000000000000,,,,Olive Creek,,,
151,30732,Lake Karen SW shore (man-made lake),46.024735000000000,-123.908593000000000,0.000000000000000,,0.000000000000000,1239066460263,Unnamed,PNW_Waterbody,,N/A,,
152,10812,Skipanon River at Hwy 101,46.148972000000001,-123.924361000000000,1.700000000000000,1239211461664,0.000000000000000,,,,Skipanon River,,,
153,25585,Little Butte Creek at Hwy 62,42.462440000000001,-122.813869999999990,4.000000000000000,1228754424514,0.000000000000000,,,,Little Butte Creek,,,
154,12263,North Fork Owyhee River at 3-Forks Bridge,42.543944000000003,-117.156389000000000,0.700000000000000,1171698425442,0.000000000000000,,,,North Fork Owyhee River,,,
155,22960,"Diamond-Parkdale Plant, outfall at plant",45.521693999999997,-121.595249999999990,0.900000000000000,1216095455309,0.000000000000000,,,,Diamond-Parkdale Plant Outfall,,,
156,34075,Clear Fork below 1828 Road Bridge,45.391730000000003,-121.859889999999990,0.230000000000000,1218641453907,0.000000000000000,,,,Clear Fork,100K,,
157,35595,Rogers Creek below Warm Springs Hatchery (MF Hood),45.525199999999998,-121.621190000000000,0.290000000000000,1216213455286,0.000000000000000,,,,Unnamed Stream,24K,,
158,32770,Mill Creek tributary upstream of Settlemier Park (Boone's Ferry Road),45.139189999999999,-122.862730000000000,0.470000000000000,1228535451394,0.000000000000000,,,,Unnamed Stream,100K,,
159,21824,School Hollow Creek at River Mile 1.64,43.055081000000001,-123.177400000000010,1.600000000000000,1231837430369,0.000000000000000,,,,School Hollow,,,
161,24480,Middle Fork John Day River at mouth,44.914999999999999,-119.300833000000000,0.100000000000000,1193015449167,0.000000000000000,,,,Middle Fork John Day River,,,
162,25167,Little Deschutes River at Crosswater Bridge,43.851081000000001,-121.441533000000010,0.600000000000000,1214536438546,0.000000000000000,,,,Little Deschutes River,,,
163,20722,Tillamook Bay,45.511111000000000,-123.921389000000000,3.600000000000000,1239378455599,0.000000000000000,,,,Tillamook Bay,,,
164,13050,Cow Creek 100 feet upstream of Glendale STP outfall,42.738943999999996,-123.430611000000000,40.000000000000000,1233379429474,0.000000000000000,,,,Cow Creek,,,
166,28468,Springbrook Creek upstream of Wilsonville Road,45.290280000000003,-122.941670000000000,3.400000000000000,1229212452679,0.000000000000000,,,,Spring Brook,,,
169,25812,East Fork Illinois River,42.161472000000003,-123.659111000000000,0.100000000000000,1236586421598,0.000000000000000,,,,East Fork Illinois River,,,
170,26814,Tryon Creek,45.431854000000001,-122.671679000000000,1.100000000000000,1226557454227,0.000000000000000,,,,Tryon Creek,,,
171,26645,"Antelope Creek at Hwy 62 (Little Butte, Rogue)",42.452119000000003,-122.821419000000010,0.800000000000000,1228315424592,0.000000000000000,,,,Antelope Creek,,,
172,24338,"North Santiam River at River Drive, irrigation access ramp in Norpac field",44.770699999999998,-122.827800000000000,13.100000000000000,1230064446868,0.000000000000000,,,,North Santiam River,,,
173,10535,Pistol River upstream of Hwy 101,42.277056000000002,-124.352306000000000,3.400000000000000,1243982422746,0.000000000000000,,,,Pistol River,,,
174,24054,"Summer Creek at River Mile 1.6 (Lookingglass, Grande Ronde)",45.788480000000000,-117.981420000000000,1.700000000000000,1179828457664,0.000000000000000,,,,Summer Creek,,,
175,23292,Cook Creek at mouth (Nehalem),45.701535999999997,-123.750864000000010,0.100000000000000,1237529457011,0.000000000000000,,,,Cook Creek,,,
176,33620,Willamette River at Molalla River confluence,45.297800000000002,-122.715400000000000,35.439999999999998,1227618456580,0.000000000000000,,,,Willamette River,100K,,
178,13700,Umpqua River at Jerden Cove,43.696944000000002,-124.160833000000000,2.900000000000000,1242038436694,0.000000000000000,,,,Umpqua River,,,
179,13305,Tillamook Bay at Southwest Bay,45.516111000000002,-123.929722000000000,3.000000000000000,1239378455599,0.000000000000000,,,,Tillamook Bay,,,
180,23092,"Bear Creek at River Mile 0.2 (Sucker, East Fork Illinois)",42.156222000000000,-123.532972000000000,0.100000000000000,1235318421540,0.000000000000000,,,,Bear Creek,,,
181,10649,North Yamhill River upstream of Yamhill,45.336694000000001,-123.205583000000000,15.000000000000000,1231445452259,0.000000000000000,,,,North Yamhill River,,,
182,28731,Johnson Creek at SE Circle Avenue,45.486350000000002,-122.487970000000000,11.400000000000000,1226465454422,0.000000000000000,,,,Johnson Creek,,,
183,11585,Wallowa River downstream of Rock Creek,45.607610999999999,-117.597889000000000,18.600000000000001,1177853457255,0.000000000000000,,,,Wallowa River,,,
184,31387,Elk Lake Creek lower,44.889870000000002,-122.008450000000000,0.500000000000000,1220057448954,0.000000000000000,,,,Elk Lake Creek,,,
185,25814,Sucker Creek,42.147778000000002,-123.541389000000000,5.300000000000000,1236144421299,0.000000000000000,,,,Sucker Creek,,,
186,25173,Elk Creek below Yoncalla Creek,43.637830000000001,-123.298270000000000,25.399999999999999,1235674436327,0.000000000000000,,,,Elk Creek,,,
187,20716,Tillamook Bay,45.538055999999997,-123.905556000000000,1.900000000000000,1239378455599,0.000000000000000,,,,Tillamook Bay,,,
188,14218,Hutton Spring  -  Alkali Lake Hazardous Waste Site,42.988889000000000,-120.052499999999990,0.460000000000000,1200448429856,0.000000000000000,1200313429768,Alkali Lake,StreamNet,Unnamed Stream,24K,,
189,32100,Umatilla River 300 feet downstream of Butter Creek confluence,45.794980000000002,-119.332030000000000,15.029999999999999,1193384459144,0.000000000000000,,,,Umatilla River,100K,,
190,30342,Loowit Creek,46.025959999999998,-123.842100000000000,1.000000000000000,1238515460388,0.000000000000000,,,,Loowit Creek,,,
191,30746,Mill Creek at River Mile 4.0 (Mohawk) ORWI98-0344,44.190863999999998,-122.765710000000000,3.900000000000000,1228397441900,0.000000000000000,,,,Mill Creek,,,
192,30726,"South Umpqua River near Tri Cities, OR",42.993099999999998,-123.332300000000000,42.100000000000001,1234460432680,0.000000000000000,,,,South Umpqua River,,,
193,13248,Willamette River at Meldrum Bar Boat Ramp,45.377222000000003,-122.616944000000000,24.100000000000001,1227618456580,0.000000000000000,,,,Willamette River,,,
194,11201,Columbia Slough at Landfill Road,45.610500000000002,-122.753056000000000,3.000000000000000,1227713456445,0.000000000000000,,,,Columbia Slough #1,,,
