"StationUse_RecordID","STATION","DESCRIPTION","DEC_LAT","DEC_LONG","RIVER_MILE","STREAM_LLID","RIVER_MILE_LAKE","LAKE_LLID","LAKE_NAME","GIS_Source_LAKE","USE_OtherParms","USE_Final","GIS_Source","HUC_3rd_Field","Bio_Macro_Data","CASCADE_LAKES","MARINE_WATERS","STRATIFIED_Natural_Lake","ESTUARY","LAKE","MARINE_COASTAL_REC","Enterro_Data","DHS_Station_Type","DHS_Station_Type_Num","EPA_BEACH_ID","BEACH_NAME","ELEVATION_FT","WRD_Basin","Comments","Reviewed_Permit_Writers","RIVER_MILE_2004","LLID_2004","USE_Bacteria","Salinity_Max","Conductivity_Max","PondResSmall","Stream_Name","MATRIX","TRIBAL","AGENCY","AGENCY_ID","UsabilityComments"
NA,"35250","Columbia River at Snake River Confluence","46.194433","-119.043889","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35235","Columbia River at Kennewick-Wade Island","46.235222","-119.193752","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35247","Columbia River at Rufus Wood","48.115615","-119.216212","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35246","Columbia River at Johnson Island","46.369823","-119.265361","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35242","Columbia River at Savage Island","46.557892","-119.3214","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35236","Columbia River at Bridgeport","48.016566","-119.679877","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35238","Columbia River at East Vernita Bridge","46.646822","-119.681703","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35234","Columbia River at Vernita Bridge","46.637915","-119.744054","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35237","Columbia River at Chelan","47.904925","-119.911184","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35241","Columbia River at Beverly","46.841179","-119.94845","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35245","Columbia River at Babcock Bench","47.127049","-120.004019","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35249","Columbia River at Cresent Bar","47.22414","-120.056181","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35251","Columbia River at Goose Fall","47.772996","-120.144713","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35248","Columbia River at Wenatchee Pumpstation","47.374159","-120.191708","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35240","Columbia River at Daroga","47.746484","-120.21002","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35244","Columbia River at Rock Island (Wenatchee)","47.379405","-120.234079","0",NA,NA,NA,NA,NA,NA,0,NA,"Upper Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31306","OR03-0053, 3.9 nautical miles northwest of Siletz Bay","44.91513","-124.1072","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31319","OR03-0060, 7.7 nautical miles northwest of Cannon Beach","45.91006","-124.1489","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31310","OR03-0055, 6.9 nautical miles southwest of Siletz Bay","44.88305","-124.179","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31313","OR03-0057, 4.2 nautical miles northwest of Heceta Head","44.18813","-124.1988","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31320","OR03-0061, 6.1 nautical miles northwest of Heceta Head","44.15603","-124.2697","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31312","OR03-0056, 8.2 nautical miles southwest of Siuslaw River mouth","43.92451","-124.276","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31308","OR03-0054, 9.6 nautical miles southwest of Heceta Head","44.09081","-124.3414","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31303","11.3 nautical miles northwest of Cape Perpetua OR03-0051","44.32282","-124.3704","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31318","OR03-0059, 10.5 nautical miles north-northwest of Coos Bay mouth","43.52912","-124.3905","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31314","OR03-0058, 14.1 nautical miles west of Yaquina River mouth","44.62107","-124.398","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31323","22 nautical miles west of Yaquina River mouth","44.556971","-124.575715","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31322","19 nautical miles west of Yachats River mouth","44.325342","-124.580897","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31300","OR03-0062, 9.2 nautical miles northwest of Cape Blanco","42.9697","-124.6105","0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31317","OR03-0063, 4.6 nautical miles southwest of Cape Blanco","42.77143","-124.6147","281.415","1240637462558",NA,NA,NA,NA,NA,1,"NHD Medium & digitized from various sources","Southern Oregon Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Ocean","SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"35239","Columbia River at Port Kelley","46.014435","-118.968916","303.89","1240483462464",NA,NA,NA,NA,NA,0,"StreamNet 100K","Middle Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Columbia River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31720","Canyon Creek 3.8 miles upstream of mouth","44.3603","-120.368","3.721","1204204443957",NA,NA,NA,NA,NA,1,"StreamNet 100K","Deschutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canyon Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"12583","Canyon Creek 2.8 miles upstream of mouth (Road 42.100)","44.368778","-120.380778","2.877","1204204443957",NA,"<Null>",NA,NA,NA,1,"StreamNet 100K","Deschutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canyon Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31721","Canyon Creek 1.7 miles upstream of mouth","44.3764","-120.4","1.781","1204204443957",NA,NA,NA,NA,NA,1,"StreamNet 100K","Deschutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canyon Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"10581","Columbia River at John Day Dam","45.711694","-120.690028","212.59","1240483462464",NA,"1207453456993","Lake Celilo","StreamNet 100K",NA,1,"StreamNet 100K","Middle Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Columbia River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"31722","Ochoco Creek 1.6 miles upstream of Canyon Creek Junction","44.300361","-120.751917","8.971","1208917443218",NA,NA,NA,NA,NA,1,"StreamNet 100K","Deschutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ochoco Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"36030","Deschutes River at Shears Falls Fish Ladder","45.256985","-121.039567","44.172","1209151456389",NA,NA,NA,NA,NA,1,"Modified Streamnet 100K","Deschutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deschutes River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"36037","Klickitat R WA at RM 0.4","45.7005","-121.28709","176.356","1240483462464",NA,NA,NA,NA,NA,0,"StreamNet 100K","Middle Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Columbia River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32737","Fish Lake, rainbow trout, station 8","42.3928","-122.3152","17.516","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32736","Fish Lake, rainbow trout, station 7","42.3927","-122.3156","17.502","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32734","Fish Lake, rainbow trout, station 5","42.3921","-122.3167","17.472","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32733","Fish Lake, rainbow trout, station 4","42.3926","-122.3173","17.429","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32730","Fish Lake, rainbow trout, station 1","42.3927","-122.3174","17.421","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32731","Fish Lake, rainbow trout, station 2","42.3926","-122.3174","17.424","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32732","Fish Lake, rainbow trout, station 3","42.3926","-122.3174","17.424","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32735","Fish Lake, rainbow trout, station 6","42.3924","-122.3331","16.836","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32692","Howard Prairie Reservoir, rainbow trout, station 1","42.2159","-122.3776","3.091","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32688","Howard Prairie Reservoir, small mouth bass, station 7","42.2155","-122.3779","3.102","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32687","Howard Prairie Reservoir, small mouth bass, station 6","42.2258","-122.3916","0.408","1224003422276",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoxie Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32682","Howard Prairie Reservoir, small mouth bass, station 1","42.2273","-122.394","0.31","1224003422276",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoxie Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32684","Howard Prairie Reservoir, small mouth bass, station 3","42.2293","-122.3944","0.32","1224003422276",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoxie Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32686","Howard Prairie Reservoir, small mouth bass, station 5","42.2313","-122.3959","0.275","1224003422276",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoxie Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32685","Howard Prairie Reservoir, small mouth bass, station 4","42.2323","-122.3983","4.759","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32683","Howard Prairie Reservoir, small mouth bass, station 2","42.2378","-122.4017","5.379","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32689","Howard Prairie Reservoir, small mouth bass, station 8","42.237","-122.4017","5.324","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32697","Howard Prairie Reservoir, rainbow trout, station 6","42.2445","-122.4022","5.737","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32698","Howard Prairie Reservoir, rainbow trout, station 7","42.245","-122.403","5.79","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32693","Howard Prairie Reservoir, rainbow trout, station 2","42.2449","-122.4032","5.791","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32699","Howard Prairie Reservoir, rainbow trout, station 8","42.2449","-122.4032","5.791","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
NA,"32694","Howard Prairie Reservoir, rainbow trout, station 3","42.2448","-122.4032","5.785","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
