"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasureMeasureValue","DrainageAreaMeasureMeasureUnitCode","ContributingDrainageAreaMeasureMeasureValue","ContributingDrainageAreaMeasureMeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasureMeasureValue","HorizontalAccuracyMeasureMeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasureMeasureValue","VerticalMeasureMeasureUnitCode","VerticalAccuracyMeasureMeasureValue","VerticalAccuracyMeasureMeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasureMeasureValue","WellDepthMeasureMeasureUnitCode","WellHoleDepthMeasureMeasureValue","WellHoleDepthMeasureMeasureUnitCode"
"USGS-OR","USGS Oregon Water Science Center","USGS-452823122240900","JOHNSON CREEK AT PALMBLAD RD NR GRESHAM, OR","Stream","WILLAMETTE STATE STUDY - requested by CHAUNCEY",17090012,NA,"",NA,NA,"45.472898200000003","-122.4037012",NA,"Unknown","Unknown","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-453108122475200","BARNES ROAD MITIGATION POND, OR","Lake, Reservoir, Impoundment","Chauncey Anderson Finley sites 11/26/2007",17090010,NA,"",NA,NA,"45.518728400000001","-122.7989882",24000,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","180.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"67",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W001","W001","River/Stream","Rivermile 2",17090012,NA,"",NA,NA,"45.632092299999996","-122.7846837",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","4.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W002","W002","River/Stream","Rivermile 2.2",17090012,NA,"",NA,NA,"45.6318524","-122.79323119999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"",NA,"","","","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W003","W003","River/Stream","Rivermile 3",17090012,NA,"",NA,NA,"45.617740599999998","-122.7965521",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","7.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W004","W004","River/Stream","Rivermile 3.7",17090012,NA,"",NA,NA,"45.611598899999997","-122.77621550000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","4.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W005","W005","River/Stream","Rivermile 3.9",17090012,NA,"",NA,NA,"45.606971199999997","-122.78408039999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W006","W006","River/Stream","Rivermile 4",17090012,NA,"",NA,NA,"45.605530600000002","-122.7871889",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","6.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W007","W007","River/Stream","Rivermile 4.4",17090012,NA,"",NA,NA,"45.6042889","-122.7733022",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","2.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W008","W008","River/Stream","Rivermile 4.6",17090012,NA,"",NA,NA,"45.600937199999997","-122.7726555",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W009","W009","River/Stream","Rivermile 5.6",17090012,NA,"",NA,NA,"45.585640599999998","-122.76845900000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W010","W010","River/Stream","Rivermile 5.7",17090012,NA,"",NA,NA,"45.5872606","-122.7644473",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","2.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W011","W011","River/Stream","Rivermile 6.3",17090012,NA,"",NA,NA,"45.581681400000001","-122.756719",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W012","W012","River/Stream","Rivermile 6.3",17090012,NA,"",NA,NA,"45.579902199999999","-122.7581174",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","6.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W013","W013-1","River/Stream","Rivermile 6.7",17090012,NA,"",NA,NA,"45.580585499999998","-122.7460057",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W013-2","W013-2","River/Stream","Rivermile 6.7",17090012,NA,"",NA,NA,"45.5805887","-122.7459934",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W014","W014","River/Stream","Rivermile 6.7",17090012,NA,"",NA,NA,"45.580533899999999","-122.7449324",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","2.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W015","W015","River/Stream","Rivermile 6.9",17090012,NA,"",NA,NA,"45.575515500000002","-122.7484024",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","2.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W016","W016-1","River/Stream","Rivermile 7.2",17090012,NA,"",NA,NA,"45.571842199999999","-122.7428874",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W017","W017","River/Stream","Rivermile 7.5",17090012,NA,"",NA,NA,"45.567802200000003","-122.7404641",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","3.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W018","W018","River/Stream","Rivermile 8.3",17090012,NA,"",NA,NA,"45.567560399999998","-122.7193741",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W019","W019","River/Stream","Rivermile 8.6",17090012,NA,"",NA,NA,"45.557700400000002","-122.7246825",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","2.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W020","W020","River/Stream","Rivermile 9.1",17090012,NA,"",NA,NA,"45.562954900000001","-122.7071746",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","1.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W021","W021","River/Stream","Rivermile 8.7",17090012,NA,"",NA,NA,"45.565660399999999","-122.7120958",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","3.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W022","W022","River/Stream","Rivermile 9.7",17090012,NA,"",NA,NA,"45.549308699999997","-122.70511260000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","4.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W023","W023","River/Stream","Rivermile 11",17090012,NA,"",NA,NA,"45.538721099999997","-122.6842472",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W023E","W023E","River/Stream","Rivermile 11",17090012,NA,"",NA,NA,"45.539522599999998","-122.68293850000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W023M","W023M","River/Stream","Rivermile 10.9",17090012,NA,"",NA,NA,"45.538759300000002","-122.6842639",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W023W","W023W","River/Stream","Rivermile 11",17090012,NA,"",NA,NA,"45.5378805","-122.68546379999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W024","W024","River/Stream","Rivermile 15.9",17090012,NA,"",NA,NA,"45.472149700000003","-122.6672403",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","7.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W025E","W025E","River/Stream","Rivermile 2",17090012,NA,"",NA,NA,"45.632750700000003","-122.78574140000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W025M","W025M","River/Stream","Rivermile 2",17090012,NA,"",NA,NA,"45.633848499999999","-122.78834740000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W025W","W025W","River/Stream","Rivermile 2",17090012,NA,"",NA,NA,"45.634878700000002","-122.79062999999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W026","W026","River/Stream","Rivermile 2.1",17090012,NA,"",NA,NA,"45.6308072","-122.7863435",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W027","W027","River/Stream","Rivermile 2.9",17090012,NA,"",NA,NA,"45.619146399999998","-122.79916299999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","6.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W028","W028","River/Stream","Rivermile 3.6",17090012,NA,"",NA,NA,"45.6121482","-122.7846411",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W029","W029","River/Stream","Rivermile 4.4",17090012,NA,"",NA,NA,"45.5999348","-122.7826285",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W030","W030","River/Stream","Rivermile 5.5",17090012,NA,"",NA,NA,"45.589143","-122.7672664",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W031","W031","River/Stream","Rivermile 6.1",17090012,NA,"",NA,NA,"45.581274700000002","-122.7609621",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W032","W032","River/Stream","Rivermile 6.7",17090012,NA,"",NA,NA,"45.579836999999998","-122.74625690000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W033","W033","River/Stream","Rivermile 7",17090012,NA,"",NA,NA,"45.574038799999997","-122.745875",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W034","W034","River/Stream","Rivermile 7.5",17090012,NA,"",NA,NA,"45.569758499999999","-122.73983029999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W035","W035","River/Stream","Rivermile 8.5",17090012,NA,"",NA,NA,"45.566183799999997","-122.7148772",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W036","W036","River/Stream","Rivermile 8.6",17090012,NA,"",NA,NA,"45.557803100000001","-122.72306039999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W037","W037","River/Stream","Rivermile 9.6",17090012,NA,"",NA,NA,"45.551060999999997","-122.7055826",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W038","W038","River/Stream","Rivermile 9.9",17090012,NA,"",NA,NA,"45.552169300000003","-122.6967063",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCWQH03WILLRVR","WILLRIVER","River/Stream","Rivermile 1.1",17090012,NA,"",NA,NA,"45.642638400000003","-122.777011",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLFLH07BG01SW","BG01SW","River/Stream","Rivermile 28.5",17090007,NA,"",NA,NA,"45.336782999999997","-122.653795",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","56.0","ft             ",NA,"","Other","NAVD88      ","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLFLH07BH05","BH05","River/Stream","Rivermile 26.2",17090007,NA,"",NA,NA,"45.352654000000001","-122.613953",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","69.0","ft             ",NA,"","Other","NAVD88      ","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLFLH07WL01SW","WL01SW","River/Stream","Rivermile 26.4",17090007,NA,"",NA,NA,"45.352884000000003","-122.618323",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","56.0","ft             ",NA,"","Other","NAVD88      ","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLFLH07WR07SW","WR07SW","River/Stream","Rivermile 25.3",17090007,NA,"",NA,NA,"45.364752000000003","-122.605064",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-14087393","CROOKED RIVER AT CARCASS TRAIL NEAR CULVER, OR","Stream","PFO/BLM Seepage run study  Jennifer Morace 09/2004",17070305,NA,"",NA,"","44.472618500000003","-121.297543",NA,"1","seconds","Interpolated from map","NAD83","2020.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"31",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-14128910","COLUMBIA RIVER AT WARRENDALE, OR","Stream","",17080001,"240400.0","sq mi",NA,"","45.612339599999999","-122.0275838",NA,"Unknown","Unknown","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-14164550","CAMP CRK AT CAMP CRK RD BRIDGE, NR SPRINGFIELD, OR","Stream","EWEB Storm event monitor proj-C.Anderson Sept.2002",17090004,"26.0","sq mi",NA,"","44.070666699999997","-122.8846667",NA,".5","seconds","Global positioning system (GPS), uncorrected","NAD83","525.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"39",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-14164700","CEDAR CREEK AT SPRINGFIELD, OR","Stream","PFO",17090004,NA,"",NA,"","44.059348","-122.9196644",NA,".5","seconds","Global positioning system (GPS), uncorrected","NAD83","490.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"39",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-14164900","McKENZIE RIVER ABV HAYDEN BR, AT SPRINGFIELD,OR","Stream","",17090004,"1140.0","sq mi",NA,"","44.071236499999998","-122.9645273",NA,"Unknown","Unknown","Interpolated from map","NAD83","400.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"39",NA,NA,NA,NA,NA,NA,NA,NA
