"STATION","StationUse_RecordID","DESCRIPTION","DEC_LAT","DEC_LONG","RIVER_MILE","STREAM_LLID","RIVER_MILE_LAKE","LAKE_LLID","LAKE_NAME","GIS_Source_LAKE","USE_OtherParms","USE_Final","GIS_Source","HUC_3rd_Field","Bio_Macro_Data","CASCADE_LAKES","MARINE_WATERS","STRATIFIED_Natural_Lake","ESTUARY","LAKE","MARINE_COASTAL_REC","Enterro_Data","DHS_Station_Type","DHS_Station_Type_Num","EPA_BEACH_ID","BEACH_NAME","ELEVATION_FT","WRD_Basin","Comments","Reviewed_Permit_Writers","RIVER_MILE_2004","LLID_2004","USE_Bacteria","Salinity_Max","Conductivity_Max","PondResSmall","Stream_Name","MATRIX","TRIBAL","AGENCY","AGENCY_ID","STATIONS_2012","UsabilityComments"
"31317",NA,"OR03-0063, 4.6 nautical miles southwest of Cape Blanco","42.77143","-124.6147","281.415","1240637462558",NA,NA,NA,NA,NA,1,"NHD Medium & digitized from various sources","Southern Oregon Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Ocean","SW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"31720",NA,"Canyon Creek 3.8 miles upstream of mouth","44.3603","-120.368","3.721","1204204443957",NA,NA,NA,NA,NA,1,"StreamNet 100K","Deschutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canyon Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"12583",NA,"Canyon Creek 2.8 miles upstream of mouth (Road 42.100)","44.368778","-120.380778","2.877","1204204443957",NA,"<Null>",NA,NA,NA,1,"StreamNet 100K","Deschutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canyon Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"31721",NA,"Canyon Creek 1.7 miles upstream of mouth","44.3764","-120.4","1.781","1204204443957",NA,NA,NA,NA,NA,1,"StreamNet 100K","Deschutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canyon Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"10581",NA,"Columbia River at John Day Dam","45.711694","-120.690028","212.59","1240483462464",NA,"1207453456993","Lake Celilo","StreamNet 100K",NA,1,"StreamNet 100K","Middle Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Columbia River","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"31722",NA,"Ochoco Creek 1.6 miles upstream of Canyon Creek Junction","44.300361","-120.751917","8.971","1208917443218",NA,NA,NA,NA,NA,1,"StreamNet 100K","Deschutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ochoco Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36030",NA,"Deschutes River at Shears Falls Fish Ladder","45.256985","-121.039567","44.172","1209151456389",NA,NA,NA,NA,NA,1,"Modified Streamnet 100K","Deschutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deschutes River","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32737",NA,"Fish Lake, rainbow trout, station 8","42.3928","-122.3152","17.516","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32736",NA,"Fish Lake, rainbow trout, station 7","42.3927","-122.3156","17.502","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32734",NA,"Fish Lake, rainbow trout, station 5","42.3921","-122.3167","17.472","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32733",NA,"Fish Lake, rainbow trout, station 4","42.3926","-122.3173","17.429","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32730",NA,"Fish Lake, rainbow trout, station 1","42.3927","-122.3174","17.421","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32731",NA,"Fish Lake, rainbow trout, station 2","42.3926","-122.3174","17.424","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32732",NA,"Fish Lake, rainbow trout, station 3","42.3926","-122.3174","17.424","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32735",NA,"Fish Lake, rainbow trout, station 6","42.3924","-122.3331","16.836","1226154424196",NA,"1223333423868","Fish Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Fork Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32692",NA,"Howard Prairie Reservoir, rainbow trout, station 1","42.2159","-122.3776","3.091","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32688",NA,"Howard Prairie Reservoir, small mouth bass, station 7","42.2155","-122.3779","3.102","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32687",NA,"Howard Prairie Reservoir, small mouth bass, station 6","42.2258","-122.3916","0.408","1224003422276",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoxie Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32682",NA,"Howard Prairie Reservoir, small mouth bass, station 1","42.2273","-122.394","0.31","1224003422276",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoxie Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32684",NA,"Howard Prairie Reservoir, small mouth bass, station 3","42.2293","-122.3944","0.32","1224003422276",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoxie Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32686",NA,"Howard Prairie Reservoir, small mouth bass, station 5","42.2313","-122.3959","0.275","1224003422276",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoxie Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32685",NA,"Howard Prairie Reservoir, small mouth bass, station 4","42.2323","-122.3983","4.759","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32683",NA,"Howard Prairie Reservoir, small mouth bass, station 2","42.2378","-122.4017","5.379","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32689",NA,"Howard Prairie Reservoir, small mouth bass, station 8","42.237","-122.4017","5.324","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32697",NA,"Howard Prairie Reservoir, rainbow trout, station 6","42.2445","-122.4022","5.737","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32698",NA,"Howard Prairie Reservoir, rainbow trout, station 7","42.245","-122.403","5.79","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32693",NA,"Howard Prairie Reservoir, rainbow trout, station 2","42.2449","-122.4032","5.791","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32699",NA,"Howard Prairie Reservoir, rainbow trout, station 8","42.2449","-122.4032","5.791","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32694",NA,"Howard Prairie Reservoir, rainbow trout, station 3","42.2448","-122.4032","5.785","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32695",NA,"Howard Prairie Reservoir, rainbow trout, station 4","42.2448","-122.4032","5.785","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32696",NA,"Howard Prairie Reservoir, rainbow trout, station 5","42.2465","-122.4034","5.883","1223412421963",NA,"1223929422233","Howard Prairie Lake","StreamNet 100K",NA,1,"StreamNet 100K","Klamath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzly Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32720",NA,"Emigrant Lake, small mouth bass, station 7","42.1465","-122.5959","4.852","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32726",NA,"Emigrant Lake, rainbow trout, station 5","42.1505","-122.5964","4.592","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32729",NA,"Emigrant Lake, rainbow trout, station 8","42.1651","-122.5964","3.462","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32725",NA,"Emigrant Lake, rainbow trout, station 4","42.1505","-122.5964","4.592","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32724",NA,"Emigrant Lake, rainbow trout, station 3","42.1506","-122.5964","4.586","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32723",NA,"Emigrant Lake, rainbow trout, station 2","42.1505","-122.5964","4.592","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32728",NA,"Emigrant Lake, rainbow trout, station 7","42.1502","-122.5967","4.604","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32727",NA,"Emigrant Lake, rainbow trout, station 6","42.1503","-122.5968","4.595","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32718",NA,"Emigrant Lake, small mouth bass, station 5","42.148","-122.597","4.734","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32717",NA,"Emigrant Lake, small mouth bass, station 4","42.1515","-122.5982","4.489","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32719",NA,"Emigrant Lake, small mouth bass, station 6","42.1546","-122.5992","4.293","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32716",NA,"Emigrant Lake, small mouth bass, station 3","42.1545","-122.6023","4.176","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32715",NA,"Emigrant Lake, small mouth bass, station 2","42.155","-122.6035","4.107","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32721",NA,"Emigrant Lake, small mouth bass, station 8","42.1581","-122.6043","3.937","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32722",NA,"Emigrant Lake, rainbow trout, station 1","42.1596","-122.6052","3.729","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32714",NA,"Emigrant Lake, small mouth bass, station 1","42.1562","-122.6059","3.959","1226509421932",NA,"1226067421567","Emigrant Lake","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emigrant Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32740",NA,"Agate Lake, large mouth bass, station 3","42.4148","-122.7693","3.102","1228061424457",NA,"1227683424103","Agate Reservoir","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dry Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32739",NA,"Agate Lake, large mouth bass, station 2","42.4152","-122.7708","3.045","1228061424457",NA,"1227683424103","Agate Reservoir","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dry Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32741",NA,"Agate Lake, large mouth bass, station 4","42.4152","-122.771","3.04","1228061424457",NA,"1227683424103","Agate Reservoir","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dry Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32745",NA,"Agate Lake, large mouth bass, station 8","42.4151","-122.7714","3.038","1228061424457",NA,"1227683424103","Agate Reservoir","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dry Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32743",NA,"Agate Lake, large mouth bass, station 6","42.4149","-122.7714","3.05","1228061424457",NA,"1227683424103","Agate Reservoir","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dry Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32738",NA,"Agate Lake, large mouth bass, station 1","42.4152","-122.7716","3.027","1228061424457",NA,"1227683424103","Agate Reservoir","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dry Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32742",NA,"Agate Lake, large mouth bass, station 5","42.4151","-122.7718","3.029","1228061424457",NA,"1227683424103","Agate Reservoir","StreamNet 100K",NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dry Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
