"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasureMeasureValue","DrainageAreaMeasureMeasureUnitCode","ContributingDrainageAreaMeasureMeasureValue","ContributingDrainageAreaMeasureMeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasureMeasureValue","HorizontalAccuracyMeasureMeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasureMeasureValue","VerticalMeasureMeasureUnitCode","VerticalAccuracyMeasureMeasureValue","VerticalAccuracyMeasureMeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasureMeasureValue","WellDepthMeasureMeasureUnitCode","WellHoleDepthMeasureMeasureValue","WellHoleDepthMeasureMeasureUnitCode","site_only","LatChar","LonChar"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W011","W011","River/Stream","Rivermile 6.3",17090012,NA,"",NA,NA,"45.581681400000001","-122.756719",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W011","45.5816814","-122.756719"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W012","W012","River/Stream","Rivermile 6.3",17090012,NA,"",NA,NA,"45.579902199999999","-122.7581174",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","6.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W012","45.5799022","-122.7581174"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W013","W013-1","River/Stream","Rivermile 6.7",17090012,NA,"",NA,NA,"45.580585499999998","-122.7460057",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W013","45.5805855","-122.7460057"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W013-2","W013-2","River/Stream","Rivermile 6.7",17090012,NA,"",NA,NA,"45.5805887","-122.7459934",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W013-2","45.5805887","-122.7459934"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W014","W014","River/Stream","Rivermile 6.7",17090012,NA,"",NA,NA,"45.580533899999999","-122.7449324",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","2.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W014","45.5805339","-122.7449324"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W015","W015","River/Stream","Rivermile 6.9",17090012,NA,"",NA,NA,"45.575515500000002","-122.7484024",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","2.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W015","45.5755155","-122.7484024"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W016","W016-1","River/Stream","Rivermile 7.2",17090012,NA,"",NA,NA,"45.571842199999999","-122.7428874",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W016","45.5718422","-122.7428874"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W017","W017","River/Stream","Rivermile 7.5",17090012,NA,"",NA,NA,"45.567802200000003","-122.7404641",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","3.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W017","45.5678022","-122.7404641"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W018","W018","River/Stream","Rivermile 8.3",17090012,NA,"",NA,NA,"45.567560399999998","-122.7193741",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W018","45.5675604","-122.7193741"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W019","W019","River/Stream","Rivermile 8.6",17090012,NA,"",NA,NA,"45.557700400000002","-122.7246825",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","2.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W019","45.5577004","-122.7246825"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W020","W020","River/Stream","Rivermile 9.1",17090012,NA,"",NA,NA,"45.562954900000001","-122.7071746",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","1.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W020","45.5629549","-122.7071746"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W021","W021","River/Stream","Rivermile 8.7",17090012,NA,"",NA,NA,"45.565660399999999","-122.7120958",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","3.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W021","45.5656604","-122.7120958"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W022","W022","River/Stream","Rivermile 9.7",17090012,NA,"",NA,NA,"45.549308699999997","-122.70511260000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","4.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W022","45.5493087","-122.7051126"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W023","W023","River/Stream","Rivermile 11",17090012,NA,"",NA,NA,"45.538721099999997","-122.6842472",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W023","45.5387211","-122.6842472"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W023E","W023E","River/Stream","Rivermile 11",17090012,NA,"",NA,NA,"45.539522599999998","-122.68293850000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W023E","45.5395226","-122.6829385"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W023M","W023M","River/Stream","Rivermile 10.9",17090012,NA,"",NA,NA,"45.538759300000002","-122.6842639",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W023M","45.5387593","-122.6842639"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W023W","W023W","River/Stream","Rivermile 11",17090012,NA,"",NA,NA,"45.5378805","-122.68546379999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W023W","45.5378805","-122.6854638"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W024","W024","River/Stream","Rivermile 15.9",17090012,NA,"",NA,NA,"45.472149700000003","-122.6672403",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","7.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W024","45.4721497","-122.6672403"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W025E","W025E","River/Stream","Rivermile 2",17090012,NA,"",NA,NA,"45.632750700000003","-122.78574140000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W025E","45.6327507","-122.7857414"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W025M","W025M","River/Stream","Rivermile 2",17090012,NA,"",NA,NA,"45.633848499999999","-122.78834740000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W025M","45.6338485","-122.7883474"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W025W","W025W","River/Stream","Rivermile 2",17090012,NA,"",NA,NA,"45.634878700000002","-122.79062999999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W025W","45.6348787","-122.79063"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W026","W026","River/Stream","Rivermile 2.1",17090012,NA,"",NA,NA,"45.6308072","-122.7863435",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W026","45.6308072","-122.7863435"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W027","W027","River/Stream","Rivermile 2.9",17090012,NA,"",NA,NA,"45.619146399999998","-122.79916299999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","6.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W027","45.6191464","-122.799163"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W028","W028","River/Stream","Rivermile 3.6",17090012,NA,"",NA,NA,"45.6121482","-122.7846411",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W028","45.6121482","-122.7846411"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W029","W029","River/Stream","Rivermile 4.4",17090012,NA,"",NA,NA,"45.5999348","-122.7826285",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W029","45.5999348","-122.7826285"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W030","W030","River/Stream","Rivermile 5.5",17090012,NA,"",NA,NA,"45.589143","-122.7672664",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W030","45.589143","-122.7672664"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W031","W031","River/Stream","Rivermile 6.1",17090012,NA,"",NA,NA,"45.581274700000002","-122.7609621",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W031","45.5812747","-122.7609621"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W032","W032","River/Stream","Rivermile 6.7",17090012,NA,"",NA,NA,"45.579836999999998","-122.74625690000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W032","45.579837","-122.7462569"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W033","W033","River/Stream","Rivermile 7",17090012,NA,"",NA,NA,"45.574038799999997","-122.745875",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W033","45.5740388","-122.745875"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W034","W034","River/Stream","Rivermile 7.5",17090012,NA,"",NA,NA,"45.569758499999999","-122.73983029999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W034","45.5697585","-122.7398303"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W035","W035","River/Stream","Rivermile 8.5",17090012,NA,"",NA,NA,"45.566183799999997","-122.7148772",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W035","45.5661838","-122.7148772"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W036","W036","River/Stream","Rivermile 8.6",17090012,NA,"",NA,NA,"45.557803100000001","-122.72306039999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W036","45.5578031","-122.7230604"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W037","W037","River/Stream","Rivermile 9.6",17090012,NA,"",NA,NA,"45.551060999999997","-122.7055826",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W037","45.551061","-122.7055826"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW3-W038","W038","River/Stream","Rivermile 9.9",17090012,NA,"",NA,NA,"45.552169300000003","-122.6967063",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW3-W038","45.5521693","-122.6967063"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCWQH03WILLRVR","WILLRIVER","River/Stream","Rivermile 1.1",17090012,NA,"",NA,NA,"45.642638400000003","-122.777011",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-WLCWQH03WILLRVR","45.6426384","-122.777011"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLFLH07BG01SW","BG01SW","River/Stream","Rivermile 28.5",17090007,NA,"",NA,NA,"45.336782999999997","-122.653795",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","56.0","ft             ",NA,"","Other","NAVD88      ","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-WLFLH07BG01SW","45.336783","-122.653795"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLFLH07BH05","BH05","River/Stream","Rivermile 26.2",17090007,NA,"",NA,NA,"45.352654000000001","-122.613953",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","69.0","ft             ",NA,"","Other","NAVD88      ","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-WLFLH07BH05","45.352654","-122.613953"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLFLH07WL01SW","WL01SW","River/Stream","Rivermile 26.4",17090007,NA,"",NA,NA,"45.352884000000003","-122.618323",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","56.0","ft             ",NA,"","Other","NAVD88      ","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-WLFLH07WL01SW","45.352884","-122.618323"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLFLH07WR07SW","WR07SW","River/Stream","Rivermile 25.3",17090007,NA,"",NA,NA,"45.364752000000003","-122.605064",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-WLFLH07WR07SW","45.364752","-122.605064"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W016-2","W016-2","River/Stream","Rivermile 7.2",17090012,NA,"",NA,NA,"45.571842199999999","-122.7428874",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W016-2","45.5718422","-122.7428874"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCGSG07GSB7","GS-B7","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.5794207","-122.7560316",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-WLCGSG07GSB7","45.5794207","-122.7560316"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCGSG07GSC7","GS-C7","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579769400000004","-122.7557407",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-WLCGSG07GSC7","45.5797694","-122.7557407"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCGSG07GSD5","GS-D5","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.580040799999999","-122.75463019999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-WLCGSG07GSD5","45.5800408","-122.7546302"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP55","GP55","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579077499999997","-122.7544941",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-WLCSLH01GP55","45.5790775","-122.7544941"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP61","GP61","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579388199999997","-122.75457609999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-WLCSLH01GP61","45.5793882","-122.7545761"
