"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasureMeasureValue","DrainageAreaMeasureMeasureUnitCode","ContributingDrainageAreaMeasureMeasureValue","ContributingDrainageAreaMeasureMeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasureMeasureValue","HorizontalAccuracyMeasureMeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasureMeasureValue","VerticalMeasureMeasureUnitCode","VerticalAccuracyMeasureMeasureValue","VerticalAccuracyMeasureMeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasureMeasureValue","WellDepthMeasureMeasureUnitCode","WellHoleDepthMeasureMeasureValue","WellHoleDepthMeasureMeasureUnitCode","LatChar","LonChar","site_only"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0696","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  4/WATERSHED AREA is 12541.1123km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"44.810000000000002","-119.78",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","537.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"69",NA,NA,NA,NA,NA,NA,NA,NA,"44.81","-119.78","WORP99-0696"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0702","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 16092.5631km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"45.060000000000002","-120.48999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","349.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA,"45.06","-120.49","WORP99-0702"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0707","DESCHUTES RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 24853.9498km^2/Station Weight (km): 27.2854",17070306,NA,"",NA,NA,"45.049999999999997","-121.11",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","306.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA,"45.05","-121.11","WORP99-0707"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0708","NORTH FORK JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 5181.6923km^2/Station Weight (km): 48.5075",17070202,NA,"",NA,NA,"44.920000000000002","-119.33",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","661.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA,"44.92","-119.33","WORP99-0708"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0731","NORTH FORK JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 2672.6511km^2/Station Weight (km): 48.5075",17070202,NA,"",NA,NA,"44.990000000000002","-119.11",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","766.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA,"44.99","-119.11","WORP99-0731"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0737","DESCHUTES RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  4/WATERSHED AREA is 1465.129km^2/Station Weight (km): 48.5075",17070301,NA,"",NA,NA,"43.840000000000003","-121.45999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1272.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"17",NA,NA,NA,NA,NA,NA,NA,NA,"43.84","-121.46","WORP99-0737"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0742","SPRAGUE RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 3750.7712km^2/Station Weight (km): 783.6822",18010202,NA,"",NA,NA,"42.560000000000002","-121.68000000000001",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1301.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,"42.56","-121.68","WORP99-0742"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0747","WILLAMETTE RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is 8817.6551km^2/Station Weight (km): 1175.5233",17090003,NA,"",NA,NA,"44.140000000000001","-123.12",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","108.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"39",NA,NA,NA,NA,NA,NA,NA,NA,"44.14","-123.12","WORP99-0747"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0797","DESCHUTES RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 21289.9533km^2/Station Weight (km): 27.2854",17070306,NA,"",NA,NA,"44.789999999999999","-121.14",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","406.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"31",NA,NA,NA,NA,NA,NA,NA,NA,"44.79","-121.14","WORP99-0797"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0798","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  4/WATERSHED AREA is 12871.9742km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"44.810000000000002","-119.84999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","531.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"69",NA,NA,NA,NA,NA,NA,NA,NA,"44.81","-119.85","WORP99-0798"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0799","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 13805.2513km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"44.75","-120.23999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","473.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"69",NA,NA,NA,NA,NA,NA,NA,NA,"44.75","-120.24","WORP99-0799"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0816","SANDY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 1248.4691km^2/Station Weight (km): 783.6822",17080001,NA,"",NA,NA,"45.509999999999998","-122.36",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","11.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"45.51","-122.36","WORP99-0816"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0887","ROGUE RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 12936.6367km^2/Station Weight (km): 440.8212",17100310,NA,"",NA,NA,"42.520000000000003","-124.16",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","20.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"15",NA,NA,NA,NA,NA,NA,NA,NA,"42.52","-124.16","WORP99-0887"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0889","DESCHUTES RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 27576.6578km^2/Station Weight (km): 27.2854",17070306,NA,"",NA,NA,"45.409999999999997","-120.86",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","131.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"55",NA,NA,NA,NA,NA,NA,NA,NA,"45.41","-120.86","WORP99-0889"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0988","DESCHUTES RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 25726.6543km^2",17070306,NA,"",NA,NA,"45.189999999999998","-121.08",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","245.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA,"45.19","-121.08","WORP99-0988"
